Volatility 3 Framework 2.28.0

PID	Process	Start	End	File Path	File Output

1	systemd	0x564927136000	0x56492716c000	/usr/lib/systemd/systemd	Disabled
1	systemd	0x7fed5a3bc000	0x7fed5a3c0000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fed5a3e2000	0x7fed5a3e4000	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7fed5a3ea000	0x7fed5a3ec000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7fed5a481000	0x7fed5a484000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7fed5a4ac000	0x7fed5a4b6000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7fed5a57d000	0x7fed5a62f000	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7fed5a9c1000	0x7fed5a9c3000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7fed5a9e1000	0x7fed5a9e3000	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7fed5a9eb000	0x7fed5a9fa000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
1	systemd	0x7fed5ab29000	0x7fed5ab2b000	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
1	systemd	0x7fed5ab63000	0x7fed5ab66000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
1	systemd	0x7fed5ab70000	0x7fed5ab77000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
1	systemd	0x7fed5aba7000	0x7fed5aba9000	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2301	Disabled
1	systemd	0x7fed5abb1000	0x7fed5abd9000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
1	systemd	0x7fed5adda000	0x7fed5addd000	/usr/lib/x86_64-linux-gnu/libapparmor.so.1.8.2	Disabled
1	systemd	0x7fed5adef000	0x7fed5adf3000	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.7	Disabled
1	systemd	0x7fed5ae0b000	0x7fed5ae0e000	/usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0	Disabled
1	systemd	0x7fed5ae3b000	0x7fed5ae3e000	/usr/lib/x86_64-linux-gnu/libpam.so.0.85.1	Disabled
1	systemd	0x7fed5ae4d000	0x7fed5ae55000	/usr/lib/x86_64-linux-gnu/libmount.so.1.1.0	Disabled
1	systemd	0x7fed5ae91000	0x7fed5ae97000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
1	systemd	0x7fed5aebd000	0x7fed5aebf000	/usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.3	Disabled
1	systemd	0x7fed5aee3000	0x7fed5af34000	/usr/lib/systemd/libsystemd-shared-249.so	Disabled
