Volatility 3 Framework 2.28.0

PID	PPID	COMM	KEY	VALUE

1	0	systemd	HOME	/
1	0	systemd	init	/sbin/init
1	0	systemd	NETWORK_SKIP_ENSLAVED	
1	0	systemd	TERM	linux
1	0	systemd	BOOT_IMAGE	/boot/vmlinuz-5.15.0-164-generic
1	0	systemd	drop_caps	
1	0	systemd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1	0	systemd	PWD	/
1	0	systemd	rootmnt	/root
410	1	systemd-journal	LANG	en_US.UTF-8
410	1	systemd-journal	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
410	1	systemd-journal	NOTIFY_SOCKET	/run/systemd/notify
410	1	systemd-journal	LISTEN_PID	410
410	1	systemd-journal	LISTEN_FDS	4
410	1	systemd-journal	LISTEN_FDNAMES	systemd-journald-audit.socket:systemd-journald-dev-log.socket:systemd-journald.socket:systemd-journald.socket
410	1	systemd-journal	WATCHDOG_PID	410
410	1	systemd-journal	WATCHDOG_USEC	180000000
410	1	systemd-journal	INVOCATION_ID	8e0b42e4be2d4911b97071276bf0109f
410	1	systemd-journal	RUNTIME_DIRECTORY	/run/systemd/journal
410	1	systemd-journal	SYSTEMD_EXEC_PID	410
448	1	multipathd	LANG	en_US.UTF-8
448	1	multipathd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
448	1	multipathd	NOTIFY_SOCKET	/run/systemd/notify
448	1	multipathd	LISTEN_PID	448
448	1	multipathd	LISTEN_FDS	1
448	1	multipathd	LISTEN_FDNAMES	multipathd.socket
448	1	multipathd	INVOCATION_ID	c7c57c014d8d463a8432dfac4bc3d465
448	1	multipathd	JOURNAL_STREAM	8:20588
448	1	multipathd	SYSTEMD_EXEC_PID	448
451	1	systemd-udevd	LANG	en_US.UTF-8
451	1	systemd-udevd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
451	1	systemd-udevd	NOTIFY_SOCKET	/run/systemd/notify
451	1	systemd-udevd	LISTEN_PID	451
451	1	systemd-udevd	LISTEN_FDS	2
451	1	systemd-udevd	LISTEN_FDNAMES	systemd-udevd-control.socket:systemd-udevd-kernel.socket
451	1	systemd-udevd	WATCHDOG_PID	451
451	1	systemd-udevd	WATCHDOG_USEC	180000000
451	1	systemd-udevd	INVOCATION_ID	d456225157f44fd9ac7b20197ed3ab67
451	1	systemd-udevd	JOURNAL_STREAM	8:20303
451	1	systemd-udevd	SYSTEMD_EXEC_PID	451
511	1	systemd-timesyn	LANG	en_US.UTF-8
511	1	systemd-timesyn	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
511	1	systemd-timesyn	NOTIFY_SOCKET	/run/systemd/notify
511	1	systemd-timesyn	WATCHDOG_PID	511
511	1	systemd-timesyn	WATCHDOG_USEC	180000000
511	1	systemd-timesyn	HOME	/run/systemd
511	1	systemd-timesyn	LOGNAME	systemd-timesync
511	1	systemd-timesyn	USER	systemd-timesync
511	1	systemd-timesyn	INVOCATION_ID	e15c13f67f7d4fb3826fe207ceb46c3d
511	1	systemd-timesyn	JOURNAL_STREAM	8:20472
511	1	systemd-timesyn	RUNTIME_DIRECTORY	/run/systemd/timesync
511	1	systemd-timesyn	STATE_DIRECTORY	/var/lib/systemd/timesync
511	1	systemd-timesyn	SYSTEMD_EXEC_PID	511
511	1	systemd-timesyn	SYSTEMD_NSS_RESOLVE_VALIDATE	0
617	1	systemd-network	LANG	en_US.UTF-8
617	1	systemd-network	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
617	1	systemd-network	NOTIFY_SOCKET	/run/systemd/notify
617	1	systemd-network	LISTEN_PID	617
617	1	systemd-network	LISTEN_FDS	1
617	1	systemd-network	LISTEN_FDNAMES	systemd-networkd.socket
617	1	systemd-network	WATCHDOG_PID	617
617	1	systemd-network	WATCHDOG_USEC	180000000
617	1	systemd-network	HOME	/run/systemd
617	1	systemd-network	LOGNAME	systemd-network
617	1	systemd-network	USER	systemd-network
617	1	systemd-network	INVOCATION_ID	4588d980381444b1b46bc254a5fb244f
617	1	systemd-network	JOURNAL_STREAM	8:16924
617	1	systemd-network	RUNTIME_DIRECTORY	/run/systemd/netif
617	1	systemd-network	SYSTEMD_EXEC_PID	617
619	1	systemd-resolve	LANG	en_US.UTF-8
619	1	systemd-resolve	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
619	1	systemd-resolve	NOTIFY_SOCKET	/run/systemd/notify
619	1	systemd-resolve	WATCHDOG_PID	619
619	1	systemd-resolve	WATCHDOG_USEC	180000000
619	1	systemd-resolve	HOME	/run/systemd
619	1	systemd-resolve	LOGNAME	systemd-resolve
619	1	systemd-resolve	USER	systemd-resolve
619	1	systemd-resolve	INVOCATION_ID	ef6101e7c4664f3688c3b395c3ff9eae
619	1	systemd-resolve	JOURNAL_STREAM	8:21688
619	1	systemd-resolve	RUNTIME_DIRECTORY	/run/systemd/resolve
619	1	systemd-resolve	SYSTEMD_EXEC_PID	619
630	1	cron	LANG	en_US.UTF-8
630	1	cron	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
630	1	cron	INVOCATION_ID	83cdac2292144646b40e49f4432f9ba6
630	1	cron	JOURNAL_STREAM	8:14000
630	1	cron	SYSTEMD_EXEC_PID	630
632	1	dbus-daemon	LANG	en_US.UTF-8
632	1	dbus-daemon	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
632	1	dbus-daemon	LISTEN_PID	632
632	1	dbus-daemon	LISTEN_FDS	1
632	1	dbus-daemon	LISTEN_FDNAMES	dbus.socket
632	1	dbus-daemon	SYSTEMD_NSS_DYNAMIC_BYPASS	1
632	1	dbus-daemon	INVOCATION_ID	034afdc283b9491db0eab185c668444e
632	1	dbus-daemon	JOURNAL_STREAM	8:21753
632	1	dbus-daemon	SYSTEMD_EXEC_PID	632
638	1	irqbalance	LANG	en_US.UTF-8
638	1	irqbalance	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
638	1	irqbalance	INVOCATION_ID	6e2404ddd50f43319b5998bcbe4a8fd4
638	1	irqbalance	JOURNAL_STREAM	8:14007
638	1	irqbalance	RUNTIME_DIRECTORY	/run/irqbalance
638	1	irqbalance	SYSTEMD_EXEC_PID	638
639	1	networkd-dispat	LANG	en_US.UTF-8
639	1	networkd-dispat	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
639	1	networkd-dispat	NOTIFY_SOCKET	/run/systemd/notify
639	1	networkd-dispat	INVOCATION_ID	5f5848f93bb94c46bde50b9d85d694c0
639	1	networkd-dispat	JOURNAL_STREAM	8:22809
639	1	networkd-dispat	SYSTEMD_EXEC_PID	639
639	1	networkd-dispat	networkd_dispatcher_args	--run-startup-triggers
640	1	polkitd	LANG	en_US.UTF-8
640	1	polkitd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
640	1	polkitd	INVOCATION_ID	855d47c87dcd4bae8030ba33f9e7c1f8
640	1	polkitd	JOURNAL_STREAM	8:22814
640	1	polkitd	SYSTEMD_EXEC_PID	640
641	1	rsyslogd	LANG	en_US.UTF-8
641	1	rsyslogd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
641	1	rsyslogd	NOTIFY_SOCKET	/run/systemd/notify
641	1	rsyslogd	LISTEN_PID	641
641	1	rsyslogd	LISTEN_FDS	1
641	1	rsyslogd	LISTEN_FDNAMES	syslog.socket
641	1	rsyslogd	INVOCATION_ID	e9366c49cb5b40c89c69d6f951ea2924
641	1	rsyslogd	SYSTEMD_EXEC_PID	641
645	1	snapd	LANG	en_US.UTF-8
645	1	snapd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
645	1	snapd	NOTIFY_SOCKET	/run/systemd/notify
645	1	snapd	LISTEN_PID	645
645	1	snapd	LISTEN_FDS	2
645	1	snapd	LISTEN_FDNAMES	snapd.socket:snapd.socket
645	1	snapd	WATCHDOG_PID	645
645	1	snapd	WATCHDOG_USEC	300000000
645	1	snapd	INVOCATION_ID	0abd8d9a025d49a3b3f42e1c7e85573a
645	1	snapd	JOURNAL_STREAM	8:14016
645	1	snapd	SYSTEMD_EXEC_PID	645
650	1	systemd-logind	LANG	en_US.UTF-8
650	1	systemd-logind	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
650	1	systemd-logind	NOTIFY_SOCKET	/run/systemd/notify
650	1	systemd-logind	WATCHDOG_PID	650
650	1	systemd-logind	WATCHDOG_USEC	180000000
650	1	systemd-logind	INVOCATION_ID	74730bb374424e8db104019d6628dce2
650	1	systemd-logind	JOURNAL_STREAM	8:14021
650	1	systemd-logind	RUNTIME_DIRECTORY	/run/systemd/sessions:/run/systemd/seats:/run/systemd/users:/run/systemd/inhibit:/run/systemd/shutdown
650	1	systemd-logind	STATE_DIRECTORY	/var/lib/systemd/linger
650	1	systemd-logind	SYSTEMD_EXEC_PID	650
652	1	udisksd	LANG	en_US.UTF-8
652	1	udisksd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
652	1	udisksd	INVOCATION_ID	83b404607fd84838a3703a22ba21d5ce
652	1	udisksd	JOURNAL_STREAM	8:14029
652	1	udisksd	SYSTEMD_EXEC_PID	652
672	1	agetty	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
672	1	agetty	INVOCATION_ID	1543f13d2b194beba91408669fef939e
672	1	agetty	TERM	linux
672	1	agetty	JOURNAL_STREAM	8:14207
672	1	agetty	SYSTEMD_EXEC_PID	672
695	1	ModemManager	LANG	en_US.UTF-8
695	1	ModemManager	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
695	1	ModemManager	HOME	/root
695	1	ModemManager	LOGNAME	root
695	1	ModemManager	USER	root
695	1	ModemManager	SHELL	/bin/sh
