Volatility 3 Framework 2.28.0

PID	TID	Process	FD	Path	Device	Inode	Type	Mode	Changed	Modified	Accessed	Size

1	1	systemd	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	0
1	1	systemd	1	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	0
1	1	systemd	2	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	0
1	1	systemd	3	/dev/kmsg	0:5	11	CHR	crw-r--r--	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	0
1	1	systemd	4	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	5	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	6	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	7	/sys/fs/cgroup	0:30	1	DIR	dr-xr-xr-x	2026-02-19 00:39:11.670069 UTC	2026-02-19 00:39:11.670069 UTC	2026-02-19 00:39:11.499250 UTC	0
1	1	systemd	8	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	9	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	10	/proc/1/mountinfo	0:24	13403	REG	-r--r--r--	2026-02-19 00:39:11.260000 UTC	2026-02-19 00:39:11.260000 UTC	2026-02-19 00:39:11.260000 UTC	0
1	1	systemd	11	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	13	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	14	/proc/swaps	0:24	4026532073	REG	-r--r--r--	2026-02-19 00:39:11.264000 UTC	2026-02-19 00:39:11.264000 UTC	2026-02-19 00:39:11.264000 UTC	0
1	1	systemd	15	socket:[20229]	0:8	20229	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	16	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	17	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	18	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	19	socket:[20233]	0:8	20233	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	20	socket:[20235]	0:8	20235	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	21	socket:[20236]	0:8	20236	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	22	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	23	socket:[20230]	0:8	20230	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	24	socket:[20231]	0:8	20231	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	25	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	26	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	27	/dev/autofs	0:5	386	CHR	crw-r--r--	2026-02-19 00:39:11.976000 UTC	2026-02-19 00:39:11.976000 UTC	2026-02-19 00:39:11.976000 UTC	0
1	1	systemd	28	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	29	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	30	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	31	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	32	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	33	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	34	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	35	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	36	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	37	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	38	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	43	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	47	socket:[13492]	0:8	13492	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	48	socket:[13508]	0:8	13508	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	61	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
1	1	systemd	71	socket:[22797]	0:8	22797	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	82	socket:[20232]	0:8	20232	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	85	socket:[22775]	0:8	22775	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	86	/run/cloud-init/share/hook-hotplug-cmd	0:26	1068	FIFO	prw-------	2026-02-19 00:39:15.608000 UTC	2026-02-19 00:39:15.608000 UTC	2026-02-19 00:39:15.608000 UTC	0
1	1	systemd	87	/run/initctl	0:26	428	FIFO	prw-------	2026-02-19 00:39:11.508000 UTC	2026-02-19 00:39:11.508000 UTC	2026-02-19 00:39:11.508000 UTC	0
1	1	systemd	89	socket:[13431]	0:8	13431	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	95	socket:[20249]	0:8	20249	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	96	socket:[22784]	0:8	22784	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	97	socket:[13440]	0:8	13440	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	98	socket:[22778]	0:8	22778	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	99	socket:[13437]	0:8	13437	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	102	socket:[20244]	0:8	20244	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	103	pipe:[20241]	0:13	20241	FIFO	prw-------	2026-02-19 00:39:11.664000 UTC	2026-02-19 00:39:11.664000 UTC	2026-02-19 00:39:11.668000 UTC	0
1	1	systemd	104	socket:[14243]	0:8	14243	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	105	socket:[17193]	0:8	17193	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	106	socket:[17190]	0:8	17190	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	107	socket:[17161]	0:8	17161	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	108	socket:[17072]	0:8	17072	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	109	socket:[17063]	0:8	17063	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	110	socket:[17057]	0:8	17057	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	111	socket:[17048]	0:8	17048	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	112	socket:[17047]	0:8	17047	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	113	socket:[17008]	0:8	17008	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	114	socket:[17007]	0:8	17007	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	115	socket:[13954]	0:8	13954	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	116	socket:[21673]	0:8	21673	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	117	socket:[20478]	0:8	20478	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	118	socket:[20430]	0:8	20430	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	119	socket:[20420]	0:8	20420	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	122	socket:[13430]	0:8	13430	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	123	socket:[22773]	0:8	22773	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	124	/run/dmeventd-server	0:26	421	FIFO	prw-------	2026-02-19 00:39:11.500000 UTC	2026-02-19 00:39:11.500000 UTC	2026-02-19 00:39:11.500000 UTC	0
1	1	systemd	125	/run/dmeventd-client	0:26	422	FIFO	prw-------	2026-02-19 00:39:11.500000 UTC	2026-02-19 00:39:11.500000 UTC	2026-02-19 00:39:11.500000 UTC	0
1	1	systemd	126	socket:[20246]	0:8	20246	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	127	socket:[22780]	0:8	22780	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	128	socket:[22782]	0:8	22782	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	129	socket:[13438]	0:8	13438	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	132	socket:[13433]	0:8	13433	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	133	socket:[13435]	0:8	13435	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	134	socket:[22776]	0:8	22776	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	135	socket:[20247]	0:8	20247	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	136	/dev/rfkill	0:5	3	CHR	crw-rw-r--	2026-02-19 00:39:11.980000 UTC	2026-02-19 00:39:11.980000 UTC	2026-02-19 00:39:11.980000 UTC	0
410	410	systemd-journal	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	0
410	410	systemd-journal	1	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	0
410	410	systemd-journal	2	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	0
410	410	systemd-journal	3	socket:[13430]	0:8	13430	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	4	socket:[13431]	0:8	13431	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	5	socket:[13433]	0:8	13433	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	6	socket:[13435]	0:8	13435	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	7	/dev/kmsg	0:5	11	CHR	crw-r--r--	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	0
410	410	systemd-journal	8	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
410	410	systemd-journal	9	/dev/kmsg	0:5	11	CHR	crw-r--r--	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	2026-02-19 00:39:11.972000 UTC	0
410	410	systemd-journal	10	socket:[16613]	0:8	16613	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	11	/proc/sys/kernel/hostname	0:24	16614	REG	-rw-r--r--	2026-02-19 00:39:11.528000 UTC	2026-02-19 00:39:11.528000 UTC	2026-02-19 00:39:11.528000 UTC	0
410	410	systemd-journal	12	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
410	410	systemd-journal	13	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
410	410	systemd-journal	14	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
410	410	systemd-journal	15	socket:[16615]	0:8	16615	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	16	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	2026-02-19 00:39:08.711093 UTC	0
410	410	systemd-journal	17	socket:[21673]	0:8	21673	SOCK	srwxrwxrwx	-	-	-	0
