Volatility 3 Framework 2.28.0

PID	Process	Start	End	Flags	PgOff	Major	Minor	Inode	File Path	File output

1	systemd	0x564927136000	0x56492716c000	r--	0x0	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x56492716c000	0x56492724c000	r-x	0x36000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x56492724c000	0x5649272ab000	r--	0x116000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x5649272ab000	0x5649272fa000	r--	0x174000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x5649272fa000	0x5649272fb000	rw-	0x1c3000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x5649272fb000	0x5649272fd000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x56495115d000	0x5649513e3000	rw-	0x0	0	0	0	[heap]	Disabled
1	systemd	0x7fed4c000000	0x7fed4c021000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fed4c021000	0x7fed50000000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fed54000000	0x7fed54021000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fed54021000	0x7fed58000000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fed593b4000	0x7fed593b5000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fed593b5000	0x7fed59bb5000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fed59bb5000	0x7fed59bb6000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fed59bb6000	0x7fed5a3bc000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fed5a3bc000	0x7fed5a3c0000	r--	0x0	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fed5a3c0000	0x7fed5a3d6000	r-x	0x4000	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fed5a3d6000	0x7fed5a3e0000	r--	0x1a000	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fed5a3e0000	0x7fed5a3e1000	r--	0x23000	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fed5a3e1000	0x7fed5a3e2000	rw-	0x24000	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fed5a3e2000	0x7fed5a3e4000	r--	0x0	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7fed5a3e4000	0x7fed5a3e7000	r-x	0x2000	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7fed5a3e7000	0x7fed5a3e8000	r--	0x5000	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7fed5a3e8000	0x7fed5a3e9000	r--	0x5000	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7fed5a3e9000	0x7fed5a3ea000	rw-	0x6000	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7fed5a3ea000	0x7fed5a3ec000	r--	0x0	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7fed5a3ec000	0x7fed5a457000	r-x	0x2000	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7fed5a457000	0x7fed5a47f000	r--	0x6d000	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7fed5a47f000	0x7fed5a480000	r--	0x94000	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7fed5a480000	0x7fed5a481000	rw-	0x95000	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7fed5a481000	0x7fed5a484000	r--	0x0	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7fed5a484000	0x7fed5a49f000	r-x	0x3000	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7fed5a49f000	0x7fed5a4aa000	r--	0x1e000	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7fed5a4aa000	0x7fed5a4ab000	r--	0x28000	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7fed5a4ab000	0x7fed5a4ac000	rw-	0x29000	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7fed5a4ac000	0x7fed5a4b6000	r--	0x0	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7fed5a4b6000	0x7fed5a568000	r-x	0xa000	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7fed5a568000	0x7fed5a579000	r--	0xbc000	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7fed5a579000	0x7fed5a57a000	r--	0xcc000	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7fed5a57a000	0x7fed5a57b000	rw-	0xcd000	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7fed5a57b000	0x7fed5a57d000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fed5a57d000	0x7fed5a62f000	r--	0x0	252	2	918316	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7fed5a62f000	0x7fed5a88e000	r-x	0xb2000	252	2	918316	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7fed5a88e000	0x7fed5a960000	r--	0x311000	252	2	918316	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7fed5a960000	0x7fed5a9bb000	r--	0x3e2000	252	2	918316	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7fed5a9bb000	0x7fed5a9be000	rw-	0x43d000	252	2	918316	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7fed5a9be000	0x7fed5a9c1000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fed5a9c1000	0x7fed5a9c3000	r--	0x0	252	2	924363	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7fed5a9c3000	0x7fed5a9dc000	r-x	0x2000	252	2	924363	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7fed5a9dc000	0x7fed5a9de000	r--	0x1b000	252	2	924363	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7fed5a9de000	0x7fed5a9df000	---	0x1d000	252	2	924363	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7fed5a9df000	0x7fed5a9e0000	r--	0x1d000	252	2	924363	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7fed5a9e0000	0x7fed5a9e1000	rw-	0x1e000	252	2	924363	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7fed5a9e1000	0x7fed5a9e3000	r--	0x0	252	2	918723	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7fed5a9e3000	0x7fed5a9e7000	r-x	0x2000	252	2	918723	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7fed5a9e7000	0x7fed5a9e9000	r--	0x6000	252	2	918723	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7fed5a9e9000	0x7fed5a9ea000	r--	0x7000	252	2	918723	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7fed5a9ea000	0x7fed5a9eb000	rw-	0x8000	252	2	918723	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7fed5a9eb000	0x7fed5a9fa000	r--	0x0	252	2	924306	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
1	systemd	0x7fed5a9fa000	0x7fed5aae0000	r-x	0xf000	252	2	924306	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
