Volatility 3 Framework 2.28.0

OFFSET (V)	PID	TID	PPID	COMM	UID	GID	EUID	EGID	CREATION TIME	File output

0x9bbd01290000	1	1	0	systemd	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd01292000	2	2	0	kthreadd	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd01294000	3	3	2	rcu_gp	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd01296000	4	4	2	rcu_par_gp	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd012ec000	5	5	2	slub_flushwq	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd012ee000	6	6	2	netns	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd012e8000	7	7	2	kworker/0:0	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd012ea000	8	8	2	kworker/0:0H	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd012f2000	9	9	2	kworker/u8:0	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd012f4000	10	10	2	mm_percpu_wq	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd012f6000	11	11	2	rcu_tasks_rude_	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd012f0000	12	12	2	rcu_tasks_trace	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd012fe000	13	13	2	ksoftirqd/0	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd012f8000	14	14	2	rcu_sched	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd012fa000	15	15	2	migration/0	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd012fc000	16	16	2	idle_inject/0	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd01312000	17	17	2	kworker/0:1	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd0131a000	18	18	2	cpuhp/0	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd0131c000	19	19	2	cpuhp/1	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd0131e000	20	20	2	idle_inject/1	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd01318000	21	21	2	migration/1	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd0139a000	22	22	2	ksoftirqd/1	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd0139c000	23	23	2	kworker/1:0	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd0139e000	24	24	2	kworker/1:0H	0	0	0	0	2026-02-19 00:39:08.040965 UTC	Disabled
0x9bbd01398000	25	25	2	cpuhp/2	0	0	0	0	2026-02-19 00:39:08.044965 UTC	Disabled
0x9bbd013a4000	26	26	2	idle_inject/2	0	0	0	0	2026-02-19 00:39:08.044965 UTC	Disabled
0x9bbd013a6000	27	27	2	migration/2	0	0	0	0	2026-02-19 00:39:08.044965 UTC	Disabled
0x9bbd013a0000	28	28	2	ksoftirqd/2	0	0	0	0	2026-02-19 00:39:08.044965 UTC	Disabled
0x9bbd013a2000	29	29	2	kworker/2:0	0	0	0	0	2026-02-19 00:39:08.044965 UTC	Disabled
0x9bbd013bc000	30	30	2	kworker/2:0H	0	0	0	0	2026-02-19 00:39:08.044965 UTC	Disabled
0x9bbd013be000	31	31	2	cpuhp/3	0	0	0	0	2026-02-19 00:39:08.048965 UTC	Disabled
0x9bbd013b8000	32	32	2	idle_inject/3	0	0	0	0	2026-02-19 00:39:08.048965 UTC	Disabled
0x9bbd013ba000	33	33	2	migration/3	0	0	0	0	2026-02-19 00:39:08.048965 UTC	Disabled
0x9bbd013c0000	34	34	2	ksoftirqd/3	0	0	0	0	2026-02-19 00:39:08.048965 UTC	Disabled
0x9bbd013c2000	35	35	2	kworker/3:0	0	0	0	0	2026-02-19 00:39:08.048965 UTC	Disabled
0x9bbd013c4000	36	36	2	kworker/3:0H	0	0	0	0	2026-02-19 00:39:08.048965 UTC	Disabled
0x9bbd013c6000	37	37	2	kdevtmpfs	0	0	0	0	2026-02-19 00:39:08.052965 UTC	Disabled
0x9bbd013ca000	38	38	2	inet_frag_wq	0	0	0	0	2026-02-19 00:39:08.052965 UTC	Disabled
0x9bbd013cc000	39	39	2	kauditd	0	0	0	0	2026-02-19 00:39:08.052965 UTC	Disabled
0x9bbd013ce000	40	40	2	khungtaskd	0	0	0	0	2026-02-19 00:39:08.052965 UTC	Disabled
0x9bbd013c8000	41	41	2	oom_reaper	0	0	0	0	2026-02-19 00:39:08.052965 UTC	Disabled
0x9bbd01976000	42	42	2	writeback	0	0	0	0	2026-02-19 00:39:08.052965 UTC	Disabled
0x9bbd01970000	43	43	2	kcompactd0	0	0	0	0	2026-02-19 00:39:08.052965 UTC	Disabled
