Volatility 3 Framework 2.28.0

OFFSET (V)	PID	TID	PPID	COMM

0x9bbd01290000	1	1	0	systemd
* 0x9bbd01216000	410	410	1	systemd-journal
* 0x9bbd03692000	448	448	1	multipathd
* 0x9bbd036a4000	451	451	1	systemd-udevd
* 0x9bbd2fcd8000	511	511	1	systemd-timesyn
* 0x9bbd16690000	617	617	1	systemd-network
* 0x9bbd16694000	619	619	1	systemd-resolve
* 0x9bbd0451e000	630	630	1	cron
* 0x9bbd0451c000	632	632	1	dbus-daemon
* 0x9bbd07f3a000	638	638	1	irqbalance
* 0x9bbd0a63e000	639	639	1	networkd-dispat
* 0x9bbd0a638000	640	640	1	polkitd
* 0x9bbd0a63a000	641	641	1	rsyslogd
* 0x9bbd01b58000	645	645	1	snapd
* 0x9bbd0a678000	650	650	1	systemd-logind
* 0x9bbd3073c000	652	652	1	udisksd
* 0x9bbd12de8000	672	672	1	agetty
* 0x9bbd0771a000	695	695	1	ModemManager
* 0x9bbd07718000	697	697	1	unattended-upgr
* 0x9bbd061b8000	700	700	1	sshd
* 0x9bbd11eec000	856	856	1	systemd-timedat
0x9bbd01292000	2	2	0	kthreadd
* 0x9bbd01294000	3	3	2	rcu_gp
* 0x9bbd01296000	4	4	2	rcu_par_gp
* 0x9bbd012ec000	5	5	2	slub_flushwq
* 0x9bbd012ee000	6	6	2	netns
* 0x9bbd012e8000	7	7	2	kworker/0:0
* 0x9bbd012ea000	8	8	2	kworker/0:0H
* 0x9bbd012f2000	9	9	2	kworker/u8:0
* 0x9bbd012f4000	10	10	2	mm_percpu_wq
* 0x9bbd012f6000	11	11	2	rcu_tasks_rude_
* 0x9bbd012f0000	12	12	2	rcu_tasks_trace
* 0x9bbd012fe000	13	13	2	ksoftirqd/0
* 0x9bbd012f8000	14	14	2	rcu_sched
* 0x9bbd012fa000	15	15	2	migration/0
* 0x9bbd012fc000	16	16	2	idle_inject/0
* 0x9bbd01312000	17	17	2	kworker/0:1
* 0x9bbd0131a000	18	18	2	cpuhp/0
* 0x9bbd0131c000	19	19	2	cpuhp/1
* 0x9bbd0131e000	20	20	2	idle_inject/1
* 0x9bbd01318000	21	21	2	migration/1
* 0x9bbd0139a000	22	22	2	ksoftirqd/1
* 0x9bbd0139c000	23	23	2	kworker/1:0
* 0x9bbd0139e000	24	24	2	kworker/1:0H
* 0x9bbd01398000	25	25	2	cpuhp/2
* 0x9bbd013a4000	26	26	2	idle_inject/2
* 0x9bbd013a6000	27	27	2	migration/2
* 0x9bbd013a0000	28	28	2	ksoftirqd/2
* 0x9bbd013a2000	29	29	2	kworker/2:0
* 0x9bbd013bc000	30	30	2	kworker/2:0H
* 0x9bbd013be000	31	31	2	cpuhp/3
* 0x9bbd013b8000	32	32	2	idle_inject/3
* 0x9bbd013ba000	33	33	2	migration/3
* 0x9bbd013c0000	34	34	2	ksoftirqd/3
* 0x9bbd013c2000	35	35	2	kworker/3:0
* 0x9bbd013c4000	36	36	2	kworker/3:0H
* 0x9bbd013c6000	37	37	2	kdevtmpfs
* 0x9bbd013ca000	38	38	2	inet_frag_wq
* 0x9bbd013cc000	39	39	2	kauditd
* 0x9bbd013ce000	40	40	2	khungtaskd
* 0x9bbd013c8000	41	41	2	oom_reaper
* 0x9bbd01976000	42	42	2	writeback
* 0x9bbd01970000	43	43	2	kcompactd0
* 0x9bbd01972000	44	44	2	ksmd
* 0x9bbd01974000	45	45	2	khugepaged
* 0x9bbd01988000	52	52	2	kworker/1:1
* 0x9bbd01ace000	55	55	2	kworker/2:1
* 0x9bbd01b62000	93	93	2	kintegrityd
* 0x9bbd01b70000	94	94	2	kblockd
* 0x9bbd01b72000	95	95	2	blkcg_punt_bio
* 0x9bbd01b74000	96	96	2	tpm_dev_wq
* 0x9bbd01b76000	97	97	2	ata_sff
* 0x9bbd01aca000	98	98	2	md
* 0x9bbd01ac8000	99	99	2	edac-poller
* 0x9bbd01acc000	100	100	2	devfreq_wq
* 0x9bbd0198c000	101	101	2	watchdogd
* 0x9bbd0198a000	102	102	2	kworker/u8:1
* 0x9bbd0198e000	103	103	2	kworker/0:1H
* 0x9bbd01b66000	105	105	2	kswapd0
* 0x9bbd01b64000	106	106	2	ecryptfs-kthrea
* 0x9bbd01b5e000	108	108	2	kthrotld
* 0x9bbd01b5c000	109	109	2	irq/24-aerdrv
* 0x9bbd01b5a000	110	110	2	irq/25-aerdrv
* 0x9bbd01b4c000	111	111	2	irq/26-aerdrv
* 0x9bbd01b4a000	112	112	2	irq/27-aerdrv
* 0x9bbd01b48000	113	113	2	irq/28-aerdrv
* 0x9bbd01b4e000	114	114	2	irq/29-aerdrv
* 0x9bbd01aec000	115	115	2	irq/30-aerdrv
* 0x9bbd01aea000	116	116	2	irq/31-aerdrv
* 0x9bbd01ae8000	117	117	2	irq/32-aerdrv
* 0x9bbd01aee000	118	118	2	irq/33-aerdrv
* 0x9bbd01ae6000	119	119	2	irq/34-aerdrv
* 0x9bbd01ae4000	120	120	2	irq/35-aerdrv
* 0x9bbd01ae2000	121	121	2	irq/36-aerdrv
* 0x9bbd01ae0000	122	122	2	irq/37-aerdrv
* 0x9bbd01ad8000	123	123	2	kworker/3:1
* 0x9bbd01ade000	124	124	2	acpi_thermal_pm
* 0x9bbd01adc000	125	125	2	kworker/u8:2
* 0x9bbd01ada000	126	126	2	vfio-irqfd-clea
* 0x9bbd03abe000	127	127	2	mld
* 0x9bbd03ab8000	128	128	2	kworker/3:1H
* 0x9bbd03aba000	129	129	2	ipv6_addrconf
* 0x9bbd03abc000	131	131	2	kworker/u8:3
* 0x9bbd036ce000	139	139	2	kstrp
* 0x9bbd036cc000	142	142	2	zswap-shrink
* 0x9bbd036ca000	143	143	2	kworker/u9:0
* 0x9bbd01212000	148	148	2	charger_manager
* 0x9bbd01214000	188	188	2	kworker/2:1H
* 0x9bbd01210000	189	189	2	hwrng
* 0x9bbd03690000	190	190	2	kworker/0:2
* 0x9bbd03696000	191	191	2	kworker/2:2
* 0x9bbd3073a000	192	192	2	cryptd
* 0x9bbd036a2000	208	208	2	scsi_eh_0
* 0x9bbd036a0000	209	209	2	scsi_tmf_0
* 0x9bbd0369e000	211	211	2	scsi_eh_1
* 0x9bbd0369c000	212	212	2	scsi_tmf_1
* 0x9bbd0369a000	213	213	2	scsi_eh_2
* 0x9bbd03698000	214	214	2	scsi_tmf_2
* 0x9bbd2fb14000	215	215	2	scsi_eh_3
* 0x9bbd2fb16000	216	216	2	scsi_tmf_3
* 0x9bbd2fb10000	217	217	2	scsi_eh_4
* 0x9bbd2fb12000	218	218	2	scsi_tmf_4
* 0x9bbd2fb2a000	219	219	2	scsi_eh_5
* 0x9bbd2fb2c000	220	220	2	scsi_tmf_5
* 0x9bbd2fb38000	230	230	2	kworker/1:1H
* 0x9bbd2fb3c000	232	232	2	kworker/u8:4
* 0x9bbd2fbde000	241	241	2	kworker/u8:5
* 0x9bbd2fbe4000	242	242	2	kworker/u8:6
* 0x9bbd2fbe6000	243	243	2	kworker/u8:7
* 0x9bbd2fbe0000	250	250	2	kworker/u8:8
* 0x9bbd2fbe2000	251	251	2	kworker/3:2
* 0x9bbd2fe5a000	267	267	2	kworker/0:3
* 0x9bbd2fe5c000	282	282	2	kworker/1:2
* 0x9bbd2fe58000	291	291	2	raid5wq
* 0x9bbd03694000	338	338	2	jbd2/vda2-8
* 0x9bbd2fbec000	339	339	2	ext4-rsv-conver
* 0x9bbd0a67c000	440	440	2	kaluad
* 0x9bbd2fbea000	444	444	2	kmpath_rdacd
* 0x9bbd2fbee000	446	446	2	kmpathd
* 0x9bbd036c4000	447	447	2	kmpath_handlerd
* 0x9bbd2fcdc000	536	536	2	kworker/3:3
