Volatility 3 Framework 2.28.0

Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

0x111ff28	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x11294e8	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x112e558	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x1131848	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x1136268	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x30710880	AF_UNIX	STREAM	-	/var/snap/lxd/common/lxd/unix.socket	22776	-	-	LISTEN	-
0x313a000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	695	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x3148800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3392130535	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x314a000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	650	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x314b000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	2196867749	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x314c000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3883285782	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x31508c0	AF_INET	STREAM	TCP	127.0.0.53	53	0.0.0.0	0	LISTEN	-
0x3152bc0	AF_INET	STREAM	TCP	0.0.0.0	22	0.0.0.0	0	LISTEN	-
0x35d0440	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	21840	-	14074	ESTABLISHED	-
0x35d0880	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	17007	-	14000	ESTABLISHED	-
0x35d1100	AF_UNIX	STREAM	-	-	14029	/run/systemd/journal/stdout	17072	ESTABLISHED	-
0x35d1540	AF_UNIX	STREAM	-	-	14076	-	14077	ESTABLISHED	-
0x35d1980	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	17063	-	14021	ESTABLISHED	-
0x35d2640	AF_UNIX	STREAM	-	/run/irqbalance/irqbalance638.sock	14020	-	-	LISTEN	-
0x35d2a80	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	17047	-	14007	ESTABLISHED	-
0x35d3300	AF_UNIX	STREAM	-	-	14077	-	14076	ESTABLISHED	-
0x35d3740	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	17057	-	14016	ESTABLISHED	-
0x35d3fc0	AF_UNIX	STREAM	-	-	14016	/run/systemd/journal/stdout	17057	ESTABLISHED	-
0x35d4400	AF_UNIX	STREAM	-	-	14007	/run/systemd/journal/stdout	17047	ESTABLISHED	-
0x35d4840	AF_UNIX	SEQPACKET	-	/run/udev/control	13438	-	-	UNCONNECTED	-
0x35d4c80	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	13435	-	-	LISTEN	-
0x35d50c0	AF_UNIX	STREAM	-	-	13999	/run/dbus/system_bus_socket	21797	ESTABLISHED	-
0x35d5500	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	17072	-	14029	ESTABLISHED	-
0x35d5940	AF_UNIX	STREAM	-	-	14000	/run/systemd/journal/stdout	17007	ESTABLISHED	-
0x35d5d80	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	21797	-	13999	ESTABLISHED	-
0x35d61c0	AF_UNIX	STREAM	-	-	14021	/run/systemd/journal/stdout	17063	ESTABLISHED	-
0x35d6600	AF_UNIX	DGRAM	-	/run/systemd/journal/socket	13433	-	-	UNCONNECTED	-
0x35d72c0	AF_UNIX	STREAM	-	-	14074	/run/dbus/system_bus_socket	21840	ESTABLISHED	-
0x35d7700	AF_UNIX	DGRAM	-	/run/systemd/journal/dev-log	13431	-	-	UNCONNECTED	-
0x3a4d000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	645	group:0x00000000	0	UNCONNECTED	-
0xe919000	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x00000111	619	group:0x00000000	0	UNCONNECTED	-
0x11b20000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	652	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x12d5c800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	617	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x12d5d800	AF_PACKET	RAW	0x88cc	enp1s0	-	-	-	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x15469100	AF_UNIX	STREAM	-	-	23086	/run/systemd/journal/stdout	14243	ESTABLISHED	-
0x1546d500	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	14243	-	23086	ESTABLISHED	-
0x1546f2c0	AF_UNIX	STREAM	-	-	23106	/run/dbus/system_bus_socket	22067	ESTABLISHED	-
0x1546fb40	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	22067	-	23106	ESTABLISHED	-
0x2edd8000	AF_UNIX	STREAM	-	/run/systemd/userdb/io.systemd.DynamicUser	20235	-	-	LISTEN	-
0x2edd8440	AF_UNIX	STREAM	-	-	20303	/run/systemd/journal/stdout	20430	ESTABLISHED	-
0x2edd8880	AF_UNIX	STREAM	-	-	20472	/run/systemd/journal/stdout	20478	ESTABLISHED	-
0x2edd8cc0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20478	-	20472	ESTABLISHED	-
0x2edd9540	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20430	-	20303	ESTABLISHED	-
0x2edd9dc0	AF_UNIX	DGRAM	-	-	21525	-	21524	CONNECTED	-
0x2edda200	AF_UNIX	DGRAM	-	/run/systemd/journal/syslog	20247	-	-	UNCONNECTED	-
0x2edda640	AF_UNIX	DGRAM	-	-	21523	-	21522	CONNECTED	-
0x2eddaa80	AF_UNIX	STREAM	-	/run/lvm/lvmpolld.socket	20244	-	-	LISTEN	-
0x2eddaec0	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	21798	-	21746	ESTABLISHED	-
0x2eddb300	AF_UNIX	STREAM	-	-	21746	/run/dbus/system_bus_socket	21798	ESTABLISHED	-
0x2eddb740	AF_UNIX	DGRAM	-	-	21524	-	21525	CONNECTED	-
0x2eddbb80	AF_UNIX	STREAM	-	/run/systemd/private	20233	-	-	LISTEN	-
0x2eddbfc0	AF_UNIX	STREAM	-	/run/systemd/fsck.progress	20249	-	-	LISTEN	-
0x2eddc400	AF_UNIX	STREAM	-	/run/systemd/io.system.ManagedOOM	20236	-	-	LISTEN	-
0x2eddcc80	AF_UNIX	DGRAM	-	-	20317	-	20316	CONNECTED	-
0x2eddd0c0	AF_UNIX	DGRAM	-	-	20232	-	20231	CONNECTED	-
