Volatility 3 Framework 2.28.0

PID	Process	Start	End	File Path	File Output

1	systemd	0x55eef0645000	0x55eef067b000	/usr/lib/systemd/systemd	Disabled
1	systemd	0x7f67367e9000	0x7f67367ed000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7f673680f000	0x7f6736811000	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7f6736817000	0x7f6736819000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7f67368ae000	0x7f67368b1000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7f67368d9000	0x7f67368e3000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7f67369aa000	0x7f6736a5c000	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7f6736dee000	0x7f6736df0000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7f6736e0e000	0x7f6736e10000	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7f6736e18000	0x7f6736e27000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
1	systemd	0x7f6736f56000	0x7f6736f58000	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
1	systemd	0x7f6736f90000	0x7f6736f93000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
1	systemd	0x7f6736f9d000	0x7f6736fa4000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
1	systemd	0x7f6736fd4000	0x7f6736fd6000	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2301	Disabled
1	systemd	0x7f6736fde000	0x7f6737006000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
1	systemd	0x7f6737207000	0x7f673720a000	/usr/lib/x86_64-linux-gnu/libapparmor.so.1.8.2	Disabled
1	systemd	0x7f673721c000	0x7f6737220000	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.7	Disabled
1	systemd	0x7f6737238000	0x7f673723b000	/usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0	Disabled
1	systemd	0x7f6737268000	0x7f673726b000	/usr/lib/x86_64-linux-gnu/libpam.so.0.85.1	Disabled
1	systemd	0x7f673727a000	0x7f6737282000	/usr/lib/x86_64-linux-gnu/libmount.so.1.1.0	Disabled
1	systemd	0x7f67372be000	0x7f67372c4000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
1	systemd	0x7f67372ea000	0x7f67372ec000	/usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.3	Disabled
1	systemd	0x7f6737310000	0x7f6737361000	/usr/lib/systemd/libsystemd-shared-249.so	Disabled
1	systemd	0x7f67375ca000	0x7f67375cc000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
1	systemd	0x7f67375f6000	0x7f6737601000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
1	systemd	0x7ffd8d341000	0x7ffd8d343000	[vdso]	Disabled
408	systemd-journal	0x558fe5722000	0x558fe5729000	/usr/lib/systemd/systemd-journald	Disabled
408	systemd-journal	0x7f6311ca1000	0x7f6311ca3000	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
408	systemd-journal	0x7f6311ca9000	0x7f6311cac000	/usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0	Disabled
408	systemd-journal	0x7f6311cd7000	0x7f6311cdb000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
408	systemd-journal	0x7f6311cfd000	0x7f6311cff000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
408	systemd-journal	0x7f6311d96000	0x7f6311d99000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
408	systemd-journal	0x7f6311dc1000	0x7f6311dcb000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
408	systemd-journal	0x7f6311e90000	0x7f6311e92000	/usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.3	Disabled
408	systemd-journal	0x7f6311eb0000	0x7f6311eb3000	/usr/lib/x86_64-linux-gnu/libpam.so.0.85.1	Disabled
408	systemd-journal	0x7f6311ec2000	0x7f6311f74000	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
408	systemd-journal	0x7f6312306000	0x7f631230e000	/usr/lib/x86_64-linux-gnu/libmount.so.1.1.0	Disabled
408	systemd-journal	0x7f631234c000	0x7f631234e000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
408	systemd-journal	0x7f631236c000	0x7f6312370000	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.7	Disabled
408	systemd-journal	0x7f6312388000	0x7f631238a000	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
408	systemd-journal	0x7f6312392000	0x7f63123a1000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
408	systemd-journal	0x7f63124d0000	0x7f63124d2000	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
408	systemd-journal	0x7f631250a000	0x7f631250d000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
408	systemd-journal	0x7f6312517000	0x7f631251e000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
408	systemd-journal	0x7f631254e000	0x7f6312550000	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2301	Disabled
408	systemd-journal	0x7f6312558000	0x7f6312580000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
408	systemd-journal	0x7f6312781000	0x7f6312787000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
408	systemd-journal	0x7f63127b3000	0x7f6312804000	/usr/lib/systemd/libsystemd-shared-249.so	Disabled
408	systemd-journal	0x7f6312a6d000	0x7f6312a6f000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
408	systemd-journal	0x7f6312a99000	0x7f6312aa4000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
408	systemd-journal	0x7ffee4cd4000	0x7ffee4cd6000	[vdso]	Disabled
446	multipathd	0x555dfe5e6000	0x555dfe5ec000	/usr/sbin/multipathd	Disabled
446	multipathd	0x7f6114c69000	0x7f6114c6a000	/usr/lib/multipath/libprioconst.so	Disabled
446	multipathd	0x7f611546f000	0x7f6115472000	/usr/lib/x86_64-linux-gnu/libgcc_s.so.1	Disabled
446	multipathd	0x7f6115c94000	0x7f6115c98000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
446	multipathd	0x7f6115cba000	0x7f6115cbc000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
446	multipathd	0x7f6115d51000	0x7f6115d60000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
446	multipathd	0x7f6115e91000	0x7f6115e94000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
446	multipathd	0x7f6115e9c000	0x7f6115e9e000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
