Volatility 3 Framework 2.28.0

PID	PPID	COMM	KEY	VALUE

1	0	systemd	HOME	/
1	0	systemd	init	/sbin/init
1	0	systemd	NETWORK_SKIP_ENSLAVED	
1	0	systemd	TERM	linux
1	0	systemd	BOOT_IMAGE	/boot/vmlinuz-5.15.0-164-generic
1	0	systemd	drop_caps	
1	0	systemd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1	0	systemd	PWD	/
1	0	systemd	rootmnt	/root
408	1	systemd-journal	LANG	en_US.UTF-8
408	1	systemd-journal	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
408	1	systemd-journal	NOTIFY_SOCKET	/run/systemd/notify
408	1	systemd-journal	LISTEN_PID	408
408	1	systemd-journal	LISTEN_FDS	4
408	1	systemd-journal	LISTEN_FDNAMES	systemd-journald.socket:systemd-journald.socket:systemd-journald-dev-log.socket:systemd-journald-audit.socket
408	1	systemd-journal	WATCHDOG_PID	408
408	1	systemd-journal	WATCHDOG_USEC	180000000
408	1	systemd-journal	INVOCATION_ID	19f94cf073724cacaafc868c0f012cb8
408	1	systemd-journal	RUNTIME_DIRECTORY	/run/systemd/journal
408	1	systemd-journal	SYSTEMD_EXEC_PID	408
446	1	multipathd	LANG	en_US.UTF-8
446	1	multipathd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
446	1	multipathd	NOTIFY_SOCKET	/run/systemd/notify
446	1	multipathd	LISTEN_PID	446
446	1	multipathd	LISTEN_FDS	1
446	1	multipathd	LISTEN_FDNAMES	multipathd.socket
446	1	multipathd	INVOCATION_ID	e5e01f96719441fb932bcf3251084b40
446	1	multipathd	JOURNAL_STREAM	8:20343
446	1	multipathd	SYSTEMD_EXEC_PID	446
450	1	systemd-udevd	LANG	en_US.UTF-8
450	1	systemd-udevd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
450	1	systemd-udevd	NOTIFY_SOCKET	/run/systemd/notify
450	1	systemd-udevd	LISTEN_PID	450
450	1	systemd-udevd	LISTEN_FDS	2
450	1	systemd-udevd	LISTEN_FDNAMES	systemd-udevd-kernel.socket:systemd-udevd-control.socket
450	1	systemd-udevd	WATCHDOG_PID	450
450	1	systemd-udevd	WATCHDOG_USEC	180000000
450	1	systemd-udevd	INVOCATION_ID	e68c427f44b94f169eadbbf1226bbb61
450	1	systemd-udevd	JOURNAL_STREAM	8:14707
450	1	systemd-udevd	SYSTEMD_EXEC_PID	450
510	1	systemd-timesyn	LANG	en_US.UTF-8
510	1	systemd-timesyn	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
510	1	systemd-timesyn	NOTIFY_SOCKET	/run/systemd/notify
510	1	systemd-timesyn	WATCHDOG_PID	510
510	1	systemd-timesyn	WATCHDOG_USEC	180000000
510	1	systemd-timesyn	HOME	/run/systemd
510	1	systemd-timesyn	LOGNAME	systemd-timesync
510	1	systemd-timesyn	USER	systemd-timesync
510	1	systemd-timesyn	INVOCATION_ID	69b746f31c5b4fe7a46e6572bdbb9a47
510	1	systemd-timesyn	JOURNAL_STREAM	8:19001
510	1	systemd-timesyn	RUNTIME_DIRECTORY	/run/systemd/timesync
510	1	systemd-timesyn	STATE_DIRECTORY	/var/lib/systemd/timesync
510	1	systemd-timesyn	SYSTEMD_EXEC_PID	510
510	1	systemd-timesyn	SYSTEMD_NSS_RESOLVE_VALIDATE	0
616	1	systemd-network	LANG	en_US.UTF-8
616	1	systemd-network	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
616	1	systemd-network	NOTIFY_SOCKET	/run/systemd/notify
616	1	systemd-network	LISTEN_PID	616
616	1	systemd-network	LISTEN_FDS	1
616	1	systemd-network	LISTEN_FDNAMES	systemd-networkd.socket
616	1	systemd-network	WATCHDOG_PID	616
616	1	systemd-network	WATCHDOG_USEC	180000000
616	1	systemd-network	HOME	/run/systemd
616	1	systemd-network	LOGNAME	systemd-network
616	1	systemd-network	USER	systemd-network
616	1	systemd-network	INVOCATION_ID	1f399880b63e48b7982c671c86ea88f2
616	1	systemd-network	JOURNAL_STREAM	8:15042
616	1	systemd-network	RUNTIME_DIRECTORY	/run/systemd/netif
616	1	systemd-network	SYSTEMD_EXEC_PID	616
618	1	systemd-resolve	LANG	en_US.UTF-8
618	1	systemd-resolve	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
618	1	systemd-resolve	NOTIFY_SOCKET	/run/systemd/notify
618	1	systemd-resolve	WATCHDOG_PID	618
618	1	systemd-resolve	WATCHDOG_USEC	180000000
618	1	systemd-resolve	HOME	/run/systemd
618	1	systemd-resolve	LOGNAME	systemd-resolve
618	1	systemd-resolve	USER	systemd-resolve
618	1	systemd-resolve	INVOCATION_ID	a36f92a18ba948bfa5f8a719d70fbe3c
618	1	systemd-resolve	JOURNAL_STREAM	8:22552
618	1	systemd-resolve	RUNTIME_DIRECTORY	/run/systemd/resolve
618	1	systemd-resolve	SYSTEMD_EXEC_PID	618
629	1	cron	LANG	en_US.UTF-8
629	1	cron	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
629	1	cron	INVOCATION_ID	497aea095ec4400bb86fc417b2571088
629	1	cron	JOURNAL_STREAM	8:19161
629	1	cron	SYSTEMD_EXEC_PID	629
631	1	dbus-daemon	LANG	en_US.UTF-8
631	1	dbus-daemon	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
631	1	dbus-daemon	LISTEN_PID	631
631	1	dbus-daemon	LISTEN_FDS	1
631	1	dbus-daemon	LISTEN_FDNAMES	dbus.socket
631	1	dbus-daemon	SYSTEMD_NSS_DYNAMIC_BYPASS	1
631	1	dbus-daemon	INVOCATION_ID	58fabc0f376045c38ce2858e0fee1811
631	1	dbus-daemon	JOURNAL_STREAM	8:15151
631	1	dbus-daemon	SYSTEMD_EXEC_PID	631
637	1	irqbalance	LANG	en_US.UTF-8
637	1	irqbalance	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
637	1	irqbalance	INVOCATION_ID	c9ee8035f00e43d7a70e00a38a65ddee
637	1	irqbalance	JOURNAL_STREAM	8:19172
637	1	irqbalance	RUNTIME_DIRECTORY	/run/irqbalance
637	1	irqbalance	SYSTEMD_EXEC_PID	637
638	1	networkd-dispat	LANG	en_US.UTF-8
638	1	networkd-dispat	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
638	1	networkd-dispat	NOTIFY_SOCKET	/run/systemd/notify
638	1	networkd-dispat	INVOCATION_ID	7095fa9968d34707a7c3ab1fa721bb79
638	1	networkd-dispat	JOURNAL_STREAM	8:22626
638	1	networkd-dispat	SYSTEMD_EXEC_PID	638
638	1	networkd-dispat	networkd_dispatcher_args	--run-startup-triggers
639	1	polkitd	LANG	en_US.UTF-8
639	1	polkitd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
639	1	polkitd	INVOCATION_ID	f242b146d60747dfa1649ab07ae19fa4
639	1	polkitd	JOURNAL_STREAM	8:15204
639	1	polkitd	SYSTEMD_EXEC_PID	639
646	1	snapd	LANG	en_US.UTF-8
646	1	snapd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
646	1	snapd	NOTIFY_SOCKET	/run/systemd/notify
646	1	snapd	LISTEN_PID	646
646	1	snapd	LISTEN_FDS	2
646	1	snapd	LISTEN_FDNAMES	snapd.socket:snapd.socket
646	1	snapd	WATCHDOG_PID	646
646	1	snapd	WATCHDOG_USEC	300000000
646	1	snapd	INVOCATION_ID	2620cf7c76ed43babb342ee6756aed75
646	1	snapd	JOURNAL_STREAM	8:15216
646	1	snapd	SYSTEMD_EXEC_PID	646
649	1	systemd-logind	LANG	en_US.UTF-8
649	1	systemd-logind	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
649	1	systemd-logind	NOTIFY_SOCKET	/run/systemd/notify
649	1	systemd-logind	WATCHDOG_PID	649
649	1	systemd-logind	WATCHDOG_USEC	180000000
649	1	systemd-logind	INVOCATION_ID	0dc7f497b69442e29f8c59acc85ad12b
649	1	systemd-logind	JOURNAL_STREAM	8:15234
649	1	systemd-logind	RUNTIME_DIRECTORY	/run/systemd/sessions:/run/systemd/seats:/run/systemd/users:/run/systemd/inhibit:/run/systemd/shutdown
649	1	systemd-logind	STATE_DIRECTORY	/var/lib/systemd/linger
649	1	systemd-logind	SYSTEMD_EXEC_PID	649
657	1	udisksd	LANG	en_US.UTF-8
657	1	udisksd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
657	1	udisksd	INVOCATION_ID	e3196313853244c9ac680d6b20877af4
657	1	udisksd	JOURNAL_STREAM	8:20686
657	1	udisksd	SYSTEMD_EXEC_PID	657
670	1	ModemManager	LANG	en_US.UTF-8
670	1	ModemManager	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
670	1	ModemManager	HOME	/root
670	1	ModemManager	LOGNAME	root
670	1	ModemManager	USER	root
670	1	ModemManager	SHELL	/bin/sh
670	1	ModemManager	INVOCATION_ID	fc69df537af34c379ea06cf29da75624
670	1	ModemManager	JOURNAL_STREAM	8:19189
670	1	ModemManager	SYSTEMD_EXEC_PID	670
680	1	agetty	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
680	1	agetty	INVOCATION_ID	db5e8e8ed20d4621bb31dbe5149460c7
680	1	agetty	TERM	linux
680	1	agetty	JOURNAL_STREAM	8:20862
680	1	agetty	SYSTEMD_EXEC_PID	680
693	1	unattended-upgr	LANG	en_US.UTF-8
693	1	unattended-upgr	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
693	1	unattended-upgr	INVOCATION_ID	1be7a983444d453d8c2cee7627d7a134
693	1	unattended-upgr	JOURNAL_STREAM	8:19227
693	1	unattended-upgr	SYSTEMD_EXEC_PID	693
