Volatility 3 Framework 2.28.0

PID	TID	Process	FD	Path	Device	Inode	Type	Mode	Changed	Modified	Accessed	Size

1	1	systemd	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-18 02:34:10.812000 UTC	2026-02-18 02:34:10.812000 UTC	2026-02-18 02:34:10.812000 UTC	0
1	1	systemd	1	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-18 02:34:10.812000 UTC	2026-02-18 02:34:10.812000 UTC	2026-02-18 02:34:10.812000 UTC	0
1	1	systemd	2	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-18 02:34:10.812000 UTC	2026-02-18 02:34:10.812000 UTC	2026-02-18 02:34:10.812000 UTC	0
1	1	systemd	3	/dev/kmsg	0:5	11	CHR	crw-r--r--	2026-02-18 02:34:10.812000 UTC	2026-02-18 02:34:10.812000 UTC	2026-02-18 02:34:10.812000 UTC	0
1	1	systemd	4	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	5	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	6	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	7	/sys/fs/cgroup	0:30	1	DIR	dr-xr-xr-x	2026-02-18 02:34:10.506485 UTC	2026-02-18 02:34:10.506485 UTC	2026-02-18 02:34:10.327223 UTC	0
1	1	systemd	8	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	9	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	10	/proc/1/mountinfo	0:24	18684	REG	-r--r--r--	2026-02-18 02:34:10.148000 UTC	2026-02-18 02:34:10.148000 UTC	2026-02-18 02:34:10.148000 UTC	0
1	1	systemd	11	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	13	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	14	/proc/swaps	0:24	4026532073	REG	-r--r--r--	2026-02-18 02:34:10.152000 UTC	2026-02-18 02:34:10.152000 UTC	2026-02-18 02:34:10.152000 UTC	0
1	1	systemd	15	socket:[20258]	0:8	20258	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	16	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	17	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	18	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	19	socket:[20262]	0:8	20262	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	20	socket:[20264]	0:8	20264	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	21	socket:[20265]	0:8	20265	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	22	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	23	socket:[20259]	0:8	20259	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	24	socket:[20260]	0:8	20260	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	25	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	26	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	27	/dev/autofs	0:5	386	CHR	crw-r--r--	2026-02-18 02:34:10.812000 UTC	2026-02-18 02:34:10.812000 UTC	2026-02-18 02:34:10.812000 UTC	0
1	1	systemd	28	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	32	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	33	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	34	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	35	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	36	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	37	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	38	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	40	socket:[336998]	0:8	336998	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	41	socket:[23317]	0:8	23317	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	43	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	47	socket:[18733]	0:8	18733	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	48	socket:[18744]	0:8	18744	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	61	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	2026-02-18 02:34:07.451568 UTC	0
1	1	systemd	71	socket:[20668]	0:8	20668	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	86	socket:[20261]	0:8	20261	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	87	socket:[20644]	0:8	20644	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	92	socket:[14145]	0:8	14145	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	93	socket:[14147]	0:8	14147	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	94	socket:[20646]	0:8	20646	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	95	socket:[14140]	0:8	14140	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	97	socket:[14142]	0:8	14142	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	98	/run/cloud-init/share/hook-hotplug-cmd	0:26	1063	FIFO	prw-------	2026-02-18 02:34:12.444000 UTC	2026-02-18 02:34:12.444000 UTC	2026-02-18 02:34:12.444000 UTC	0
1	1	systemd	99	socket:[20278]	0:8	20278	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	102	socket:[20649]	0:8	20649	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	103	socket:[20647]	0:8	20647	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	104	socket:[20651]	0:8	20651	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	105	socket:[20653]	0:8	20653	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	106	socket:[14144]	0:8	14144	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	107	socket:[20275]	0:8	20275	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	108	/run/dmeventd-server	0:26	422	FIFO	prw-------	2026-02-18 02:34:10.328000 UTC	2026-02-18 02:34:10.328000 UTC	2026-02-18 02:34:10.328000 UTC	0
1	1	systemd	109	/run/dmeventd-client	0:26	423	FIFO	prw-------	2026-02-18 02:34:10.328000 UTC	2026-02-18 02:34:10.328000 UTC	2026-02-18 02:34:10.328000 UTC	0
1	1	systemd	110	socket:[14137]	0:8	14137	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	111	/run/initctl	0:26	429	FIFO	prw-------	2026-02-18 02:34:10.332000 UTC	2026-02-18 02:34:10.332000 UTC	2026-02-18 02:34:10.332000 UTC	0
1	1	systemd	112	socket:[14138]	0:8	14138	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	116	socket:[22708]	0:8	22708	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	117	socket:[20719]	0:8	20719	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	118	socket:[20699]	0:8	20699	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	119	socket:[20687]	0:8	20687	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	120	socket:[15221]	0:8	15221	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	121	socket:[15194]	0:8	15194	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	122	socket:[15193]	0:8	15193	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	123	socket:[15155]	0:8	15155	SOCK	srwxrwxrwx	-	-	-	0
