Volatility 3 Framework 2.28.0

OFFSET (V)	PID	TID	PPID	COMM	UID	GID	EUID	EGID	CREATION TIME	File output

0x9d9001292000	1	1	0	systemd	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d9001294000	2	2	0	kthreadd	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d9001296000	3	3	2	rcu_gp	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d9001290000	4	4	2	rcu_par_gp	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d90012ea000	5	5	2	slub_flushwq	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d90012ec000	6	6	2	netns	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d90012ee000	7	7	2	kworker/0:0	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d90012e8000	8	8	2	kworker/0:0H	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d90012f2000	10	10	2	mm_percpu_wq	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d90012f4000	11	11	2	rcu_tasks_rude_	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d90012f6000	12	12	2	rcu_tasks_trace	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d90012f8000	13	13	2	ksoftirqd/0	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d90012fa000	14	14	2	rcu_sched	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d90012fc000	15	15	2	migration/0	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d90012fe000	16	16	2	idle_inject/0	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d9001310000	17	17	2	kworker/0:1	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d900131a000	18	18	2	cpuhp/0	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d900131c000	19	19	2	cpuhp/1	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d900131e000	20	20	2	idle_inject/1	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d9001318000	21	21	2	migration/1	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d900139c000	22	22	2	ksoftirqd/1	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d9001398000	24	24	2	kworker/1:0H	0	0	0	0	2026-02-18 02:34:07.039057 UTC	Disabled
0x9d900139a000	25	25	2	cpuhp/2	0	0	0	0	2026-02-18 02:34:07.043057 UTC	Disabled
0x9d90013a2000	26	26	2	idle_inject/2	0	0	0	0	2026-02-18 02:34:07.043057 UTC	Disabled
0x9d90013a4000	27	27	2	migration/2	0	0	0	0	2026-02-18 02:34:07.043057 UTC	Disabled
0x9d90013a6000	28	28	2	ksoftirqd/2	0	0	0	0	2026-02-18 02:34:07.043057 UTC	Disabled
0x9d90013be000	30	30	2	kworker/2:0H	0	0	0	0	2026-02-18 02:34:07.043057 UTC	Disabled
0x9d90013b8000	31	31	2	cpuhp/3	0	0	0	0	2026-02-18 02:34:07.047057 UTC	Disabled
0x9d90013ba000	32	32	2	idle_inject/3	0	0	0	0	2026-02-18 02:34:07.047057 UTC	Disabled
0x9d90013bc000	33	33	2	migration/3	0	0	0	0	2026-02-18 02:34:07.047057 UTC	Disabled
0x9d90013c6000	34	34	2	ksoftirqd/3	0	0	0	0	2026-02-18 02:34:07.047057 UTC	Disabled
0x9d90013c2000	36	36	2	kworker/3:0H	0	0	0	0	2026-02-18 02:34:07.047057 UTC	Disabled
0x9d90013c4000	37	37	2	kdevtmpfs	0	0	0	0	2026-02-18 02:34:07.051057 UTC	Disabled
0x9d90013c8000	38	38	2	inet_frag_wq	0	0	0	0	2026-02-18 02:34:07.051057 UTC	Disabled
0x9d90013ca000	39	39	2	kauditd	0	0	0	0	2026-02-18 02:34:07.051057 UTC	Disabled
0x9d90013cc000	40	40	2	khungtaskd	0	0	0	0	2026-02-18 02:34:07.051057 UTC	Disabled
0x9d90013ce000	41	41	2	oom_reaper	0	0	0	0	2026-02-18 02:34:07.051057 UTC	Disabled
0x9d9001974000	42	42	2	writeback	0	0	0	0	2026-02-18 02:34:07.051057 UTC	Disabled
0x9d9001976000	43	43	2	kcompactd0	0	0	0	0	2026-02-18 02:34:07.051057 UTC	Disabled
0x9d9001970000	44	44	2	ksmd	0	0	0	0	2026-02-18 02:34:07.051057 UTC	Disabled
0x9d9001972000	45	45	2	khugepaged	0	0	0	0	2026-02-18 02:34:07.051057 UTC	Disabled
0x9d9001988000	52	52	2	kworker/1:1	0	0	0	0	2026-02-18 02:34:07.051057 UTC	Disabled
0x9d9001aca000	55	55	2	kworker/2:1	0	0	0	0	2026-02-18 02:34:07.051057 UTC	Disabled
0x9d9001b62000	93	93	2	kintegrityd	0	0	0	0	2026-02-18 02:34:07.051057 UTC	Disabled
0x9d9001b76000	94	94	2	kblockd	0	0	0	0	2026-02-18 02:34:07.051057 UTC	Disabled
0x9d9001b70000	95	95	2	blkcg_punt_bio	0	0	0	0	2026-02-18 02:34:07.051057 UTC	Disabled
0x9d9001b72000	96	96	2	tpm_dev_wq	0	0	0	0	2026-02-18 02:34:07.247057 UTC	Disabled
0x9d9001b74000	97	97	2	ata_sff	0	0	0	0	2026-02-18 02:34:07.247057 UTC	Disabled
0x9d9001ace000	98	98	2	md	0	0	0	0	2026-02-18 02:34:07.247057 UTC	Disabled
0x9d9001acc000	99	99	2	edac-poller	0	0	0	0	2026-02-18 02:34:07.247057 UTC	Disabled
0x9d9001ac8000	100	100	2	devfreq_wq	0	0	0	0	2026-02-18 02:34:07.247057 UTC	Disabled
0x9d900198c000	101	101	2	watchdogd	0	0	0	0	2026-02-18 02:34:07.343057 UTC	Disabled
0x9d900198e000	103	103	2	kworker/0:1H	0	0	0	0	2026-02-18 02:34:07.368600 UTC	Disabled
0x9d9001b66000	105	105	2	kswapd0	0	0	0	0	2026-02-18 02:34:07.408835 UTC	Disabled
0x9d9001b64000	106	106	2	ecryptfs-kthrea	0	0	0	0	2026-02-18 02:34:07.410763 UTC	Disabled
0x9d9001b5e000	108	108	2	kthrotld	0	0	0	0	2026-02-18 02:34:07.419186 UTC	Disabled
0x9d9001b5c000	109	109	2	irq/24-aerdrv	0	0	0	0	2026-02-18 02:34:07.422119 UTC	Disabled
0x9d9001b5a000	110	110	2	irq/25-aerdrv	0	0	0	0	2026-02-18 02:34:07.423528 UTC	Disabled
0x9d9001b4a000	111	111	2	irq/26-aerdrv	0	0	0	0	2026-02-18 02:34:07.426255 UTC	Disabled
0x9d9001b48000	112	112	2	irq/27-aerdrv	0	0	0	0	2026-02-18 02:34:07.429049 UTC	Disabled
0x9d9001b4e000	113	113	2	irq/28-aerdrv	0	0	0	0	2026-02-18 02:34:07.431654 UTC	Disabled
0x9d9001b4c000	114	114	2	irq/29-aerdrv	0	0	0	0	2026-02-18 02:34:07.433934 UTC	Disabled
0x9d9001aea000	115	115	2	irq/30-aerdrv	0	0	0	0	2026-02-18 02:34:07.435702 UTC	Disabled
0x9d9001ae8000	116	116	2	irq/31-aerdrv	0	0	0	0	2026-02-18 02:34:07.438195 UTC	Disabled
0x9d9001aee000	117	117	2	irq/32-aerdrv	0	0	0	0	2026-02-18 02:34:07.439471 UTC	Disabled
0x9d9001aec000	118	118	2	irq/33-aerdrv	0	0	0	0	2026-02-18 02:34:07.440786 UTC	Disabled
0x9d9001ae4000	119	119	2	irq/34-aerdrv	0	0	0	0	2026-02-18 02:34:07.442085 UTC	Disabled
0x9d9001ae2000	120	120	2	irq/35-aerdrv	0	0	0	0	2026-02-18 02:34:07.443539 UTC	Disabled
0x9d9001ae0000	121	121	2	irq/36-aerdrv	0	0	0	0	2026-02-18 02:34:07.445530 UTC	Disabled
0x9d9001ae6000	122	122	2	irq/37-aerdrv	0	0	0	0	2026-02-18 02:34:07.447399 UTC	Disabled
0x9d9001ade000	123	123	2	acpi_thermal_pm	0	0	0	0	2026-02-18 02:34:07.448071 UTC	Disabled
0x9d9001adc000	124	124	2	kworker/u8:2	0	0	0	0	2026-02-18 02:34:07.448174 UTC	Disabled
0x9d9001ada000	125	125	2	vfio-irqfd-clea	0	0	0	0	2026-02-18 02:34:07.492184 UTC	Disabled
0x9d9001ad8000	126	126	2	mld	0	0	0	0	2026-02-18 02:34:07.495602 UTC	Disabled
0x9d9001b44000	127	127	2	kworker/2:1H	0	0	0	0	2026-02-18 02:34:07.495684 UTC	Disabled
0x9d9001b42000	128	128	2	ipv6_addrconf	0	0	0	0	2026-02-18 02:34:07.495741 UTC	Disabled
0x9d9001b40000	130	130	2	kworker/u8:3	0	0	0	0	2026-02-18 02:34:07.696280 UTC	Disabled
0x9d9003608000	138	138	2	kstrp	0	0	0	0	2026-02-18 02:34:07.825125 UTC	Disabled
0x9d901bf18000	139	139	2	kworker/3:1	0	0	0	0	2026-02-18 02:34:07.825738 UTC	Disabled
0x9d901bf1e000	142	142	2	zswap-shrink	0	0	0	0	2026-02-18 02:34:07.841694 UTC	Disabled
0x9d9001218000	143	143	2	kworker/u9:0	0	0	0	0	2026-02-18 02:34:07.842024 UTC	Disabled
0x9d900121e000	148	148	2	charger_manager	0	0	0	0	2026-02-18 02:34:07.856291 UTC	Disabled
0x9d9001b60000	171	171	2	kworker/3:1H	0	0	0	0	2026-02-18 02:34:07.885541 UTC	Disabled
0x9d90304cc000	189	189	2	kworker/1:1H	0	0	0	0	2026-02-18 02:34:07.910641 UTC	Disabled
0x9d90304ca000	190	190	2	hwrng	0	0	0	0	2026-02-18 02:34:07.928280 UTC	Disabled
