Volatility 3 Framework 2.28.0

Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

0x111ff28	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x11294e8	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x112e558	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x1131848	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x1136268	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x2808000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	616	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xa519540	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	336998	-	336991	ESTABLISHED	-
0x3735000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	635048	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x5bf8440	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	23674	-	23673	ESTABLISHED	-
0x5bfaa80	AF_UNIX	STREAM	-	-	24131	/run/systemd/journal/stdout	23317	ESTABLISHED	-
0x5bfcc80	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	23317	-	24131	ESTABLISHED	-
0x5bffb40	AF_UNIX	STREAM	-	-	23673	/run/dbus/system_bus_socket	23674	ESTABLISHED	-
0x6dd0800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	657	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x77ba800	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x00000111	618	group:0x00000000	0	UNCONNECTED	-
0x77bb800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	670	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xa513480	AF_INET	STREAM	TCP	127.0.0.53	53	0.0.0.0	0	LISTEN	-
0xa518000	AF_UNIX	DGRAM	-	-	337034	-	337035	CONNECTED	-
0xa518440	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	22733	-	22732	ESTABLISHED	-
0xa518880	AF_UNIX	STREAM	-	-	22638	-	22639	ESTABLISHED	-
0xa518cc0	AF_UNIX	STREAM	-	-	22653	/run/dbus/system_bus_socket	22654	ESTABLISHED	-
0xa519100	AF_UNIX	STREAM	-	/run/user/1000/pk-debconf-socket	337054	-	-	LISTEN	-
0xa519540	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	336998	-	336991	ESTABLISHED	-
0xa519dc0	AF_UNIX	STREAM	-	/run/user/1000/bus	337042	-	-	LISTEN	-
0xa51a640	AF_UNIX	STREAM	-	-	337038	/run/dbus/system_bus_socket	339924	ESTABLISHED	-
0xa51aa80	AF_UNIX	DGRAM	-	-	337035	-	337034	CONNECTED	-
0xa51b300	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	22654	-	22653	ESTABLISHED	-
0xa51b740	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent.extra	337048	-	-	LISTEN	-
0xa51bb80	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.dirmngr	337044	-	-	LISTEN	-
0xa51c840	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent.browser	337046	-	-	LISTEN	-
0xa51cc80	AF_UNIX	STREAM	-	/run/user/1000/snapd-session-agent.socket	337056	-	-	LISTEN	-
0xa51d0c0	AF_UNIX	DGRAM	-	/run/user/1000/systemd/notify	337033	-	-	UNCONNECTED	-
0xa51d940	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent.ssh	337050	-	-	LISTEN	-
0xa51dd80	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	339924	-	337038	ESTABLISHED	-
0xa51e600	AF_UNIX	STREAM	-	-	336991	/run/systemd/journal/stdout	336998	ESTABLISHED	-
0xa51ea40	AF_UNIX	STREAM	-	-	22639	-	22638	ESTABLISHED	-
0xa51ee80	AF_UNIX	STREAM	-	/run/user/1000/systemd/private	337036	-	-	LISTEN	-
0xa51f2c0	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent	337052	-	-	LISTEN	-
0xa51fb40	AF_UNIX	STREAM	-	-	22732	/run/dbus/system_bus_socket	22733	ESTABLISHED	-
0xac01a40	AF_INET	STREAM	TCP	192.168.100.206	41028	192.168.100.1	9999	CLOSE	-
0xac02300	AF_INET	STREAM	TCP	0.0.0.0	22	0.0.0.0	0	LISTEN	-
0xac52800	AF_PACKET	RAW	0x88cc	enp1s0	-	-	-	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xbba2640	AF_UNIX	STREAM	-	-	342557	-	342556	ESTABLISHED	-
0xbba2a80	AF_UNIX	STREAM	-	-	342556	-	342557	ESTABLISHED	-
0xbba3fc0	AF_UNIX	STREAM	-	-	0	-	-	CLOSE	-
0xbba5940	AF_UNIX	STREAM	-	-	342280	-	0	ESTABLISHED	-
0xf421a40	AF_INET	STREAM	TCP	192.168.100.206	22	192.168.100.1	53658	ESTABLISHED	-
0xf422300	AF_INET	STREAM	TCP	192.168.100.206	22	192.168.100.1	54321	ESTABLISHED	-
0x16518000	AF_INET	STREAM	TCP	192.168.100.206	59358	192.168.100.1	8888	CLOSE	-
0x2ec8a800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	446	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x2ed33000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	2481881225	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x2ed35800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	2961489235	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x2ed36800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	4193845832	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x2ed37800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	649	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x2ed40000	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20415	-	20343	ESTABLISHED	-
0x2ed40880	AF_UNIX	STREAM	-	/run/systemd/fsck.progress	20278	-	-	LISTEN	-
0x2ed40cc0	AF_UNIX	DGRAM	-	-	21603	-	21602	CONNECTED	-
0x2ed41100	AF_UNIX	STREAM	-	-	20343	/run/systemd/journal/stdout	20415	ESTABLISHED	-
0x2ed41540	AF_UNIX	DGRAM	-	-	20261	-	20260	CONNECTED	-
0x2ed41980	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15097	-	22552	ESTABLISHED	-
0x2ed42640	AF_UNIX	DGRAM	-	/run/systemd/notify	20259	-	-	UNCONNECTED	-
