Volatility 3 Framework 2.28.0

NetNS	Process Name	PID	TID	FD	Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

4026531840	systemd	1	1	15	0x9d902ed6b000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
4026531840	systemd	1	1	19	0x9d902ed46e80	AF_UNIX	STREAM	-	/run/systemd/private	20262	-	-	LISTEN	-
4026531840	systemd	1	1	20	0x9d902ed42a80	AF_UNIX	STREAM	-	/run/systemd/userdb/io.systemd.DynamicUser	20264	-	-	LISTEN	-
4026531840	systemd	1	1	21	0x9d902ed44400	AF_UNIX	STREAM	-	/run/systemd/io.system.ManagedOOM	20265	-	-	LISTEN	-
4026531840	systemd	1	1	23	0x9d902ed42640	AF_UNIX	DGRAM	-	/run/systemd/notify	20259	-	-	UNCONNECTED	-
4026531840	systemd	1	1	24	0x9d902ed46600	AF_UNIX	DGRAM	-	-	20260	-	20261	CONNECTED	-
4026531840	systemd	1	1	40	0x9d900a519540	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	336998	-	336991	ESTABLISHED	-
4026531840	systemd	1	1	41	0x9d9005bfcc80	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	23317	-	24131	ESTABLISHED	-
4026531840	systemd	1	1	47	0x9d903067f000	AF_NETLINK	RAW	NETLINK_AUDIT	-	2881302897	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	48	0x9d90306772c0	AF_UNIX	DGRAM	-	-	18744	/run/systemd/journal/socket	14140	UNCONNECTED	-
4026531840	systemd	1	1	71	0x9d90304d0440	AF_UNIX	STREAM	-	-	20668	/run/dbus/system_bus_socket	22643	ESTABLISHED	-
4026531840	systemd	1	1	86	0x9d902ed41540	AF_UNIX	DGRAM	-	-	20261	-	20260	CONNECTED	-
4026531840	systemd	1	1	87	0x9d90304d3fc0	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	20644	-	-	LISTEN	-
4026531840	systemd	1	1	92	0x9d90304d2200	AF_UNIX	SEQPACKET	-	/run/udev/control	14145	-	-	UNCONNECTED	-
4026531840	systemd	1	1	93	0x9d902f171000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000001	3372326815	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	94	0x9d90304d1980	AF_UNIX	STREAM	-		20646	-	-	LISTEN	-
4026531840	systemd	1	1	95	0x9d90304d61c0	AF_UNIX	DGRAM	-	/run/systemd/journal/socket	14140	-	-	UNCONNECTED	-
4026531840	systemd	1	1	97	0x9d90304d5500	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	14142	-	-	LISTEN	-
4026531840	systemd	1	1	99	0x9d902ed40880	AF_UNIX	STREAM	-	/run/systemd/fsck.progress	20278	-	-	LISTEN	-
4026531840	systemd	1	1	102	0x9d90304d5940	AF_UNIX	STREAM	-	/var/snap/lxd/common/lxd-user/unix.socket	20649	-	-	LISTEN	-
4026531840	systemd	1	1	103	0x9d90304d4c80	AF_UNIX	STREAM	-	/var/snap/lxd/common/lxd/unix.socket	20647	-	-	LISTEN	-
