Volatility 3 Framework 2.28.0

PID	Process	Start	End	File Path	File Output

1	systemd	0x563226cb0000	0x563226ce6000	/usr/lib/systemd/systemd	Disabled
1	systemd	0x7fbaf305d000	0x7fbaf3061000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fbaf3083000	0x7fbaf3085000	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7fbaf308b000	0x7fbaf308d000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7fbaf3122000	0x7fbaf3125000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7fbaf314d000	0x7fbaf3157000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7fbaf321e000	0x7fbaf32d0000	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7fbaf3662000	0x7fbaf3664000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7fbaf3682000	0x7fbaf3684000	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7fbaf368c000	0x7fbaf369b000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
1	systemd	0x7fbaf37ca000	0x7fbaf37cc000	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
1	systemd	0x7fbaf3804000	0x7fbaf3807000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
1	systemd	0x7fbaf3811000	0x7fbaf3818000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
1	systemd	0x7fbaf3848000	0x7fbaf384a000	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2301	Disabled
1	systemd	0x7fbaf3852000	0x7fbaf387a000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
1	systemd	0x7fbaf3a7b000	0x7fbaf3a7e000	/usr/lib/x86_64-linux-gnu/libapparmor.so.1.8.2	Disabled
1	systemd	0x7fbaf3a90000	0x7fbaf3a94000	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.7	Disabled
1	systemd	0x7fbaf3aac000	0x7fbaf3aaf000	/usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0	Disabled
1	systemd	0x7fbaf3adc000	0x7fbaf3adf000	/usr/lib/x86_64-linux-gnu/libpam.so.0.85.1	Disabled
1	systemd	0x7fbaf3aee000	0x7fbaf3af6000	/usr/lib/x86_64-linux-gnu/libmount.so.1.1.0	Disabled
1	systemd	0x7fbaf3b32000	0x7fbaf3b38000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
1	systemd	0x7fbaf3b5e000	0x7fbaf3b60000	/usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.3	Disabled
1	systemd	0x7fbaf3b84000	0x7fbaf3bd5000	/usr/lib/systemd/libsystemd-shared-249.so	Disabled
1	systemd	0x7fbaf3e3e000	0x7fbaf3e40000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
1	systemd	0x7fbaf3e6a000	0x7fbaf3e75000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
1	systemd	0x7ffe97b91000	0x7ffe97b93000	[vdso]	Disabled
410	systemd-journal	0x55c466d97000	0x55c466d9e000	/usr/lib/systemd/systemd-journald	Disabled
410	systemd-journal	0x7f9191ed1000	0x7f9191ed3000	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
410	systemd-journal	0x7f9191ed9000	0x7f9191edc000	/usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0	Disabled
410	systemd-journal	0x7f9191f07000	0x7f9191f0b000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
410	systemd-journal	0x7f9191f2d000	0x7f9191f2f000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
410	systemd-journal	0x7f9191fc6000	0x7f9191fc9000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
410	systemd-journal	0x7f9191ff1000	0x7f9191ffb000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
410	systemd-journal	0x7f91920c0000	0x7f91920c2000	/usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.3	Disabled
410	systemd-journal	0x7f91920e0000	0x7f91920e3000	/usr/lib/x86_64-linux-gnu/libpam.so.0.85.1	Disabled
410	systemd-journal	0x7f91920f2000	0x7f91921a4000	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
410	systemd-journal	0x7f9192536000	0x7f919253e000	/usr/lib/x86_64-linux-gnu/libmount.so.1.1.0	Disabled
410	systemd-journal	0x7f919257c000	0x7f919257e000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
410	systemd-journal	0x7f919259c000	0x7f91925a0000	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.7	Disabled
410	systemd-journal	0x7f91925b8000	0x7f91925ba000	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
410	systemd-journal	0x7f91925c2000	0x7f91925d1000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
410	systemd-journal	0x7f9192700000	0x7f9192702000	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
410	systemd-journal	0x7f919273a000	0x7f919273d000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
410	systemd-journal	0x7f9192747000	0x7f919274e000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
410	systemd-journal	0x7f919277e000	0x7f9192780000	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2301	Disabled
410	systemd-journal	0x7f9192788000	0x7f91927b0000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
410	systemd-journal	0x7f91929b1000	0x7f91929b7000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
410	systemd-journal	0x7f91929e3000	0x7f9192a34000	/usr/lib/systemd/libsystemd-shared-249.so	Disabled
410	systemd-journal	0x7f9192c9d000	0x7f9192c9f000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
410	systemd-journal	0x7f9192cc9000	0x7f9192cd4000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
410	systemd-journal	0x7ffdd7dcf000	0x7ffdd7dd1000	[vdso]	Disabled
448	multipathd	0x55c4d8b8d000	0x55c4d8b93000	/usr/sbin/multipathd	Disabled
448	multipathd	0x7fdc97d9b000	0x7fdc97d9c000	/usr/lib/multipath/libprioconst.so	Disabled
448	multipathd	0x7fdc985a1000	0x7fdc985a4000	/usr/lib/x86_64-linux-gnu/libgcc_s.so.1	Disabled
448	multipathd	0x7fdc98dc6000	0x7fdc98dca000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
448	multipathd	0x7fdc98dec000	0x7fdc98dee000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
448	multipathd	0x7fdc98e83000	0x7fdc98e92000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
448	multipathd	0x7fdc98fc3000	0x7fdc98fc6000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
448	multipathd	0x7fdc98fce000	0x7fdc98fd0000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
448	multipathd	0x7fdc98fee000	0x7fdc98ff8000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
448	multipathd	0x7fdc990bd000	0x7fdc990c0000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
448	multipathd	0x7fdc990e8000	0x7fdc990f6000	/usr/lib/x86_64-linux-gnu/libtinfo.so.6.3	Disabled
448	multipathd	0x7fdc9911a000	0x7fdc99128000	/usr/lib/x86_64-linux-gnu/libm.so.6	Disabled
448	multipathd	0x7fdc99201000	0x7fdc99207000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
448	multipathd	0x7fdc9922f000	0x7fdc99230000	/usr/lib/x86_64-linux-gnu/libaio.so.1.0.1	Disabled
448	multipathd	0x7fdc99234000	0x7fdc9925c000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
448	multipathd	0x7fdc9945d000	0x7fdc99470000	/usr/lib/x86_64-linux-gnu/libsystemd.so.0.32.0	Disabled
448	multipathd	0x7fdc99524000	0x7fdc99538000	/usr/lib/x86_64-linux-gnu/libreadline.so.8.1	Disabled
448	multipathd	0x7fdc99578000	0x7fdc99582000	/usr/lib/x86_64-linux-gnu/libdevmapper.so.1.02.1	Disabled
448	multipathd	0x7fdc995e7000	0x7fdc995e9000	/usr/lib/x86_64-linux-gnu/liburcu.so.8.0.0	Disabled
448	multipathd	0x7fdc995f1000	0x7fdc995f5000	/usr/lib/x86_64-linux-gnu/libudev.so.1.7.2	Disabled
448	multipathd	0x7fdc9961b000	0x7fdc9961c000	/usr/lib/libmpathcmd.so.0	Disabled
448	multipathd	0x7fdc99620000	0x7fdc99622000	/usr/lib/libmpathpersist.so.0	Disabled
448	multipathd	0x7fdc9962b000	0x7fdc99637000	/usr/lib/libmultipath.so.0	Disabled
448	multipathd	0x7fdc99691000	0x7fdc99692000	/usr/lib/multipath/libchecktur.so	Disabled
448	multipathd	0x7fdc99698000	0x7fdc9969a000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
448	multipathd	0x7fdc996c4000	0x7fdc996cf000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
448	multipathd	0x7fff4b96b000	0x7fff4b96d000	[vdso]	Disabled
452	systemd-udevd	0x55d67e635000	0x55d67e64a000	/usr/bin/udevadm	Disabled
