Volatility 3 Framework 2.28.0

PID	PPID	COMM	KEY	VALUE

1	0	systemd	HOME	/
1	0	systemd	init	/sbin/init
1	0	systemd	NETWORK_SKIP_ENSLAVED	
1	0	systemd	TERM	linux
1	0	systemd	BOOT_IMAGE	/boot/vmlinuz-5.15.0-164-generic
1	0	systemd	drop_caps	
1	0	systemd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1	0	systemd	PWD	/
1	0	systemd	rootmnt	/root
410	1	systemd-journal	LANG	en_US.UTF-8
410	1	systemd-journal	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
410	1	systemd-journal	NOTIFY_SOCKET	/run/systemd/notify
410	1	systemd-journal	LISTEN_PID	410
410	1	systemd-journal	LISTEN_FDS	4
410	1	systemd-journal	LISTEN_FDNAMES	systemd-journald.socket:systemd-journald.socket:systemd-journald-dev-log.socket:systemd-journald-audit.socket
410	1	systemd-journal	WATCHDOG_PID	410
410	1	systemd-journal	WATCHDOG_USEC	180000000
410	1	systemd-journal	INVOCATION_ID	fca88d27fc34449992da537dcf12880d
410	1	systemd-journal	RUNTIME_DIRECTORY	/run/systemd/journal
410	1	systemd-journal	SYSTEMD_EXEC_PID	410
448	1	multipathd	LANG	en_US.UTF-8
448	1	multipathd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
448	1	multipathd	NOTIFY_SOCKET	/run/systemd/notify
448	1	multipathd	LISTEN_PID	448
448	1	multipathd	LISTEN_FDS	1
448	1	multipathd	LISTEN_FDNAMES	multipathd.socket
448	1	multipathd	INVOCATION_ID	05ee4383e96f4c96b9fb6818441e555b
448	1	multipathd	JOURNAL_STREAM	8:15291
448	1	multipathd	SYSTEMD_EXEC_PID	448
452	1	systemd-udevd	LANG	en_US.UTF-8
452	1	systemd-udevd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
452	1	systemd-udevd	NOTIFY_SOCKET	/run/systemd/notify
452	1	systemd-udevd	LISTEN_PID	452
452	1	systemd-udevd	LISTEN_FDS	2
452	1	systemd-udevd	LISTEN_FDNAMES	systemd-udevd-kernel.socket:systemd-udevd-control.socket
452	1	systemd-udevd	WATCHDOG_PID	452
452	1	systemd-udevd	WATCHDOG_USEC	180000000
452	1	systemd-udevd	INVOCATION_ID	22ff98f7b9294c639b8fae646b92422f
452	1	systemd-udevd	JOURNAL_STREAM	8:20516
452	1	systemd-udevd	SYSTEMD_EXEC_PID	452
512	1	systemd-timesyn	LANG	en_US.UTF-8
512	1	systemd-timesyn	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
512	1	systemd-timesyn	NOTIFY_SOCKET	/run/systemd/notify
512	1	systemd-timesyn	WATCHDOG_PID	512
512	1	systemd-timesyn	WATCHDOG_USEC	180000000
512	1	systemd-timesyn	HOME	/run/systemd
512	1	systemd-timesyn	LOGNAME	systemd-timesync
512	1	systemd-timesyn	USER	systemd-timesync
512	1	systemd-timesyn	INVOCATION_ID	223c692df09343c1b0eb4082b224b7a1
512	1	systemd-timesyn	JOURNAL_STREAM	8:20698
512	1	systemd-timesyn	RUNTIME_DIRECTORY	/run/systemd/timesync
512	1	systemd-timesyn	STATE_DIRECTORY	/var/lib/systemd/timesync
512	1	systemd-timesyn	SYSTEMD_EXEC_PID	512
512	1	systemd-timesyn	SYSTEMD_NSS_RESOLVE_VALIDATE	0
618	1	systemd-network	LANG	en_US.UTF-8
618	1	systemd-network	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
618	1	systemd-network	NOTIFY_SOCKET	/run/systemd/notify
618	1	systemd-network	LISTEN_PID	618
618	1	systemd-network	LISTEN_FDS	1
618	1	systemd-network	LISTEN_FDNAMES	systemd-networkd.socket
618	1	systemd-network	WATCHDOG_PID	618
618	1	systemd-network	WATCHDOG_USEC	180000000
618	1	systemd-network	HOME	/run/systemd
618	1	systemd-network	LOGNAME	systemd-network
618	1	systemd-network	USER	systemd-network
618	1	systemd-network	INVOCATION_ID	063990fc22ba4374a5950fd4405d6cf0
618	1	systemd-network	JOURNAL_STREAM	8:20856
618	1	systemd-network	RUNTIME_DIRECTORY	/run/systemd/netif
618	1	systemd-network	SYSTEMD_EXEC_PID	618
620	1	systemd-resolve	LANG	en_US.UTF-8
620	1	systemd-resolve	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
620	1	systemd-resolve	NOTIFY_SOCKET	/run/systemd/notify
620	1	systemd-resolve	WATCHDOG_PID	620
620	1	systemd-resolve	WATCHDOG_USEC	180000000
620	1	systemd-resolve	HOME	/run/systemd
620	1	systemd-resolve	LOGNAME	systemd-resolve
620	1	systemd-resolve	USER	systemd-resolve
620	1	systemd-resolve	INVOCATION_ID	74f3d1bb8f0d40a4b70104b6ead03f8a
620	1	systemd-resolve	JOURNAL_STREAM	8:22635
620	1	systemd-resolve	RUNTIME_DIRECTORY	/run/systemd/resolve
620	1	systemd-resolve	SYSTEMD_EXEC_PID	620
631	1	cron	LANG	en_US.UTF-8
631	1	cron	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
631	1	cron	INVOCATION_ID	be26c9e64c9c4d3183661fe8981fdec7
631	1	cron	JOURNAL_STREAM	8:22693
631	1	cron	SYSTEMD_EXEC_PID	631
633	1	dbus-daemon	LANG	en_US.UTF-8
633	1	dbus-daemon	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
633	1	dbus-daemon	LISTEN_PID	633
633	1	dbus-daemon	LISTEN_FDS	1
633	1	dbus-daemon	LISTEN_FDNAMES	dbus.socket
633	1	dbus-daemon	SYSTEMD_NSS_DYNAMIC_BYPASS	1
633	1	dbus-daemon	INVOCATION_ID	ec1286932fe042da99939d0926278ec3
633	1	dbus-daemon	JOURNAL_STREAM	8:22696
633	1	dbus-daemon	SYSTEMD_EXEC_PID	633
640	1	irqbalance	LANG	en_US.UTF-8
640	1	irqbalance	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
640	1	irqbalance	INVOCATION_ID	0ff6b399d99543debe8c47914fbcf2a7
640	1	irqbalance	JOURNAL_STREAM	8:20976
640	1	irqbalance	RUNTIME_DIRECTORY	/run/irqbalance
640	1	irqbalance	SYSTEMD_EXEC_PID	640
641	1	networkd-dispat	LANG	en_US.UTF-8
641	1	networkd-dispat	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
641	1	networkd-dispat	NOTIFY_SOCKET	/run/systemd/notify
641	1	networkd-dispat	INVOCATION_ID	682170ab04da4b2898ce79c347764ff5
641	1	networkd-dispat	JOURNAL_STREAM	8:22715
641	1	networkd-dispat	SYSTEMD_EXEC_PID	641
641	1	networkd-dispat	networkd_dispatcher_args	--run-startup-triggers
643	1	polkitd	LANG	en_US.UTF-8
643	1	polkitd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
643	1	polkitd	INVOCATION_ID	246253fae2d24833ab0e21c1ad1fd623
643	1	polkitd	JOURNAL_STREAM	8:19052
643	1	polkitd	SYSTEMD_EXEC_PID	643
644	1	rsyslogd	LANG	en_US.UTF-8
644	1	rsyslogd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
644	1	rsyslogd	NOTIFY_SOCKET	/run/systemd/notify
644	1	rsyslogd	LISTEN_PID	644
644	1	rsyslogd	LISTEN_FDS	1
644	1	rsyslogd	LISTEN_FDNAMES	syslog.socket
644	1	rsyslogd	INVOCATION_ID	3668a148b3bf4e22bc658fa2827906c5
644	1	rsyslogd	SYSTEMD_EXEC_PID	644
650	1	snapd	LANG	en_US.UTF-8
650	1	snapd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
650	1	snapd	NOTIFY_SOCKET	/run/systemd/notify
650	1	snapd	LISTEN_PID	650
650	1	snapd	LISTEN_FDS	2
650	1	snapd	LISTEN_FDNAMES	snapd.socket:snapd.socket
650	1	snapd	WATCHDOG_PID	650
650	1	snapd	WATCHDOG_USEC	300000000
650	1	snapd	INVOCATION_ID	57b05d490c364abbbc2f01cb66909e16
650	1	snapd	JOURNAL_STREAM	8:20989
650	1	snapd	SYSTEMD_EXEC_PID	650
652	1	systemd-logind	LANG	en_US.UTF-8
652	1	systemd-logind	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
652	1	systemd-logind	NOTIFY_SOCKET	/run/systemd/notify
652	1	systemd-logind	WATCHDOG_PID	652
652	1	systemd-logind	WATCHDOG_USEC	180000000
652	1	systemd-logind	INVOCATION_ID	c3679c7334ff4969883a06a4804ad3b7
652	1	systemd-logind	JOURNAL_STREAM	8:19067
652	1	systemd-logind	RUNTIME_DIRECTORY	/run/systemd/sessions:/run/systemd/seats:/run/systemd/users:/run/systemd/inhibit:/run/systemd/shutdown
652	1	systemd-logind	STATE_DIRECTORY	/var/lib/systemd/linger
652	1	systemd-logind	SYSTEMD_EXEC_PID	652
654	1	udisksd	LANG	en_US.UTF-8
654	1	udisksd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
654	1	udisksd	INVOCATION_ID	f08c1c48eefe4aa59b34753dd1dbba85
654	1	udisksd	JOURNAL_STREAM	8:21008
654	1	udisksd	SYSTEMD_EXEC_PID	654
690	1	agetty	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
690	1	agetty	INVOCATION_ID	42b2af53fcbf44a4b9697cd2ce975a52
690	1	agetty	TERM	linux
690	1	agetty	JOURNAL_STREAM	8:21333
690	1	agetty	SYSTEMD_EXEC_PID	690
699	1	ModemManager	LANG	en_US.UTF-8
699	1	ModemManager	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
699	1	ModemManager	HOME	/root
699	1	ModemManager	LOGNAME	root
699	1	ModemManager	USER	root
699	1	ModemManager	SHELL	/bin/sh
