Volatility 3 Framework 2.28.0

PID	TID	Process	FD	Path	Device	Inode	Type	Mode	Changed	Modified	Accessed	Size

1	1	systemd	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	0
1	1	systemd	1	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	0
1	1	systemd	2	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	0
1	1	systemd	3	/dev/kmsg	0:5	11	CHR	crw-r--r--	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	0
1	1	systemd	4	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	5	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	6	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	7	/sys/fs/cgroup	0:30	1	DIR	dr-xr-xr-x	2026-02-19 05:07:43.596215 UTC	2026-02-19 05:07:43.596215 UTC	2026-02-19 05:07:43.383720 UTC	0
1	1	systemd	8	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	9	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	10	/proc/1/mountinfo	0:24	14269	REG	-r--r--r--	2026-02-19 05:07:43.192000 UTC	2026-02-19 05:07:43.192000 UTC	2026-02-19 05:07:43.192000 UTC	0
1	1	systemd	11	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	13	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	14	/proc/swaps	0:24	4026532073	REG	-r--r--r--	2026-02-19 05:07:43.200000 UTC	2026-02-19 05:07:43.200000 UTC	2026-02-19 05:07:43.200000 UTC	0
1	1	systemd	15	socket:[19651]	0:8	19651	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	16	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	17	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	18	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	19	socket:[19655]	0:8	19655	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	20	socket:[19657]	0:8	19657	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	21	socket:[19658]	0:8	19658	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	23	socket:[19652]	0:8	19652	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	24	socket:[19653]	0:8	19653	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	27	/dev/autofs	0:5	386	CHR	crw-r--r--	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	0
1	1	systemd	28	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	29	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	30	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	31	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	32	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	33	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	34	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	35	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	36	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	37	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	38	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	43	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	47	socket:[20492]	0:8	20492	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	48	socket:[20493]	0:8	20493	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	61	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
1	1	systemd	71	socket:[20060]	0:8	20060	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	83	socket:[19654]	0:8	19654	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	86	pipe:[19663]	0:13	19663	FIFO	prw-------	2026-02-19 05:07:43.592000 UTC	2026-02-19 05:07:43.592000 UTC	2026-02-19 05:07:43.592000 UTC	0
1	1	systemd	87	socket:[20039]	0:8	20039	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	94	socket:[14296]	0:8	14296	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	95	socket:[19668]	0:8	19668	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	96	socket:[20038]	0:8	20038	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	97	socket:[14312]	0:8	14312	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	98	/run/dmeventd-server	0:26	420	FIFO	prw-------	2026-02-19 05:07:43.388000 UTC	2026-02-19 05:07:43.388000 UTC	2026-02-19 05:07:43.388000 UTC	0
1	1	systemd	99	/run/dmeventd-client	0:26	421	FIFO	prw-------	2026-02-19 05:07:43.388000 UTC	2026-02-19 05:07:43.388000 UTC	2026-02-19 05:07:43.388000 UTC	0
1	1	systemd	100	socket:[14305]	0:8	14305	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	101	socket:[14307]	0:8	14307	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	104	socket:[14309]	0:8	14309	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	105	socket:[14302]	0:8	14302	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	106	socket:[14303]	0:8	14303	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	107	socket:[19669]	0:8	19669	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	108	/run/initctl	0:26	427	FIFO	prw-------	2026-02-19 05:07:43.392000 UTC	2026-02-19 05:07:43.392000 UTC	2026-02-19 05:07:43.392000 UTC	0
1	1	systemd	111	socket:[14310]	0:8	14310	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	112	/run/cloud-init/share/hook-hotplug-cmd	0:26	1061	FIFO	prw-------	2026-02-19 05:07:46.216000 UTC	2026-02-19 05:07:46.216000 UTC	2026-02-19 05:07:46.216000 UTC	0
1	1	systemd	114	socket:[19372]	0:8	19372	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	115	socket:[21162]	0:8	21162	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	116	socket:[21095]	0:8	21095	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	117	socket:[21092]	0:8	21092	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	118	socket:[21011]	0:8	21011	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	119	socket:[21003]	0:8	21003	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	120	socket:[19062]	0:8	19062	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	121	socket:[19056]	0:8	19056	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	122	socket:[19055]	0:8	19055	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	123	socket:[20960]	0:8	20960	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	124	socket:[20959]	0:8	20959	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	125	socket:[20901]	0:8	20901	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	126	socket:[22620]	0:8	22620	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	127	socket:[21570]	0:8	21570	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	128	socket:[21532]	0:8	21532	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	129	socket:[21522]	0:8	21522	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	132	socket:[20041]	0:8	20041	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	133	socket:[20043]	0:8	20043	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	134	socket:[20045]	0:8	20045	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	135	/dev/rfkill	0:5	3	CHR	crw-rw-r--	2026-02-19 05:07:43.880000 UTC	2026-02-19 05:07:43.880000 UTC	2026-02-19 05:07:43.880000 UTC	0
1	1	systemd	136	socket:[20047]	0:8	20047	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	137	socket:[20036]	0:8	20036	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	138	socket:[19666]	0:8	19666	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	0
410	410	systemd-journal	1	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	0
410	410	systemd-journal	2	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	0
410	410	systemd-journal	3	socket:[14305]	0:8	14305	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	4	socket:[14307]	0:8	14307	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	5	socket:[14303]	0:8	14303	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	6	socket:[14302]	0:8	14302	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	7	/dev/kmsg	0:5	11	CHR	crw-r--r--	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	0
410	410	systemd-journal	8	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
410	410	systemd-journal	9	/dev/kmsg	0:5	11	CHR	crw-r--r--	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	0
410	410	systemd-journal	10	socket:[18535]	0:8	18535	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	11	/proc/sys/kernel/hostname	0:24	18536	REG	-rw-r--r--	2026-02-19 05:07:43.424000 UTC	2026-02-19 05:07:43.424000 UTC	2026-02-19 05:07:43.424000 UTC	0
410	410	systemd-journal	12	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
410	410	systemd-journal	13	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
410	410	systemd-journal	14	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
410	410	systemd-journal	15	socket:[18537]	0:8	18537	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	16	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
410	410	systemd-journal	17	socket:[22620]	0:8	22620	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	18	socket:[21532]	0:8	21532	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	19	socket:[21522]	0:8	21522	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	20	socket:[21162]	0:8	21162	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	21	socket:[21570]	0:8	21570	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	22	socket:[20901]	0:8	20901	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	23	/var/log/journal/a575075947144dc9b211398e9873474a/system.journal	252:2	1067428	REG	-rw-r-----	2026-02-19 05:11:28.912000 UTC	2026-02-19 05:11:28.912000 UTC	2026-02-19 05:07:47.268000 UTC	16777216
410	410	systemd-journal	24	socket:[20959]	0:8	20959	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	25	socket:[20960]	0:8	20960	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	26	socket:[19056]	0:8	19056	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	27	socket:[19055]	0:8	19055	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	28	socket:[19372]	0:8	19372	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	29	/var/log/journal/a575075947144dc9b211398e9873474a/user-1000.journal	252:2	1067555	REG	-rw-r-----	2026-02-19 05:11:28.912000 UTC	2026-02-19 05:11:28.912000 UTC	2026-02-19 05:07:47.268000 UTC	8388608
410	410	systemd-journal	30	socket:[19062]	0:8	19062	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	31	socket:[21092]	0:8	21092	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	32	socket:[21003]	0:8	21003	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	34	socket:[21011]	0:8	21011	SOCK	srwxrwxrwx	-	-	-	0
410	410	systemd-journal	35	socket:[21095]	0:8	21095	SOCK	srwxrwxrwx	-	-	-	0
448	448	multipathd	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	0
448	448	multipathd	1	socket:[15291]	0:8	15291	SOCK	srwxrwxrwx	-	-	-	0
448	448	multipathd	2	socket:[15291]	0:8	15291	SOCK	srwxrwxrwx	-	-	-	0
448	448	multipathd	3	socket:[19668]	0:8	19668	SOCK	srwxrwxrwx	-	-	-	0
448	448	multipathd	4	/run/multipathd.pid	0:26	494	REG	-rw-r--r--	2026-02-19 05:07:43.556000 UTC	2026-02-19 05:07:43.556000 UTC	2026-02-19 05:07:43.556000 UTC	3
448	448	multipathd	5	/dev/mapper/control	0:5	149	CHR	crw-------	2026-02-19 05:07:43.872000 UTC	2026-02-19 05:07:43.872000 UTC	2026-02-19 05:07:43.872000 UTC	0
448	448	multipathd	6	/dev/mapper/control	0:5	149	CHR	crw-------	2026-02-19 05:07:43.872000 UTC	2026-02-19 05:07:43.872000 UTC	2026-02-19 05:07:43.872000 UTC	0
448	448	multipathd	7	socket:[15311]	0:8	15311	SOCK	srwxrwxrwx	-	-	-	0
448	448	multipathd	8	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
448	448	multipathd	9	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
448	453	multipathd	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	0
448	453	multipathd	1	socket:[15291]	0:8	15291	SOCK	srwxrwxrwx	-	-	-	0
448	453	multipathd	2	socket:[15291]	0:8	15291	SOCK	srwxrwxrwx	-	-	-	0
448	453	multipathd	3	socket:[19668]	0:8	19668	SOCK	srwxrwxrwx	-	-	-	0
448	453	multipathd	4	/run/multipathd.pid	0:26	494	REG	-rw-r--r--	2026-02-19 05:07:43.556000 UTC	2026-02-19 05:07:43.556000 UTC	2026-02-19 05:07:43.556000 UTC	3
448	453	multipathd	5	/dev/mapper/control	0:5	149	CHR	crw-------	2026-02-19 05:07:43.872000 UTC	2026-02-19 05:07:43.872000 UTC	2026-02-19 05:07:43.872000 UTC	0
448	453	multipathd	6	/dev/mapper/control	0:5	149	CHR	crw-------	2026-02-19 05:07:43.872000 UTC	2026-02-19 05:07:43.872000 UTC	2026-02-19 05:07:43.872000 UTC	0
448	453	multipathd	7	socket:[15311]	0:8	15311	SOCK	srwxrwxrwx	-	-	-	0
448	453	multipathd	8	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
448	453	multipathd	9	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
448	454	multipathd	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	0
448	454	multipathd	1	socket:[15291]	0:8	15291	SOCK	srwxrwxrwx	-	-	-	0
448	454	multipathd	2	socket:[15291]	0:8	15291	SOCK	srwxrwxrwx	-	-	-	0
448	454	multipathd	3	socket:[19668]	0:8	19668	SOCK	srwxrwxrwx	-	-	-	0
448	454	multipathd	4	/run/multipathd.pid	0:26	494	REG	-rw-r--r--	2026-02-19 05:07:43.556000 UTC	2026-02-19 05:07:43.556000 UTC	2026-02-19 05:07:43.556000 UTC	3
448	454	multipathd	5	/dev/mapper/control	0:5	149	CHR	crw-------	2026-02-19 05:07:43.872000 UTC	2026-02-19 05:07:43.872000 UTC	2026-02-19 05:07:43.872000 UTC	0
448	454	multipathd	6	/dev/mapper/control	0:5	149	CHR	crw-------	2026-02-19 05:07:43.872000 UTC	2026-02-19 05:07:43.872000 UTC	2026-02-19 05:07:43.872000 UTC	0
448	454	multipathd	7	socket:[15311]	0:8	15311	SOCK	srwxrwxrwx	-	-	-	0
448	454	multipathd	8	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
448	454	multipathd	9	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	2026-02-19 05:07:40.815328 UTC	0
448	455	multipathd	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	2026-02-19 05:07:43.868000 UTC	0
448	455	multipathd	1	socket:[15291]	0:8	15291	SOCK	srwxrwxrwx	-	-	-	0
448	455	multipathd	2	socket:[15291]	0:8	15291	SOCK	srwxrwxrwx	-	-	-	0
448	455	multipathd	3	socket:[19668]	0:8	19668	SOCK	srwxrwxrwx	-	-	-	0
