Volatility 3 Framework 2.28.0

PID	Process	Start	End	Flags	PgOff	Major	Minor	Inode	File Path	File output

1	systemd	0x563226cb0000	0x563226ce6000	r--	0x0	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x563226ce6000	0x563226dc6000	r-x	0x36000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x563226dc6000	0x563226e25000	r--	0x116000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x563226e25000	0x563226e74000	r--	0x174000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x563226e74000	0x563226e75000	rw-	0x1c3000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x563226e75000	0x563226e77000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x56324e69a000	0x56324e932000	rw-	0x0	0	0	0	[heap]	Disabled
1	systemd	0x7fbae4000000	0x7fbae4021000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fbae4021000	0x7fbae8000000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fbaec000000	0x7fbaec021000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fbaec021000	0x7fbaf0000000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fbaf2055000	0x7fbaf2056000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fbaf2056000	0x7fbaf2856000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fbaf2856000	0x7fbaf2857000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fbaf2857000	0x7fbaf305d000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fbaf305d000	0x7fbaf3061000	r--	0x0	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fbaf3061000	0x7fbaf3077000	r-x	0x4000	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fbaf3077000	0x7fbaf3081000	r--	0x1a000	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fbaf3081000	0x7fbaf3082000	r--	0x23000	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fbaf3082000	0x7fbaf3083000	rw-	0x24000	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fbaf3083000	0x7fbaf3085000	r--	0x0	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7fbaf3085000	0x7fbaf3088000	r-x	0x2000	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7fbaf3088000	0x7fbaf3089000	r--	0x5000	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7fbaf3089000	0x7fbaf308a000	r--	0x5000	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7fbaf308a000	0x7fbaf308b000	rw-	0x6000	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7fbaf308b000	0x7fbaf308d000	r--	0x0	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7fbaf308d000	0x7fbaf30f8000	r-x	0x2000	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7fbaf30f8000	0x7fbaf3120000	r--	0x6d000	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7fbaf3120000	0x7fbaf3121000	r--	0x94000	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7fbaf3121000	0x7fbaf3122000	rw-	0x95000	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7fbaf3122000	0x7fbaf3125000	r--	0x0	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7fbaf3125000	0x7fbaf3140000	r-x	0x3000	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7fbaf3140000	0x7fbaf314b000	r--	0x1e000	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7fbaf314b000	0x7fbaf314c000	r--	0x28000	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7fbaf314c000	0x7fbaf314d000	rw-	0x29000	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7fbaf314d000	0x7fbaf3157000	r--	0x0	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7fbaf3157000	0x7fbaf3209000	r-x	0xa000	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7fbaf3209000	0x7fbaf321a000	r--	0xbc000	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7fbaf321a000	0x7fbaf321b000	r--	0xcc000	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7fbaf321b000	0x7fbaf321c000	rw-	0xcd000	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
