Volatility 3 Framework 2.28.0

OFFSET (V)	PID	TID	PPID	COMM	UID	GID	EUID	EGID	CREATION TIME	File output

0x926c41290000	1	1	0	systemd	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c41292000	2	2	0	kthreadd	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c41296000	3	3	2	rcu_gp	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c41294000	4	4	2	rcu_par_gp	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c412ee000	5	5	2	slub_flushwq	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c412ec000	6	6	2	netns	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c412e8000	7	7	2	kworker/0:0	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c412ea000	8	8	2	kworker/0:0H	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c412f2000	9	9	2	kworker/u8:0	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c412f6000	10	10	2	mm_percpu_wq	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c412f4000	11	11	2	rcu_tasks_rude_	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c412f0000	12	12	2	rcu_tasks_trace	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c412f8000	13	13	2	ksoftirqd/0	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c412fa000	14	14	2	rcu_sched	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c412fe000	15	15	2	migration/0	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c412fc000	16	16	2	idle_inject/0	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c41316000	17	17	2	kworker/0:1	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c4131a000	18	18	2	cpuhp/0	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c4131e000	19	19	2	cpuhp/1	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c4131c000	20	20	2	idle_inject/1	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c41318000	21	21	2	migration/1	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c4139c000	22	22	2	ksoftirqd/1	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c41398000	23	23	2	kworker/1:0	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c4139a000	24	24	2	kworker/1:0H	0	0	0	0	2026-02-19 05:07:39.040907 UTC	Disabled
0x926c4139e000	25	25	2	cpuhp/2	0	0	0	0	2026-02-19 05:07:39.044907 UTC	Disabled
0x926c413a6000	26	26	2	idle_inject/2	0	0	0	0	2026-02-19 05:07:39.044907 UTC	Disabled
0x926c413a4000	27	27	2	migration/2	0	0	0	0	2026-02-19 05:07:39.044907 UTC	Disabled
0x926c413a0000	28	28	2	ksoftirqd/2	0	0	0	0	2026-02-19 05:07:39.044907 UTC	Disabled
0x926c413a2000	29	29	2	kworker/2:0	0	0	0	0	2026-02-19 05:07:39.044907 UTC	Disabled
0x926c413bc000	30	30	2	kworker/2:0H	0	0	0	0	2026-02-19 05:07:39.044907 UTC	Disabled
0x926c413b8000	31	31	2	cpuhp/3	0	0	0	0	2026-02-19 05:07:39.048907 UTC	Disabled
0x926c413ba000	32	32	2	idle_inject/3	0	0	0	0	2026-02-19 05:07:39.048907 UTC	Disabled
0x926c413be000	33	33	2	migration/3	0	0	0	0	2026-02-19 05:07:39.048907 UTC	Disabled
