Volatility 3 Framework 2.28.0

Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

0x111ff28	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x11294e8	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x112e558	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x1131848	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x1136268	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x280e800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	448	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x280e800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	448	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x6b41800	AF_PACKET	RAW	0x88cc	enp1s0	-	-	-	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x7676800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x7bb2800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000001	2727902118	group:0x00000000	0	UNCONNECTED	-
0xa7da800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	699	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xa7de800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	654	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xabee800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	618	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xaf37800	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x00000111	620	group:0x00000000	0	UNCONNECTED	-
0xb4b7800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	650	group:0x00000000	0	UNCONNECTED	-
0xb988440	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	21158	-	21149	ESTABLISHED	-
0xb988880	AF_UNIX	STREAM	-	/run/irqbalance/irqbalance640.sock	20985	-	-	LISTEN	-
0xb988cc0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21011	-	21008	ESTABLISHED	-
0xb989100	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19055	-	20976	ESTABLISHED	-
0xb989dc0	AF_UNIX	STREAM	-	-	20989	/run/systemd/journal/stdout	19062	ESTABLISHED	-
0xb98a640	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21162	-	21161	ESTABLISHED	-
0xb98cc80	AF_UNIX	STREAM	-	-	21161	/run/systemd/journal/stdout	21162	ESTABLISHED	-
0xb98d0c0	AF_UNIX	STREAM	-	-	21061	-	21062	ESTABLISHED	-
0xb98e1c0	AF_UNIX	STREAM	-	-	21008	/run/systemd/journal/stdout	21011	ESTABLISHED	-
0xb98e600	AF_UNIX	STREAM	-	-	20976	/run/systemd/journal/stdout	19055	ESTABLISHED	-
0xb98ee80	AF_UNIX	STREAM	-	-	21062	-	21061	ESTABLISHED	-
0xb98f2c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19062	-	20989	ESTABLISHED	-
0xb98f700	AF_UNIX	STREAM	-	-	21149	/run/dbus/system_bus_socket	21158	ESTABLISHED	-
0xb9b1180	AF_INET	STREAM	TCP	127.0.0.53	53	0.0.0.0	0	LISTEN	-
0xed8abc0	AF_INET	STREAM	TCP	192.168.100.206	22	192.168.100.1	37840	CLOSE	-
0xeec8800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	652	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xeec9000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	2948573111	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xeecb800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3444195755	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xeecc000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3926705450	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xeedb000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	951	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xeee0440	AF_UNIX	DGRAM	-	-	21503	-	21502	CONNECTED	-
0xeee0880	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent	24592	-	-	LISTEN	-
0xeee0cc0	AF_UNIX	STREAM	-	-	21467	/run/systemd/journal/stdout	19372	ESTABLISHED	-
0xeee1100	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent.browser	24586	-	-	LISTEN	-
0xeee1980	AF_UNIX	STREAM	-	/run/user/1000/systemd/private	21504	-	-	LISTEN	-
0xeee2a80	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent.extra	24588	-	-	LISTEN	-
0xeee2ec0	AF_UNIX	STREAM	-	/run/user/1000/pk-debconf-socket	24594	-	-	LISTEN	-
0xeee3300	AF_UNIX	STREAM	-	-	24578	/run/dbus/system_bus_socket	23136	ESTABLISHED	-
0xeee3740	AF_UNIX	DGRAM	-	-	21502	-	21503	CONNECTED	-
0xeee3b80	AF_UNIX	STREAM	-	/run/user/1000/snapd-session-agent.socket	24596	-	-	LISTEN	-
0xeee3fc0	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	23136	-	24578	ESTABLISHED	-
0xeee5940	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent.ssh	24590	-	-	LISTEN	-
0xeee61c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19372	-	21467	ESTABLISHED	-
0xeee6600	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.dirmngr	24584	-	-	LISTEN	-
0xeee6e80	AF_UNIX	DGRAM	-	/run/user/1000/systemd/notify	21501	-	-	UNCONNECTED	-
0xeee7700	AF_UNIX	STREAM	-	/run/user/1000/bus	24582	-	-	LISTEN	-
0xf9e1a40	AF_INET	STREAM	TCP	0.0.0.0	22	0.0.0.0	0	LISTEN	-
0xf9e3d40	AF_INET	STREAM	TCP	192.168.100.206	33084	192.168.100.1	4444	ESTABLISHED	-
0xf9e4ec0	AF_INET	STREAM	TCP	192.168.100.206	22	192.168.100.1	35738	CLOSE	-
0x184a8000	AF_UNIX	DGRAM	-	/run/systemd/journal/socket	14305	-	-	UNCONNECTED	-
0x184a8880	AF_UNIX	DGRAM	-	-	20740	-	20741	CONNECTED	-
