Volatility 3 Framework 2.28.0

NetNS	Process Name	PID	TID	FD	Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

4026531840	systemd	1	1	15	0x926c47676800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
4026531840	systemd	1	1	19	0x926c6e4b0880	AF_UNIX	STREAM	-	/run/systemd/private	19655	-	-	LISTEN	-
4026531840	systemd	1	1	20	0x926c6e4b2ec0	AF_UNIX	STREAM	-	/run/systemd/userdb/io.systemd.DynamicUser	19657	-	-	LISTEN	-
4026531840	systemd	1	1	21	0x926c6e4b3b80	AF_UNIX	STREAM	-	/run/systemd/io.system.ManagedOOM	19658	-	-	LISTEN	-
4026531840	systemd	1	1	23	0x926c6e4b1100	AF_UNIX	DGRAM	-	/run/systemd/notify	19652	-	-	UNCONNECTED	-
4026531840	systemd	1	1	24	0x926c6e4b2a80	AF_UNIX	DGRAM	-	-	19653	-	19654	CONNECTED	-
4026531840	systemd	1	1	47	0x926c584aa640	AF_UNIX	DGRAM	-	-	20492	/run/systemd/journal/socket	14305	UNCONNECTED	-
4026531840	systemd	1	1	48	0x926c46b46000	AF_NETLINK	RAW	NETLINK_AUDIT	-	3087717971	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	71	0x926c6e4b4840	AF_UNIX	STREAM	-	-	20060	/run/dbus/system_bus_socket	21066	ESTABLISHED	-
4026531840	systemd	1	1	83	0x926c6e4b5940	AF_UNIX	DGRAM	-	-	19654	-	19653	CONNECTED	-
4026531840	systemd	1	1	87	0x926c6e4b5d80	AF_UNIX	STREAM	-	/var/snap/lxd/common/lxd/unix.socket	20039	-	-	LISTEN	-
4026531840	systemd	1	1	94	0x926c584a8cc0	AF_UNIX	STREAM	-	/run/systemd/fsck.progress	14296	-	-	LISTEN	-
4026531840	systemd	1	1	95	0x926c6e4b72c0	AF_UNIX	STREAM	-		19668	-	-	LISTEN	-
4026531840	systemd	1	1	96	0x926c6e4b0cc0	AF_UNIX	STREAM	-		20038	-	-	LISTEN	-
4026531840	systemd	1	1	97	0x926c47bb2800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000001	2727902118	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	100	0x926c584a8000	AF_UNIX	DGRAM	-	/run/systemd/journal/socket	14305	-	-	UNCONNECTED	-
4026531840	systemd	1	1	101	0x926c584ad500	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	14307	-	-	LISTEN	-
4026531840	systemd	1	1	104	0x926c6fe84800	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x800405d5	1	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	105	0x926c6fe86800	AF_NETLINK	RAW	NETLINK_AUDIT	groups:0x00000001	1	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	106	0x926c584aea40	AF_UNIX	DGRAM	-	/run/systemd/journal/dev-log	14303	-	-	UNCONNECTED	-
4026531840	systemd	1	1	107	0x926c6e4b4400	AF_UNIX	DGRAM	-	/run/systemd/journal/syslog	19669	-	-	UNCONNECTED	-
4026531840	systemd	1	1	111	0x926c584a9540	AF_UNIX	SEQPACKET	-	/run/udev/control	14310	-	-	UNCONNECTED	-
4026531840	systemd	1	1	114	0x926c4eee61c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19372	-	21467	ESTABLISHED	-
4026531840	systemd	1	1	115	0x926c4b98a640	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21162	-	21161	ESTABLISHED	-
4026531840	systemd	1	1	116	0x926c58581100	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21095	-	22747	ESTABLISHED	-
4026531840	systemd	1	1	117	0x926c58587b40	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21092	-	22741	ESTABLISHED	-
4026531840	systemd	1	1	118	0x926c4b988cc0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21011	-	21008	ESTABLISHED	-
4026531840	systemd	1	1	119	0x926c6f05f700	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21003	-	19067	ESTABLISHED	-
4026531840	systemd	1	1	120	0x926c4b98f2c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19062	-	20989	ESTABLISHED	-
4026531840	systemd	1	1	121	0x926c58581dc0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19056	-	22715	ESTABLISHED	-
4026531840	systemd	1	1	122	0x926c4b989100	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19055	-	20976	ESTABLISHED	-
4026531840	systemd	1	1	123	0x926c585861c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20960	-	22696	ESTABLISHED	-
4026531840	systemd	1	1	124	0x926c58586a40	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20959	-	22693	ESTABLISHED	-
4026531840	systemd	1	1	125	0x926c58582640	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20901	-	22635	ESTABLISHED	-
4026531840	systemd	1	1	126	0x926c584af2c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	22620	-	20856	ESTABLISHED	-
4026531840	systemd	1	1	127	0x926c584ae1c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21570	-	20698	ESTABLISHED	-
4026531840	systemd	1	1	128	0x926c584aee80	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21532	-	20516	ESTABLISHED	-
4026531840	systemd	1	1	129	0x926c58587700	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21522	-	15291	ESTABLISHED	-
4026531840	systemd	1	1	132	0x926c6e4b6a40	AF_UNIX	STREAM	-	/var/snap/lxd/common/lxd-user/unix.socket	20041	-	-	LISTEN	-
4026531840	systemd	1	1	133	0x926c6e4b0000	AF_UNIX	STREAM	-	/run/snapd.socket	20043	-	-	LISTEN	-
4026531840	systemd	1	1	134	0x926c6e4b5500	AF_UNIX	STREAM	-	/run/snapd-snap.socket	20045	-	-	LISTEN	-
4026531840	systemd	1	1	136	0x926c6e4b1540	AF_UNIX	STREAM	-	/run/uuidd/request	20047	-	-	LISTEN	-
4026531840	systemd	1	1	137	0x926c6e4b61c0	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	20036	-	-	LISTEN	-
4026531840	systemd	1	1	138	0x926c6e4b1dc0	AF_UNIX	STREAM	-	/run/lvm/lvmpolld.socket	19666	-	-	LISTEN	-
4026531840	systemd-journal	410	410	3	0x926c584a8000	AF_UNIX	DGRAM	-	/run/systemd/journal/socket	14305	-	-	UNCONNECTED	-
4026531840	systemd-journal	410	410	4	0x926c584ad500	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	14307	-	-	LISTEN	-
4026531840	systemd-journal	410	410	5	0x926c584aea40	AF_UNIX	DGRAM	-	/run/systemd/journal/dev-log	14303	-	-	UNCONNECTED	-
4026531840	systemd-journal	410	410	6	0x926c6fe86800	AF_NETLINK	RAW	NETLINK_AUDIT	groups:0x00000001	1	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd-journal	410	410	10	0x926c6f058cc0	AF_UNIX	STREAM	-	/run/systemd/journal/io.systemd.journal	18535	-	-	LISTEN	-
4026531840	systemd-journal	410	410	15	0x926c6f05ea40	AF_UNIX	DGRAM	-	-	18537	/run/systemd/notify	19652	UNCONNECTED	-
4026531840	systemd-journal	410	410	17	0x926c584af2c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	22620	-	20856	ESTABLISHED	-
4026531840	systemd-journal	410	410	18	0x926c584aee80	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21532	-	20516	ESTABLISHED	-
4026531840	systemd-journal	410	410	19	0x926c58587700	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21522	-	15291	ESTABLISHED	-
4026531840	systemd-journal	410	410	20	0x926c4b98a640	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21162	-	21161	ESTABLISHED	-
4026531840	systemd-journal	410	410	21	0x926c584ae1c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21570	-	20698	ESTABLISHED	-
4026531840	systemd-journal	410	410	22	0x926c58582640	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20901	-	22635	ESTABLISHED	-
4026531840	systemd-journal	410	410	24	0x926c58586a40	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20959	-	22693	ESTABLISHED	-
4026531840	systemd-journal	410	410	25	0x926c585861c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20960	-	22696	ESTABLISHED	-
4026531840	systemd-journal	410	410	26	0x926c58581dc0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19056	-	22715	ESTABLISHED	-
4026531840	systemd-journal	410	410	27	0x926c4b989100	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19055	-	20976	ESTABLISHED	-
4026531840	systemd-journal	410	410	28	0x926c4eee61c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19372	-	21467	ESTABLISHED	-
4026531840	systemd-journal	410	410	30	0x926c4b98f2c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19062	-	20989	ESTABLISHED	-
4026531840	systemd-journal	410	410	31	0x926c58587b40	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21092	-	22741	ESTABLISHED	-
4026531840	systemd-journal	410	410	32	0x926c6f05f700	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21003	-	19067	ESTABLISHED	-
4026531840	systemd-journal	410	410	34	0x926c4b988cc0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21011	-	21008	ESTABLISHED	-
4026531840	systemd-journal	410	410	35	0x926c58581100	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21095	-	22747	ESTABLISHED	-
4026531840	multipathd	448	448	1	0x926c58583fc0	AF_UNIX	STREAM	-	-	15291	/run/systemd/journal/stdout	21522	ESTABLISHED	-
