Volatility 3 Framework 2.28.0

PID	Process	Start	End	File Path	File Output

1	systemd	0x55c923b05000	0x55c923b3b000	/usr/lib/systemd/systemd	Disabled
1	systemd	0x7ff3c6cc0000	0x7ff3c6cc4000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7ff3c6ce6000	0x7ff3c6ce8000	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7ff3c6cee000	0x7ff3c6cf0000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7ff3c6d85000	0x7ff3c6d88000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7ff3c6db0000	0x7ff3c6dba000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7ff3c6e81000	0x7ff3c6f33000	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7ff3c72c5000	0x7ff3c72c7000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7ff3c72e5000	0x7ff3c72e7000	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7ff3c72ef000	0x7ff3c72fe000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
1	systemd	0x7ff3c742d000	0x7ff3c742f000	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
1	systemd	0x7ff3c7467000	0x7ff3c746a000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
1	systemd	0x7ff3c7474000	0x7ff3c747b000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
1	systemd	0x7ff3c74ab000	0x7ff3c74ad000	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2301	Disabled
1	systemd	0x7ff3c74b5000	0x7ff3c74dd000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
1	systemd	0x7ff3c76de000	0x7ff3c76e1000	/usr/lib/x86_64-linux-gnu/libapparmor.so.1.8.2	Disabled
1	systemd	0x7ff3c76f3000	0x7ff3c76f7000	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.7	Disabled
1	systemd	0x7ff3c770f000	0x7ff3c7712000	/usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0	Disabled
1	systemd	0x7ff3c773f000	0x7ff3c7742000	/usr/lib/x86_64-linux-gnu/libpam.so.0.85.1	Disabled
1	systemd	0x7ff3c7751000	0x7ff3c7759000	/usr/lib/x86_64-linux-gnu/libmount.so.1.1.0	Disabled
1	systemd	0x7ff3c7795000	0x7ff3c779b000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
1	systemd	0x7ff3c77c1000	0x7ff3c77c3000	/usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.3	Disabled
1	systemd	0x7ff3c77e7000	0x7ff3c7838000	/usr/lib/systemd/libsystemd-shared-249.so	Disabled
1	systemd	0x7ff3c7aa1000	0x7ff3c7aa3000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
1	systemd	0x7ff3c7acd000	0x7ff3c7ad8000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
1	systemd	0x7ffe04543000	0x7ffe04545000	[vdso]	Disabled
409	systemd-journal	0x5603b5b7d000	0x5603b5b84000	/usr/lib/systemd/systemd-journald	Disabled
409	systemd-journal	0x7f8572ee8000	0x7f8572eea000	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
409	systemd-journal	0x7f8572ef0000	0x7f8572ef3000	/usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0	Disabled
409	systemd-journal	0x7f8572f1e000	0x7f8572f22000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
409	systemd-journal	0x7f8572f44000	0x7f8572f46000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
409	systemd-journal	0x7f8572fdd000	0x7f8572fe0000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
409	systemd-journal	0x7f8573008000	0x7f8573012000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
409	systemd-journal	0x7f85730d7000	0x7f85730d9000	/usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.3	Disabled
409	systemd-journal	0x7f85730f7000	0x7f85730fa000	/usr/lib/x86_64-linux-gnu/libpam.so.0.85.1	Disabled
409	systemd-journal	0x7f8573109000	0x7f85731bb000	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
409	systemd-journal	0x7f857354d000	0x7f8573555000	/usr/lib/x86_64-linux-gnu/libmount.so.1.1.0	Disabled
409	systemd-journal	0x7f8573593000	0x7f8573595000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
409	systemd-journal	0x7f85735b3000	0x7f85735b7000	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.7	Disabled
409	systemd-journal	0x7f85735cf000	0x7f85735d1000	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
409	systemd-journal	0x7f85735d9000	0x7f85735e8000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
409	systemd-journal	0x7f8573717000	0x7f8573719000	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
409	systemd-journal	0x7f8573751000	0x7f8573754000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
409	systemd-journal	0x7f857375e000	0x7f8573765000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
409	systemd-journal	0x7f8573795000	0x7f8573797000	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2301	Disabled
409	systemd-journal	0x7f857379f000	0x7f85737c7000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
409	systemd-journal	0x7f85739c8000	0x7f85739ce000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
409	systemd-journal	0x7f85739fa000	0x7f8573a4b000	/usr/lib/systemd/libsystemd-shared-249.so	Disabled
409	systemd-journal	0x7f8573cb4000	0x7f8573cb6000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
409	systemd-journal	0x7f8573ce0000	0x7f8573ceb000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
409	systemd-journal	0x7ffce2971000	0x7ffce2973000	[vdso]	Disabled
447	multipathd	0x55c6e698b000	0x55c6e6991000	/usr/sbin/multipathd	Disabled
447	multipathd	0x7fdec7352000	0x7fdec7353000	/usr/lib/multipath/libprioconst.so	Disabled
447	multipathd	0x7fdec7b58000	0x7fdec7b5b000	/usr/lib/x86_64-linux-gnu/libgcc_s.so.1	Disabled
447	multipathd	0x7fdec837d000	0x7fdec8381000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
447	multipathd	0x7fdec83a3000	0x7fdec83a5000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
447	multipathd	0x7fdec843a000	0x7fdec8449000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
447	multipathd	0x7fdec857a000	0x7fdec857d000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
447	multipathd	0x7fdec8585000	0x7fdec8587000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
447	multipathd	0x7fdec85a5000	0x7fdec85af000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
447	multipathd	0x7fdec8674000	0x7fdec8677000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
447	multipathd	0x7fdec869f000	0x7fdec86ad000	/usr/lib/x86_64-linux-gnu/libtinfo.so.6.3	Disabled
447	multipathd	0x7fdec86d1000	0x7fdec86df000	/usr/lib/x86_64-linux-gnu/libm.so.6	Disabled
447	multipathd	0x7fdec87b8000	0x7fdec87be000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
447	multipathd	0x7fdec87e6000	0x7fdec87e7000	/usr/lib/x86_64-linux-gnu/libaio.so.1.0.1	Disabled
447	multipathd	0x7fdec87eb000	0x7fdec8813000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
447	multipathd	0x7fdec8a14000	0x7fdec8a27000	/usr/lib/x86_64-linux-gnu/libsystemd.so.0.32.0	Disabled
447	multipathd	0x7fdec8adb000	0x7fdec8aef000	/usr/lib/x86_64-linux-gnu/libreadline.so.8.1	Disabled
447	multipathd	0x7fdec8b2f000	0x7fdec8b39000	/usr/lib/x86_64-linux-gnu/libdevmapper.so.1.02.1	Disabled
447	multipathd	0x7fdec8b9e000	0x7fdec8ba0000	/usr/lib/x86_64-linux-gnu/liburcu.so.8.0.0	Disabled
447	multipathd	0x7fdec8ba8000	0x7fdec8bac000	/usr/lib/x86_64-linux-gnu/libudev.so.1.7.2	Disabled
447	multipathd	0x7fdec8bd2000	0x7fdec8bd3000	/usr/lib/libmpathcmd.so.0	Disabled
447	multipathd	0x7fdec8bd7000	0x7fdec8bd9000	/usr/lib/libmpathpersist.so.0	Disabled
447	multipathd	0x7fdec8be2000	0x7fdec8bee000	/usr/lib/libmultipath.so.0	Disabled
447	multipathd	0x7fdec8c48000	0x7fdec8c49000	/usr/lib/multipath/libchecktur.so	Disabled
447	multipathd	0x7fdec8c4f000	0x7fdec8c51000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
447	multipathd	0x7fdec8c7b000	0x7fdec8c86000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
447	multipathd	0x7ffcc5dc1000	0x7ffcc5dc3000	[vdso]	Disabled
450	systemd-udevd	0x5572514ee000	0x557251503000	/usr/bin/udevadm	Disabled
450	systemd-udevd	0x7fb729903000	0x7fb729905000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
450	systemd-udevd	0x7fb72999a000	0x7fb729a4c000	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
450	systemd-udevd	0x7fb729dde000	0x7fb729de1000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
450	systemd-udevd	0x7fb729e09000	0x7fb729e13000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
450	systemd-udevd	0x7fb729ed8000	0x7fb729f00000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
450	systemd-udevd	0x7fb72a103000	0x7fb72a109000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
450	systemd-udevd	0x7fb72a12f000	0x7fb72a132000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
450	systemd-udevd	0x7fb72a13a000	0x7fb72a141000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
450	systemd-udevd	0x7fb72a171000	0x7fb72a173000	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2301	Disabled
450	systemd-udevd	0x7fb72a17b000	0x7fb72a17f000	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.7	Disabled
450	systemd-udevd	0x7fb72a19f000	0x7fb72a1a1000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
450	systemd-udevd	0x7fb72a1cb000	0x7fb72a1d6000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
450	systemd-udevd	0x7ffc08b4a000	0x7ffc08b4c000	[vdso]	Disabled
503	systemd-timesyn	0x559d12c41000	0x559d12c44000	/usr/lib/systemd/systemd-timesyncd	Disabled
503	systemd-timesyn	0x7f57e3e42000	0x7f57e3e44000	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
503	systemd-timesyn	0x7f57e3e4a000	0x7f57e3e4c000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
503	systemd-timesyn	0x7f57e3ee1000	0x7f57e3ee4000	/usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0	Disabled
503	systemd-timesyn	0x7f57e3f0f000	0x7f57e3f13000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
503	systemd-timesyn	0x7f57e3f35000	0x7f57e3f38000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
503	systemd-timesyn	0x7f57e3f62000	0x7f57e3f6c000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
503	systemd-timesyn	0x7f57e4031000	0x7f57e4037000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
503	systemd-timesyn	0x7f57e405d000	0x7f57e405f000	/usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.3	Disabled
503	systemd-timesyn	0x7f57e407d000	0x7f57e4080000	/usr/lib/x86_64-linux-gnu/libpam.so.0.85.1	Disabled
503	systemd-timesyn	0x7f57e408f000	0x7f57e4141000	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
503	systemd-timesyn	0x7f57e44d3000	0x7f57e44db000	/usr/lib/x86_64-linux-gnu/libmount.so.1.1.0	Disabled
503	systemd-timesyn	0x7f57e4519000	0x7f57e451b000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
503	systemd-timesyn	0x7f57e4539000	0x7f57e453d000	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.7	Disabled
503	systemd-timesyn	0x7f57e4555000	0x7f57e4557000	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
503	systemd-timesyn	0x7f57e455f000	0x7f57e456e000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
503	systemd-timesyn	0x7f57e469d000	0x7f57e469f000	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
503	systemd-timesyn	0x7f57e46d7000	0x7f57e46da000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
503	systemd-timesyn	0x7f57e46e4000	0x7f57e46eb000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
503	systemd-timesyn	0x7f57e471b000	0x7f57e471d000	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2301	Disabled
503	systemd-timesyn	0x7f57e4725000	0x7f57e474d000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
503	systemd-timesyn	0x7f57e494e000	0x7f57e495c000	/usr/lib/x86_64-linux-gnu/libm.so.6	Disabled
503	systemd-timesyn	0x7f57e4a3b000	0x7f57e4a8c000	/usr/lib/systemd/libsystemd-shared-249.so	Disabled
503	systemd-timesyn	0x7f57e4cf5000	0x7f57e4cf7000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
