Volatility 3 Framework 2.28.0

PID	PPID	COMM	KEY	VALUE

1	0	systemd	HOME	/
1	0	systemd	init	/sbin/init
1	0	systemd	NETWORK_SKIP_ENSLAVED	
1	0	systemd	TERM	linux
1	0	systemd	BOOT_IMAGE	/boot/vmlinuz-5.15.0-164-generic
1	0	systemd	drop_caps	
1	0	systemd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1	0	systemd	PWD	/
1	0	systemd	rootmnt	/root
409	1	systemd-journal	LANG	en_US.UTF-8
409	1	systemd-journal	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
409	1	systemd-journal	NOTIFY_SOCKET	/run/systemd/notify
409	1	systemd-journal	LISTEN_PID	409
409	1	systemd-journal	LISTEN_FDS	4
409	1	systemd-journal	LISTEN_FDNAMES	systemd-journald.socket:systemd-journald.socket:systemd-journald-dev-log.socket:systemd-journald-audit.socket
409	1	systemd-journal	WATCHDOG_PID	409
409	1	systemd-journal	WATCHDOG_USEC	180000000
409	1	systemd-journal	INVOCATION_ID	81ac706b10f744d98d131dd22f230015
409	1	systemd-journal	RUNTIME_DIRECTORY	/run/systemd/journal
409	1	systemd-journal	SYSTEMD_EXEC_PID	409
447	1	multipathd	LANG	en_US.UTF-8
447	1	multipathd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
447	1	multipathd	NOTIFY_SOCKET	/run/systemd/notify
447	1	multipathd	LISTEN_PID	447
447	1	multipathd	LISTEN_FDS	1
447	1	multipathd	LISTEN_FDNAMES	multipathd.socket
447	1	multipathd	INVOCATION_ID	768395a75aa34bba9818cd4efd6722ec
447	1	multipathd	JOURNAL_STREAM	8:14624
447	1	multipathd	SYSTEMD_EXEC_PID	447
450	1	systemd-udevd	LANG	en_US.UTF-8
450	1	systemd-udevd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
450	1	systemd-udevd	NOTIFY_SOCKET	/run/systemd/notify
450	1	systemd-udevd	LISTEN_PID	450
450	1	systemd-udevd	LISTEN_FDS	2
450	1	systemd-udevd	LISTEN_FDNAMES	systemd-udevd-control.socket:systemd-udevd-kernel.socket
450	1	systemd-udevd	WATCHDOG_PID	450
450	1	systemd-udevd	WATCHDOG_USEC	180000000
450	1	systemd-udevd	INVOCATION_ID	58455d3713e046c39c2339ce517e8aad
450	1	systemd-udevd	JOURNAL_STREAM	8:20099
450	1	systemd-udevd	SYSTEMD_EXEC_PID	450
503	1	systemd-timesyn	LANG	en_US.UTF-8
503	1	systemd-timesyn	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
503	1	systemd-timesyn	NOTIFY_SOCKET	/run/systemd/notify
503	1	systemd-timesyn	WATCHDOG_PID	503
503	1	systemd-timesyn	WATCHDOG_USEC	180000000
503	1	systemd-timesyn	HOME	/run/systemd
503	1	systemd-timesyn	LOGNAME	systemd-timesync
503	1	systemd-timesyn	USER	systemd-timesync
503	1	systemd-timesyn	INVOCATION_ID	0a09589a124f4f1b877634271f65dd2d
503	1	systemd-timesyn	JOURNAL_STREAM	8:20212
503	1	systemd-timesyn	RUNTIME_DIRECTORY	/run/systemd/timesync
503	1	systemd-timesyn	STATE_DIRECTORY	/var/lib/systemd/timesync
503	1	systemd-timesyn	SYSTEMD_EXEC_PID	503
503	1	systemd-timesyn	SYSTEMD_NSS_RESOLVE_VALIDATE	0
617	1	systemd-network	LANG	en_US.UTF-8
617	1	systemd-network	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
617	1	systemd-network	NOTIFY_SOCKET	/run/systemd/notify
617	1	systemd-network	LISTEN_PID	617
617	1	systemd-network	LISTEN_FDS	1
617	1	systemd-network	LISTEN_FDNAMES	systemd-networkd.socket
617	1	systemd-network	WATCHDOG_PID	617
617	1	systemd-network	WATCHDOG_USEC	180000000
617	1	systemd-network	HOME	/run/systemd
617	1	systemd-network	LOGNAME	systemd-network
617	1	systemd-network	USER	systemd-network
617	1	systemd-network	INVOCATION_ID	96ed3e4c8b9f4f4b89cc33c17bb05c5f
617	1	systemd-network	JOURNAL_STREAM	8:21131
617	1	systemd-network	RUNTIME_DIRECTORY	/run/systemd/netif
617	1	systemd-network	SYSTEMD_EXEC_PID	617
619	1	systemd-resolve	LANG	en_US.UTF-8
619	1	systemd-resolve	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
619	1	systemd-resolve	NOTIFY_SOCKET	/run/systemd/notify
619	1	systemd-resolve	WATCHDOG_PID	619
619	1	systemd-resolve	WATCHDOG_USEC	180000000
619	1	systemd-resolve	HOME	/run/systemd
619	1	systemd-resolve	LOGNAME	systemd-resolve
619	1	systemd-resolve	USER	systemd-resolve
619	1	systemd-resolve	INVOCATION_ID	77cac3ee78f14ee4bfd11d50aacb7070
619	1	systemd-resolve	JOURNAL_STREAM	8:22207
619	1	systemd-resolve	RUNTIME_DIRECTORY	/run/systemd/resolve
619	1	systemd-resolve	SYSTEMD_EXEC_PID	619
630	1	cron	LANG	en_US.UTF-8
630	1	cron	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
630	1	cron	INVOCATION_ID	ebd128103e4c416b8f13804ce84a6176
630	1	cron	JOURNAL_STREAM	8:22262
630	1	cron	SYSTEMD_EXEC_PID	630
632	1	dbus-daemon	LANG	en_US.UTF-8
632	1	dbus-daemon	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
632	1	dbus-daemon	LISTEN_PID	632
632	1	dbus-daemon	LISTEN_FDS	1
632	1	dbus-daemon	LISTEN_FDNAMES	dbus.socket
632	1	dbus-daemon	SYSTEMD_NSS_DYNAMIC_BYPASS	1
632	1	dbus-daemon	INVOCATION_ID	035b023c1862421ea04e3061bd2b9d56
632	1	dbus-daemon	JOURNAL_STREAM	8:22266
632	1	dbus-daemon	SYSTEMD_EXEC_PID	632
638	1	irqbalance	LANG	en_US.UTF-8
638	1	irqbalance	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
638	1	irqbalance	INVOCATION_ID	4e114ee2e8e4413ba9c2be1c04228cdd
638	1	irqbalance	JOURNAL_STREAM	8:14896
638	1	irqbalance	RUNTIME_DIRECTORY	/run/irqbalance
638	1	irqbalance	SYSTEMD_EXEC_PID	638
639	1	networkd-dispat	LANG	en_US.UTF-8
639	1	networkd-dispat	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
639	1	networkd-dispat	NOTIFY_SOCKET	/run/systemd/notify
639	1	networkd-dispat	INVOCATION_ID	b90511883a1f49e3b352e71dd1cee0c2
639	1	networkd-dispat	JOURNAL_STREAM	8:21284
639	1	networkd-dispat	SYSTEMD_EXEC_PID	639
639	1	networkd-dispat	networkd_dispatcher_args	--run-startup-triggers
640	1	polkitd	LANG	en_US.UTF-8
640	1	polkitd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
640	1	polkitd	INVOCATION_ID	c442d869b9c6468f8a4d805c028dc7bb
640	1	polkitd	JOURNAL_STREAM	8:14901
640	1	polkitd	SYSTEMD_EXEC_PID	640
642	1	rsyslogd	LANG	en_US.UTF-8
642	1	rsyslogd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
642	1	rsyslogd	NOTIFY_SOCKET	/run/systemd/notify
642	1	rsyslogd	LISTEN_PID	642
642	1	rsyslogd	LISTEN_FDS	1
642	1	rsyslogd	LISTEN_FDNAMES	syslog.socket
642	1	rsyslogd	INVOCATION_ID	171cff191d0b47178ac9a2069bb106ec
642	1	rsyslogd	SYSTEMD_EXEC_PID	642
648	1	snapd	LANG	en_US.UTF-8
648	1	snapd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
648	1	snapd	NOTIFY_SOCKET	/run/systemd/notify
648	1	snapd	LISTEN_PID	648
648	1	snapd	LISTEN_FDS	2
648	1	snapd	LISTEN_FDNAMES	snapd.socket:snapd.socket
648	1	snapd	WATCHDOG_PID	648
648	1	snapd	WATCHDOG_USEC	300000000
648	1	snapd	INVOCATION_ID	bed9c0b8dafd4330a95ee7c73c1b391d
648	1	snapd	JOURNAL_STREAM	8:21294
648	1	snapd	SYSTEMD_EXEC_PID	648
651	1	systemd-logind	LANG	en_US.UTF-8
651	1	systemd-logind	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
651	1	systemd-logind	NOTIFY_SOCKET	/run/systemd/notify
651	1	systemd-logind	WATCHDOG_PID	651
651	1	systemd-logind	WATCHDOG_USEC	180000000
651	1	systemd-logind	INVOCATION_ID	a82f4a7afd624b938bfded2b16c94c10
651	1	systemd-logind	JOURNAL_STREAM	8:14919
651	1	systemd-logind	RUNTIME_DIRECTORY	/run/systemd/sessions:/run/systemd/seats:/run/systemd/users:/run/systemd/inhibit:/run/systemd/shutdown
651	1	systemd-logind	STATE_DIRECTORY	/var/lib/systemd/linger
651	1	systemd-logind	SYSTEMD_EXEC_PID	651
658	1	udisksd	LANG	en_US.UTF-8
658	1	udisksd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
658	1	udisksd	INVOCATION_ID	4696ca98020f4719b415ea89bea859c1
658	1	udisksd	JOURNAL_STREAM	8:21313
658	1	udisksd	SYSTEMD_EXEC_PID	658
683	1	ModemManager	LANG	en_US.UTF-8
683	1	ModemManager	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
683	1	ModemManager	HOME	/root
683	1	ModemManager	LOGNAME	root
683	1	ModemManager	USER	root
683	1	ModemManager	SHELL	/bin/sh
683	1	ModemManager	INVOCATION_ID	23048f36bca1487fbb8da85a76b1e02f
683	1	ModemManager	JOURNAL_STREAM	8:14934
683	1	ModemManager	SYSTEMD_EXEC_PID	683
693	1	agetty	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
693	1	agetty	INVOCATION_ID	601f49368d3b414aae98c191ee16ec73
