Volatility 3 Framework 2.28.0

PID	Process	Start	End	Flags	PgOff	Major	Minor	Inode	File Path	File output

1	systemd	0x55c923b05000	0x55c923b3b000	r--	0x0	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x55c923b3b000	0x55c923c1b000	r-x	0x36000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x55c923c1b000	0x55c923c7a000	r--	0x116000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x55c923c7a000	0x55c923cc9000	r--	0x174000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x55c923cc9000	0x55c923cca000	rw-	0x1c3000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x55c923cca000	0x55c923ccc000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x55c94948d000	0x55c94972b000	rw-	0x0	0	0	0	[heap]	Disabled
1	systemd	0x7ff3b8000000	0x7ff3b8021000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7ff3b8021000	0x7ff3bc000000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7ff3c0000000	0x7ff3c0021000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7ff3c0021000	0x7ff3c4000000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7ff3c5cb8000	0x7ff3c5cb9000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7ff3c5cb9000	0x7ff3c64b9000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7ff3c64b9000	0x7ff3c64ba000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7ff3c64ba000	0x7ff3c6cc0000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7ff3c6cc0000	0x7ff3c6cc4000	r--	0x0	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7ff3c6cc4000	0x7ff3c6cda000	r-x	0x4000	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7ff3c6cda000	0x7ff3c6ce4000	r--	0x1a000	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7ff3c6ce4000	0x7ff3c6ce5000	r--	0x23000	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7ff3c6ce5000	0x7ff3c6ce6000	rw-	0x24000	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7ff3c6ce6000	0x7ff3c6ce8000	r--	0x0	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7ff3c6ce8000	0x7ff3c6ceb000	r-x	0x2000	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7ff3c6ceb000	0x7ff3c6cec000	r--	0x5000	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7ff3c6cec000	0x7ff3c6ced000	r--	0x5000	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7ff3c6ced000	0x7ff3c6cee000	rw-	0x6000	252	2	924258	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7ff3c6cee000	0x7ff3c6cf0000	r--	0x0	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7ff3c6cf0000	0x7ff3c6d5b000	r-x	0x2000	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7ff3c6d5b000	0x7ff3c6d83000	r--	0x6d000	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7ff3c6d83000	0x7ff3c6d84000	r--	0x94000	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7ff3c6d84000	0x7ff3c6d85000	rw-	0x95000	252	2	920189	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7ff3c6d85000	0x7ff3c6d88000	r--	0x0	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7ff3c6d88000	0x7ff3c6da3000	r-x	0x3000	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7ff3c6da3000	0x7ff3c6dae000	r--	0x1e000	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7ff3c6dae000	0x7ff3c6daf000	r--	0x28000	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7ff3c6daf000	0x7ff3c6db0000	rw-	0x29000	252	2	924364	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7ff3c6db0000	0x7ff3c6dba000	r--	0x0	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7ff3c6dba000	0x7ff3c6e6c000	r-x	0xa000	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7ff3c6e6c000	0x7ff3c6e7d000	r--	0xbc000	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7ff3c6e7d000	0x7ff3c6e7e000	r--	0xcc000	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7ff3c6e7e000	0x7ff3c6e7f000	rw-	0xcd000	252	2	924514	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7ff3c6e7f000	0x7ff3c6e81000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7ff3c6e81000	0x7ff3c6f33000	r--	0x0	252	2	918316	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7ff3c6f33000	0x7ff3c7192000	r-x	0xb2000	252	2	918316	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7ff3c7192000	0x7ff3c7264000	r--	0x311000	252	2	918316	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7ff3c7264000	0x7ff3c72bf000	r--	0x3e2000	252	2	918316	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7ff3c72bf000	0x7ff3c72c2000	rw-	0x43d000	252	2	918316	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7ff3c72c2000	0x7ff3c72c5000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7ff3c72c5000	0x7ff3c72c7000	r--	0x0	252	2	924363	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7ff3c72c7000	0x7ff3c72e0000	r-x	0x2000	252	2	924363	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7ff3c72e0000	0x7ff3c72e2000	r--	0x1b000	252	2	924363	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7ff3c72e2000	0x7ff3c72e3000	---	0x1d000	252	2	924363	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7ff3c72e3000	0x7ff3c72e4000	r--	0x1d000	252	2	924363	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7ff3c72e4000	0x7ff3c72e5000	rw-	0x1e000	252	2	924363	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7ff3c72e5000	0x7ff3c72e7000	r--	0x0	252	2	918723	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7ff3c72e7000	0x7ff3c72eb000	r-x	0x2000	252	2	918723	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7ff3c72eb000	0x7ff3c72ed000	r--	0x6000	252	2	918723	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7ff3c72ed000	0x7ff3c72ee000	r--	0x7000	252	2	918723	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7ff3c72ee000	0x7ff3c72ef000	rw-	0x8000	252	2	918723	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7ff3c72ef000	0x7ff3c72fe000	r--	0x0	252	2	924306	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
1	systemd	0x7ff3c72fe000	0x7ff3c73e4000	r-x	0xf000	252	2	924306	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
1	systemd	0x7ff3c73e4000	0x7ff3c7422000	r--	0xf5000	252	2	924306	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
1	systemd	0x7ff3c7422000	0x7ff3c7423000	---	0x133000	252	2	924306	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
1	systemd	0x7ff3c7423000	0x7ff3c7426000	r--	0x133000	252	2	924306	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
1	systemd	0x7ff3c7426000	0x7ff3c742c000	rw-	0x136000	252	2	924306	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
1	systemd	0x7ff3c742c000	0x7ff3c742d000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7ff3c742d000	0x7ff3c742f000	r--	0x0	252	2	924262	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
1	systemd	0x7ff3c742f000	0x7ff3c7443000	r-x	0x2000	252	2	924262	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
1	systemd	0x7ff3c7443000	0x7ff3c745c000	r--	0x16000	252	2	924262	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
1	systemd	0x7ff3c745c000	0x7ff3c745d000	---	0x2f000	252	2	924262	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
1	systemd	0x7ff3c745d000	0x7ff3c745e000	r--	0x2f000	252	2	924262	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
1	systemd	0x7ff3c745e000	0x7ff3c745f000	rw-	0x30000	252	2	924262	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
1	systemd	0x7ff3c745f000	0x7ff3c7467000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7ff3c7467000	0x7ff3c746a000	r--	0x0	252	2	918607	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
1	systemd	0x7ff3c746a000	0x7ff3c746e000	r-x	0x3000	252	2	918607	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
1	systemd	0x7ff3c746e000	0x7ff3c7470000	r--	0x7000	252	2	918607	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
1	systemd	0x7ff3c7470000	0x7ff3c7471000	r--	0x8000	252	2	918607	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
1	systemd	0x7ff3c7471000	0x7ff3c7472000	rw-	0x9000	252	2	918607	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
1	systemd	0x7ff3c7472000	0x7ff3c7474000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7ff3c7474000	0x7ff3c747b000	r--	0x0	252	2	918605	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
1	systemd	0x7ff3c747b000	0x7ff3c749b000	r-x	0x7000	252	2	918605	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
