Volatility 3 Framework 2.28.0

OFFSET (V)	PID	TID	PPID	COMM	UID	GID	EUID	EGID	CREATION TIME	File output

0x9bcdc1290000	1	1	0	systemd	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc1294000	2	2	0	kthreadd	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc1296000	3	3	2	rcu_gp	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc1292000	4	4	2	rcu_par_gp	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc12ec000	5	5	2	slub_flushwq	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc12ee000	6	6	2	netns	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc12ea000	7	7	2	kworker/0:0	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc12e8000	8	8	2	kworker/0:0H	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc12f4000	9	9	2	kworker/u8:0	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc12f6000	10	10	2	mm_percpu_wq	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc12f2000	11	11	2	rcu_tasks_rude_	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc12f0000	12	12	2	rcu_tasks_trace	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc12fe000	13	13	2	ksoftirqd/0	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc12fa000	14	14	2	rcu_sched	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc12f8000	15	15	2	migration/0	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc12fc000	16	16	2	idle_inject/0	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc1314000	17	17	2	kworker/0:1	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc1318000	18	18	2	cpuhp/0	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc131c000	19	19	2	cpuhp/1	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc131e000	20	20	2	idle_inject/1	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc131a000	21	21	2	migration/1	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
0x9bcdc139a000	22	22	2	ksoftirqd/1	0	0	0	0	2026-02-19 04:58:58.037096 UTC	Disabled
