Volatility 3 Framework 2.28.0

OFFSET (V)	PID	TID	PPID	COMM

0x9bcdc1290000	1	1	0	systemd
* 0x9bcdef0ae000	409	409	1	systemd-journal
* 0x9bcdef1cc000	447	447	1	multipathd
* 0x9bcdef608000	450	450	1	systemd-udevd
* 0x9bcdf05b6000	503	503	1	systemd-timesyn
* 0x9bcdd1294000	617	617	1	systemd-network
* 0x9bcdd1292000	619	619	1	systemd-resolve
* 0x9bcdcfa5a000	630	630	1	cron
* 0x9bcdcfa5e000	632	632	1	dbus-daemon
* 0x9bcdcbba8000	638	638	1	irqbalance
* 0x9bcdcbbae000	639	639	1	networkd-dispat
* 0x9bcdcbbac000	640	640	1	polkitd
* 0x9bcdd1296000	642	642	1	rsyslogd
* 0x9bcdef60c000	648	648	1	snapd
* 0x9bcdef0a4000	651	651	1	systemd-logind
* 0x9bcdef0a2000	658	658	1	udisksd
* 0x9bcdeea60000	683	683	1	ModemManager
* 0x9bcdd0dec000	693	693	1	agetty
* 0x9bcdd1290000	699	699	1	sshd
* 0x9bcdd0de8000	708	708	1	unattended-upgr
* 0x9bcdd1b84000	1053	1053	1	systemd
** 0x9bcdef05c000	1054	1054	1053	(sd-pam)
* 0x9bcdcfa58000	1165	1165	1	victim
** 0x9bcdc5096000	1168	1168	1165	sh
0x9bcdc1294000	2	2	0	kthreadd
* 0x9bcdc1296000	3	3	2	rcu_gp
* 0x9bcdc1292000	4	4	2	rcu_par_gp
* 0x9bcdc12ec000	5	5	2	slub_flushwq
* 0x9bcdc12ee000	6	6	2	netns
* 0x9bcdc12ea000	7	7	2	kworker/0:0
* 0x9bcdc12e8000	8	8	2	kworker/0:0H
* 0x9bcdc12f4000	9	9	2	kworker/u8:0
* 0x9bcdc12f6000	10	10	2	mm_percpu_wq
* 0x9bcdc12f2000	11	11	2	rcu_tasks_rude_
* 0x9bcdc12f0000	12	12	2	rcu_tasks_trace
* 0x9bcdc12fe000	13	13	2	ksoftirqd/0
* 0x9bcdc12fa000	14	14	2	rcu_sched
* 0x9bcdc12f8000	15	15	2	migration/0
* 0x9bcdc12fc000	16	16	2	idle_inject/0
* 0x9bcdc1314000	17	17	2	kworker/0:1
* 0x9bcdc1318000	18	18	2	cpuhp/0
* 0x9bcdc131c000	19	19	2	cpuhp/1
* 0x9bcdc131e000	20	20	2	idle_inject/1
* 0x9bcdc131a000	21	21	2	migration/1
* 0x9bcdc139a000	22	22	2	ksoftirqd/1
* 0x9bcdc1398000	23	23	2	kworker/1:0
* 0x9bcdc139c000	24	24	2	kworker/1:0H
* 0x9bcdc139e000	25	25	2	cpuhp/2
* 0x9bcdc13a4000	26	26	2	idle_inject/2
* 0x9bcdc13a6000	27	27	2	migration/2
* 0x9bcdc13a2000	28	28	2	ksoftirqd/2
* 0x9bcdc13a0000	29	29	2	kworker/2:0
* 0x9bcdc13b8000	30	30	2	kworker/2:0H
* 0x9bcdc13bc000	31	31	2	cpuhp/3
* 0x9bcdc13be000	32	32	2	idle_inject/3
* 0x9bcdc13ba000	33	33	2	migration/3
* 0x9bcdc13c4000	34	34	2	ksoftirqd/3
* 0x9bcdc13c6000	35	35	2	kworker/3:0
* 0x9bcdc13c2000	36	36	2	kworker/3:0H
* 0x9bcdc13c0000	37	37	2	kdevtmpfs
* 0x9bcdc13cc000	38	38	2	inet_frag_wq
* 0x9bcdc13ce000	39	39	2	kauditd
* 0x9bcdc13ca000	40	40	2	khungtaskd
* 0x9bcdc13c8000	41	41	2	oom_reaper
* 0x9bcdc1976000	42	42	2	writeback
* 0x9bcdc1972000	43	43	2	kcompactd0
* 0x9bcdc1970000	44	44	2	ksmd
* 0x9bcdc1974000	45	45	2	khugepaged
* 0x9bcdc198c000	52	52	2	kworker/1:1
* 0x9bcdc1acc000	55	55	2	kworker/2:1
* 0x9bcdc1b60000	93	93	2	kintegrityd
* 0x9bcdc1b70000	94	94	2	kblockd
* 0x9bcdc1b74000	95	95	2	blkcg_punt_bio
* 0x9bcdc1b76000	96	96	2	tpm_dev_wq
* 0x9bcdc1b72000	97	97	2	ata_sff
* 0x9bcdc1aca000	98	98	2	md
* 0x9bcdc1ace000	99	99	2	edac-poller
* 0x9bcdc1ac8000	100	100	2	devfreq_wq
* 0x9bcdc198a000	101	101	2	watchdogd
* 0x9bcdc198e000	102	102	2	kworker/u8:1
* 0x9bcdc1988000	103	103	2	kworker/0:1H
* 0x9bcdc1b66000	105	105	2	kswapd0
* 0x9bcdc1b64000	106	106	2	ecryptfs-kthrea
* 0x9bcdc1b5a000	108	108	2	kthrotld
* 0x9bcdc1b5e000	109	109	2	irq/24-aerdrv
* 0x9bcdc1b5c000	110	110	2	irq/25-aerdrv
* 0x9bcdc1b4c000	111	111	2	irq/26-aerdrv
* 0x9bcdc1b48000	112	112	2	irq/27-aerdrv
* 0x9bcdc1b4a000	113	113	2	irq/28-aerdrv
* 0x9bcdc1b4e000	114	114	2	irq/29-aerdrv
* 0x9bcdc1986000	115	115	2	irq/30-aerdrv
* 0x9bcdc1982000	116	116	2	irq/31-aerdrv
* 0x9bcdc1984000	117	117	2	irq/32-aerdrv
* 0x9bcdc1980000	118	118	2	irq/33-aerdrv
* 0x9bcdc1ae8000	119	119	2	irq/34-aerdrv
* 0x9bcdc1aea000	120	120	2	irq/35-aerdrv
* 0x9bcdc1aee000	121	121	2	irq/36-aerdrv
* 0x9bcdc1aec000	122	122	2	irq/37-aerdrv
* 0x9bcdc1ae4000	123	123	2	acpi_thermal_pm
* 0x9bcdc1ae0000	124	124	2	kworker/u8:2
* 0x9bcdc1ae2000	125	125	2	vfio-irqfd-clea
* 0x9bcdc1ae6000	126	126	2	mld
* 0x9bcdc1ad8000	127	127	2	kworker/2:1H
* 0x9bcdc1ada000	128	128	2	ipv6_addrconf
* 0x9bcdc1ade000	130	130	2	kworker/u8:3
* 0x9bcdc121c000	138	138	2	kstrp
* 0x9bcdc35d0000	139	139	2	kworker/3:1
* 0x9bcdc35d2000	142	142	2	zswap-shrink
* 0x9bcdc1e78000	143	143	2	kworker/u9:0
* 0x9bcdc1e7a000	148	148	2	charger_manager
* 0x9bcdf05b2000	188	188	2	kworker/1:1H
* 0x9bcdf05b0000	189	189	2	kworker/2:2
* 0x9bcdf05b4000	190	190	2	hwrng
* 0x9bcdf05a4000	191	191	2	scsi_eh_0
* 0x9bcdf05a0000	192	192	2	scsi_tmf_0
* 0x9bcdf05a2000	193	193	2	scsi_eh_1
* 0x9bcdc1e7e000	194	194	2	scsi_tmf_1
* 0x9bcdc1e7c000	195	195	2	scsi_eh_2
* 0x9bcdc36b4000	196	196	2	cryptd
* 0x9bcdc36b0000	197	197	2	scsi_tmf_2
* 0x9bcdc1b62000	207	207	2	kworker/3:1H
* 0x9bcdef49a000	211	211	2	scsi_eh_3
* 0x9bcdef498000	212	212	2	scsi_tmf_3
* 0x9bcdef07a000	214	214	2	scsi_eh_4
* 0x9bcdef078000	215	215	2	scsi_tmf_4
* 0x9bcdef0aa000	239	239	2	scsi_eh_5
* 0x9bcdef0a8000	240	240	2	scsi_tmf_5
* 0x9bcdef1c6000	248	248	2	kworker/u8:4
* 0x9bcdef1ce000	249	249	2	kworker/u8:5
* 0x9bcdef1ca000	250	250	2	kworker/u8:6
* 0x9bcdef1c8000	251	251	2	kworker/u8:7
* 0x9bcdc36b6000	260	260	2	kworker/3:2
* 0x9bcdc36b2000	261	261	2	kworker/3:3
* 0x9bcdef086000	262	262	2	kworker/u8:8
* 0x9bcdef084000	267	267	2	kworker/0:2
* 0x9bcdef1b8000	290	290	2	raid5wq
* 0x9bcdef1bc000	337	337	2	jbd2/vda2-8
* 0x9bcdc1adc000	338	338	2	ext4-rsv-conver
* 0x9bcdef1e4000	438	438	2	kaluad
* 0x9bcdef1e0000	444	444	2	kmpath_rdacd
* 0x9bcdef49c000	445	445	2	kmpathd
* 0x9bcdef49e000	446	446	2	kmpath_handlerd
* 0x9bcdef1e6000	504	504	2	kworker/0:3
* 0x9bcdef07e000	537	537	2	kworker/1:2
* 0x9bcdc121e000	1173	1173	2	kworker/1:3
