Volatility 3 Framework 2.28.0

Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

0x111ff28	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x11294e8	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x112e558	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x1131848	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x1136268	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x15a2f700	AF_UNIX	DGRAM	-	/run/user/1000/systemd/notify	15287	-	-	UNCONNECTED	-
0x3719000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x3791a40	AF_INET	STREAM	TCP	127.0.0.53	53	0.0.0.0	0	LISTEN	-
0x3794600	AF_INET	STREAM	TCP	192.168.100.206	52758	192.168.100.1	4444	ESTABLISHED	-
0x39c2800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000001	2940841215	group:0x00000000	0	UNCONNECTED	-
0x39c5000	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x800405d5	1	group:0x00000000	0	UNCONNECTED	-
0x3a0c000	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x00000111	619	group:0x00000000	0	UNCONNECTED	-
0x777a000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	447	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xf549180	AF_INET	STREAM	TCP	192.168.100.206	22	192.168.100.1	60318	CLOSE	-
0x10b0a000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	658	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x11240000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	648	group:0x00000000	0	UNCONNECTED	-
0x11240800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1053	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x11241000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	683	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x11241800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3708392047	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x11243000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3808631140	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x12848000	AF_INET	STREAM	TCP	0.0.0.0	22	0.0.0.0	0	LISTEN	-
0x1284a300	AF_INET	STREAM	TCP	192.168.100.206	22	192.168.100.1	42770	CLOSE	-
0x12b48000	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21287	-	21284	ESTABLISHED	-
0x12b48880	AF_UNIX	STREAM	-	-	21425	/run/dbus/system_bus_socket	14963	ESTABLISHED	-
0x12b49540	AF_UNIX	STREAM	-	-	21294	/run/systemd/journal/stdout	21298	ESTABLISHED	-
0x12b49dc0	AF_UNIX	STREAM	-	/run/irqbalance/irqbalance638.sock	21289	-	-	LISTEN	-
0x12b4a640	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21298	-	21294	ESTABLISHED	-
0x12b4aec0	AF_UNIX	STREAM	-	-	21284	/run/systemd/journal/stdout	21287	ESTABLISHED	-
0x12b4b300	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21319	-	21313	ESTABLISHED	-
0x12b4d940	AF_UNIX	STREAM	-	-	21293	/run/dbus/system_bus_socket	14914	ESTABLISHED	-
0x12b4dd80	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	14963	-	21425	ESTABLISHED	-
0x12b4e1c0	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	14914	-	21293	ESTABLISHED	-
0x12b4fb40	AF_UNIX	STREAM	-	-	21313	/run/systemd/journal/stdout	21319	ESTABLISHED	-
0x135b6000	AF_PACKET	RAW	0x88cc	enp1s0	-	-	-	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x15a28880	AF_UNIX	DGRAM	-	-	15288	-	15289	CONNECTED	-
0x15a29540	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent.ssh	15304	-	-	LISTEN	-
0x15a29980	AF_UNIX	DGRAM	-	-	15289	-	15288	CONNECTED	-
0x15a2a200	AF_UNIX	STREAM	-	/run/user/1000/systemd/private	15290	-	-	LISTEN	-
0x15a2a640	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent.extra	15302	-	-	LISTEN	-
0x15a2b300	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	24917	-	15292	ESTABLISHED	-
0x15a2bb80	AF_UNIX	STREAM	-	-	15292	/run/dbus/system_bus_socket	24917	ESTABLISHED	-
0x15a2c840	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	23026	-	15253	ESTABLISHED	-
0x15a2d0c0	AF_UNIX	STREAM	-	/run/user/1000/snapd-session-agent.socket	15310	-	-	LISTEN	-
0x15a2d940	AF_UNIX	STREAM	-	/run/user/1000/pk-debconf-socket	15308	-	-	LISTEN	-
0x15a2e1c0	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent	15306	-	-	LISTEN	-
0x15a2ea40	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent.browser	15300	-	-	LISTEN	-
0x15a2ee80	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.dirmngr	15298	-	-	LISTEN	-
0x15a2f2c0	AF_UNIX	STREAM	-	-	15253	/run/systemd/journal/stdout	23026	ESTABLISHED	-
0x15a2f700	AF_UNIX	DGRAM	-	/run/user/1000/systemd/notify	15287	-	-	UNCONNECTED	-
0x15a2fb40	AF_UNIX	STREAM	-	/run/user/1000/bus	15296	-	-	LISTEN	-
0x1662c840	AF_UNIX	STREAM	-	-	22375	-	22374	ESTABLISHED	-
0x1662f2c0	AF_UNIX	STREAM	-	-	22374	-	22375	ESTABLISHED	-
0x16674000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	651	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x16677800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3589108758	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x2efc8000	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	19374	-	19373	ESTABLISHED	-
0x2efc8880	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	19190	-	-	LISTEN	-
0x2efc9980	AF_UNIX	STREAM	-	/var/snap/lxd/common/lxd/unix.socket	19193	-	-	LISTEN	-
