Volatility 3 Framework 2.28.0

NetNS	Process Name	PID	TID	FD	Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

4026531840	systemd	1	1	15	0x9bcdc3719000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
4026531840	systemd	1	1	19	0x9bcdf06cee80	AF_UNIX	STREAM	-	/run/systemd/private	20661	-	-	LISTEN	-
4026531840	systemd	1	1	20	0x9bcdf06cfb40	AF_UNIX	STREAM	-	/run/systemd/userdb/io.systemd.DynamicUser	20663	-	-	LISTEN	-
4026531840	systemd	1	1	21	0x9bcdf06cb300	AF_UNIX	STREAM	-	/run/systemd/io.system.ManagedOOM	20664	-	-	LISTEN	-
4026531840	systemd	1	1	23	0x9bcdf06c9540	AF_UNIX	DGRAM	-	/run/systemd/notify	20658	-	-	UNCONNECTED	-
4026531840	systemd	1	1	24	0x9bcdf06ca640	AF_UNIX	DGRAM	-	-	20659	-	20660	CONNECTED	-
4026531840	systemd	1	1	47	0x9bcdc50b9800	AF_NETLINK	RAW	NETLINK_AUDIT	-	2646790133	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	48	0x9bcdf06cf700	AF_UNIX	DGRAM	-	-	20748	/run/systemd/journal/socket	20688	UNCONNECTED	-
4026531840	systemd	1	1	71	0x9bcdeefcc840	AF_UNIX	STREAM	-	-	19214	/run/dbus/system_bus_socket	14913	ESTABLISHED	-
4026531840	systemd	1	1	82	0x9bcdf06cea40	AF_UNIX	DGRAM	-	-	20660	-	20659	CONNECTED	-
4026531840	systemd	1	1	85	0x9bcdeefcd500	AF_UNIX	STREAM	-	/var/snap/lxd/common/lxd-user/unix.socket	19195	-	-	LISTEN	-
4026531840	systemd	1	1	86	0x9bcdf06cf2c0	AF_UNIX	STREAM	-	/run/lvm/lvmpolld.socket	20674	-	-	LISTEN	-
4026531840	systemd	1	1	87	0x9bcdeefca200	AF_UNIX	STREAM	-	/run/snapd.socket	19197	-	-	LISTEN	-
4026531840	systemd	1	1	90	0x9bcdeefcf2c0	AF_UNIX	STREAM	-	/run/snapd-snap.socket	19199	-	-	LISTEN	-
4026531840	systemd	1	1	93	0x9bcdf06cbb80	AF_UNIX	DGRAM	-	/run/systemd/journal/syslog	20677	-	-	UNCONNECTED	-
4026531840	systemd	1	1	95	0x9bcdc39c5000	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x800405d5	1	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	104	0x9bcdf06cd500	AF_UNIX	DGRAM	-	/run/systemd/journal/dev-log	20686	-	-	UNCONNECTED	-
4026531840	systemd	1	1	105	0x9bcdf06cc840	AF_UNIX	STREAM	-		20676	-	-	LISTEN	-
4026531840	systemd	1	1	106	0x9bcdeefcbfc0	AF_UNIX	STREAM	-		19192	-	-	LISTEN	-
4026531840	systemd	1	1	107	0x9bcdc39c2800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000001	2940841215	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	108	0x9bcdeefcbb80	AF_UNIX	STREAM	-	/run/uuidd/request	19201	-	-	LISTEN	-
4026531840	systemd	1	1	109	0x9bcdf0131000	AF_NETLINK	RAW	NETLINK_AUDIT	groups:0x00000001	1	group:0x00000000	0	UNCONNECTED	-
