Volatility 3 Framework 2.28.0

PID	Process	Start	End	File Path	File Output

1	systemd	0x563b9bc57000	0x563b9bc8d000	/usr/lib/systemd/systemd	Disabled
1	systemd	0x7fb2514d4000	0x7fb2514d8000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fb2514fa000	0x7fb2514fc000	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7fb251502000	0x7fb251504000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7fb251599000	0x7fb25159c000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7fb2515c4000	0x7fb2515ce000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7fb251695000	0x7fb251747000	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7fb251ad9000	0x7fb251adb000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7fb251af9000	0x7fb251afb000	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7fb251b03000	0x7fb251b12000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
1	systemd	0x7fb251c41000	0x7fb251c43000	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
1	systemd	0x7fb251c7b000	0x7fb251c7e000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
1	systemd	0x7fb251c88000	0x7fb251c8f000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
1	systemd	0x7fb251cbf000	0x7fb251cc1000	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2301	Disabled
1	systemd	0x7fb251cc9000	0x7fb251cf1000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
1	systemd	0x7fb251ef2000	0x7fb251ef5000	/usr/lib/x86_64-linux-gnu/libapparmor.so.1.8.2	Disabled
1	systemd	0x7fb251f07000	0x7fb251f0b000	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.7	Disabled
1	systemd	0x7fb251f23000	0x7fb251f26000	/usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0	Disabled
1	systemd	0x7fb251f53000	0x7fb251f56000	/usr/lib/x86_64-linux-gnu/libpam.so.0.85.1	Disabled
1	systemd	0x7fb251f65000	0x7fb251f6d000	/usr/lib/x86_64-linux-gnu/libmount.so.1.1.0	Disabled
1	systemd	0x7fb251fa9000	0x7fb251faf000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
1	systemd	0x7fb251fd5000	0x7fb251fd7000	/usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.3	Disabled
1	systemd	0x7fb251ffb000	0x7fb25204c000	/usr/lib/systemd/libsystemd-shared-249.so	Disabled
1	systemd	0x7fb2522b5000	0x7fb2522b7000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
1	systemd	0x7fb2522e1000	0x7fb2522ec000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
1	systemd	0x7fff82b80000	0x7fff82b82000	[vdso]	Disabled
409	systemd-journal	0x5614b8e0e000	0x5614b8e15000	/usr/lib/systemd/systemd-journald	Disabled
409	systemd-journal	0x7f6ad88bf000	0x7f6ad88c1000	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
409	systemd-journal	0x7f6ad88c7000	0x7f6ad88ca000	/usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0	Disabled
409	systemd-journal	0x7f6ad88f5000	0x7f6ad88f9000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
409	systemd-journal	0x7f6ad891b000	0x7f6ad891d000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
409	systemd-journal	0x7f6ad89b4000	0x7f6ad89b7000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
409	systemd-journal	0x7f6ad89df000	0x7f6ad89e9000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
409	systemd-journal	0x7f6ad8aae000	0x7f6ad8ab0000	/usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.3	Disabled
409	systemd-journal	0x7f6ad8ace000	0x7f6ad8ad1000	/usr/lib/x86_64-linux-gnu/libpam.so.0.85.1	Disabled
409	systemd-journal	0x7f6ad8ae0000	0x7f6ad8b92000	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
409	systemd-journal	0x7f6ad8f24000	0x7f6ad8f2c000	/usr/lib/x86_64-linux-gnu/libmount.so.1.1.0	Disabled
409	systemd-journal	0x7f6ad8f6a000	0x7f6ad8f6c000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
409	systemd-journal	0x7f6ad8f8a000	0x7f6ad8f8e000	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.7	Disabled
409	systemd-journal	0x7f6ad8fa6000	0x7f6ad8fa8000	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
409	systemd-journal	0x7f6ad8fb0000	0x7f6ad8fbf000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
409	systemd-journal	0x7f6ad90ee000	0x7f6ad90f0000	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
409	systemd-journal	0x7f6ad9128000	0x7f6ad912b000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
409	systemd-journal	0x7f6ad9135000	0x7f6ad913c000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
