Volatility 3 Framework 2.28.0

PID	PPID	COMM	KEY	VALUE

1	0	systemd	HOME	/
1	0	systemd	init	/sbin/init
1	0	systemd	NETWORK_SKIP_ENSLAVED	
1	0	systemd	TERM	linux
1	0	systemd	BOOT_IMAGE	/boot/vmlinuz-5.15.0-164-generic
1	0	systemd	drop_caps	
1	0	systemd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1	0	systemd	PWD	/
1	0	systemd	rootmnt	/root
409	1	systemd-journal	LANG	en_US.UTF-8
409	1	systemd-journal	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
409	1	systemd-journal	NOTIFY_SOCKET	/run/systemd/notify
409	1	systemd-journal	LISTEN_PID	409
409	1	systemd-journal	LISTEN_FDS	4
409	1	systemd-journal	LISTEN_FDNAMES	systemd-journald-dev-log.socket:systemd-journald.socket:systemd-journald.socket:systemd-journald-audit.socket
409	1	systemd-journal	WATCHDOG_PID	409
409	1	systemd-journal	WATCHDOG_USEC	180000000
409	1	systemd-journal	INVOCATION_ID	7d150d59a8c44272a36fb10ef65d6300
409	1	systemd-journal	RUNTIME_DIRECTORY	/run/systemd/journal
409	1	systemd-journal	SYSTEMD_EXEC_PID	409
448	1	multipathd	LANG	en_US.UTF-8
448	1	multipathd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
448	1	multipathd	NOTIFY_SOCKET	/run/systemd/notify
448	1	multipathd	LISTEN_PID	448
448	1	multipathd	LISTEN_FDS	1
448	1	multipathd	LISTEN_FDNAMES	multipathd.socket
448	1	multipathd	INVOCATION_ID	156718b9b2fe447dbc82751e377af59d
448	1	multipathd	JOURNAL_STREAM	8:19926
448	1	multipathd	SYSTEMD_EXEC_PID	448
452	1	systemd-udevd	LANG	en_US.UTF-8
452	1	systemd-udevd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
452	1	systemd-udevd	NOTIFY_SOCKET	/run/systemd/notify
452	1	systemd-udevd	LISTEN_PID	452
452	1	systemd-udevd	LISTEN_FDS	2
452	1	systemd-udevd	LISTEN_FDNAMES	systemd-udevd-control.socket:systemd-udevd-kernel.socket
452	1	systemd-udevd	WATCHDOG_PID	452
452	1	systemd-udevd	WATCHDOG_USEC	180000000
452	1	systemd-udevd	INVOCATION_ID	40a53cfbaf5c4bac917ca547749aec13
452	1	systemd-udevd	JOURNAL_STREAM	8:19940
452	1	systemd-udevd	SYSTEMD_EXEC_PID	452
506	1	systemd-timesyn	LANG	en_US.UTF-8
506	1	systemd-timesyn	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
506	1	systemd-timesyn	NOTIFY_SOCKET	/run/systemd/notify
506	1	systemd-timesyn	WATCHDOG_PID	506
506	1	systemd-timesyn	WATCHDOG_USEC	180000000
506	1	systemd-timesyn	HOME	/run/systemd
506	1	systemd-timesyn	LOGNAME	systemd-timesync
506	1	systemd-timesyn	USER	systemd-timesync
506	1	systemd-timesyn	INVOCATION_ID	4932db43fcc24655aa60ec6582deacd8
506	1	systemd-timesyn	JOURNAL_STREAM	8:18780
506	1	systemd-timesyn	RUNTIME_DIRECTORY	/run/systemd/timesync
506	1	systemd-timesyn	STATE_DIRECTORY	/var/lib/systemd/timesync
506	1	systemd-timesyn	SYSTEMD_EXEC_PID	506
506	1	systemd-timesyn	SYSTEMD_NSS_RESOLVE_VALIDATE	0
619	1	systemd-network	LANG	en_US.UTF-8
619	1	systemd-network	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
619	1	systemd-network	NOTIFY_SOCKET	/run/systemd/notify
619	1	systemd-network	LISTEN_PID	619
619	1	systemd-network	LISTEN_FDS	1
619	1	systemd-network	LISTEN_FDNAMES	systemd-networkd.socket
619	1	systemd-network	WATCHDOG_PID	619
619	1	systemd-network	WATCHDOG_USEC	180000000
619	1	systemd-network	HOME	/run/systemd
619	1	systemd-network	LOGNAME	systemd-network
619	1	systemd-network	USER	systemd-network
619	1	systemd-network	INVOCATION_ID	c1511618a91b4e2fba480a5bc5687811
619	1	systemd-network	JOURNAL_STREAM	8:22181
619	1	systemd-network	RUNTIME_DIRECTORY	/run/systemd/netif
619	1	systemd-network	SYSTEMD_EXEC_PID	619
621	1	systemd-resolve	LANG	en_US.UTF-8
621	1	systemd-resolve	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
621	1	systemd-resolve	NOTIFY_SOCKET	/run/systemd/notify
621	1	systemd-resolve	WATCHDOG_PID	621
621	1	systemd-resolve	WATCHDOG_USEC	180000000
621	1	systemd-resolve	HOME	/run/systemd
621	1	systemd-resolve	LOGNAME	systemd-resolve
621	1	systemd-resolve	USER	systemd-resolve
621	1	systemd-resolve	INVOCATION_ID	230c48f9fff94d8e9f5e5b5de7381b28
621	1	systemd-resolve	JOURNAL_STREAM	8:19002
621	1	systemd-resolve	RUNTIME_DIRECTORY	/run/systemd/resolve
621	1	systemd-resolve	SYSTEMD_EXEC_PID	621
632	1	cron	LANG	en_US.UTF-8
632	1	cron	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
632	1	cron	INVOCATION_ID	f354373a148d4c3986f1380f2e4af80f
632	1	cron	JOURNAL_STREAM	8:19061
632	1	cron	SYSTEMD_EXEC_PID	632
634	1	dbus-daemon	LANG	en_US.UTF-8
634	1	dbus-daemon	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
634	1	dbus-daemon	LISTEN_PID	634
634	1	dbus-daemon	LISTEN_FDS	1
634	1	dbus-daemon	LISTEN_FDNAMES	dbus.socket
634	1	dbus-daemon	SYSTEMD_NSS_DYNAMIC_BYPASS	1
634	1	dbus-daemon	INVOCATION_ID	9e0eded8e0e74cb9a4791ccb3027eeab
634	1	dbus-daemon	JOURNAL_STREAM	8:19064
634	1	dbus-daemon	SYSTEMD_EXEC_PID	634
640	1	irqbalance	LANG	en_US.UTF-8
640	1	irqbalance	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
640	1	irqbalance	INVOCATION_ID	b95173c727034cb199751b7bfd42c77e
640	1	irqbalance	JOURNAL_STREAM	8:22278
640	1	irqbalance	RUNTIME_DIRECTORY	/run/irqbalance
640	1	irqbalance	SYSTEMD_EXEC_PID	640
641	1	networkd-dispat	LANG	en_US.UTF-8
641	1	networkd-dispat	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
641	1	networkd-dispat	NOTIFY_SOCKET	/run/systemd/notify
641	1	networkd-dispat	INVOCATION_ID	894bbc54f19b46eda372f449f67e590f
641	1	networkd-dispat	JOURNAL_STREAM	8:19075
641	1	networkd-dispat	SYSTEMD_EXEC_PID	641
641	1	networkd-dispat	networkd_dispatcher_args	--run-startup-triggers
642	1	polkitd	LANG	en_US.UTF-8
642	1	polkitd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
642	1	polkitd	INVOCATION_ID	783f56a759e1430e9e5a8f98fe582c63
642	1	polkitd	JOURNAL_STREAM	8:22283
642	1	polkitd	SYSTEMD_EXEC_PID	642
643	1	rsyslogd	LANG	en_US.UTF-8
643	1	rsyslogd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
643	1	rsyslogd	NOTIFY_SOCKET	/run/systemd/notify
643	1	rsyslogd	LISTEN_PID	643
643	1	rsyslogd	LISTEN_FDS	1
643	1	rsyslogd	LISTEN_FDNAMES	syslog.socket
643	1	rsyslogd	INVOCATION_ID	c75564930dfe48aaaec2158bd23f5eb0
643	1	rsyslogd	SYSTEMD_EXEC_PID	643
648	1	snapd	LANG	en_US.UTF-8
648	1	snapd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
648	1	snapd	NOTIFY_SOCKET	/run/systemd/notify
648	1	snapd	LISTEN_PID	648
648	1	snapd	LISTEN_FDS	2
648	1	snapd	LISTEN_FDNAMES	snapd.socket:snapd.socket
648	1	snapd	WATCHDOG_PID	648
648	1	snapd	WATCHDOG_USEC	300000000
648	1	snapd	INVOCATION_ID	7aff57faa1fd4ef88b9c4c229754436b
648	1	snapd	JOURNAL_STREAM	8:15041
648	1	snapd	SYSTEMD_EXEC_PID	648
652	1	systemd-logind	LANG	en_US.UTF-8
652	1	systemd-logind	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
652	1	systemd-logind	NOTIFY_SOCKET	/run/systemd/notify
652	1	systemd-logind	WATCHDOG_PID	652
652	1	systemd-logind	WATCHDOG_USEC	180000000
652	1	systemd-logind	INVOCATION_ID	d4bf84b8fa5e4f4bac43a560bf85c28d
652	1	systemd-logind	JOURNAL_STREAM	8:22295
652	1	systemd-logind	RUNTIME_DIRECTORY	/run/systemd/sessions:/run/systemd/seats:/run/systemd/users:/run/systemd/inhibit:/run/systemd/shutdown
652	1	systemd-logind	STATE_DIRECTORY	/var/lib/systemd/linger
652	1	systemd-logind	SYSTEMD_EXEC_PID	652
654	1	udisksd	LANG	en_US.UTF-8
654	1	udisksd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
654	1	udisksd	INVOCATION_ID	8e44cf197d6a425e9c2e72d66401602a
654	1	udisksd	JOURNAL_STREAM	8:19111
654	1	udisksd	SYSTEMD_EXEC_PID	654
669	1	ModemManager	LANG	en_US.UTF-8
669	1	ModemManager	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
669	1	ModemManager	HOME	/root
669	1	ModemManager	LOGNAME	root
669	1	ModemManager	USER	root
669	1	ModemManager	SHELL	/bin/sh
669	1	ModemManager	INVOCATION_ID	4b95dfd255cd4a728756669797a4425d
669	1	ModemManager	JOURNAL_STREAM	8:19159
669	1	ModemManager	SYSTEMD_EXEC_PID	669
690	1	agetty	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
690	1	agetty	INVOCATION_ID	020df75633554737b1abbc7cbd30fe31
