Volatility 3 Framework 2.28.0

PID	TID	Process	FD	Path	Device	Inode	Type	Mode	Changed	Modified	Accessed	Size

1	1	systemd	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 04:18:59.240000 UTC	2026-02-19 04:18:59.240000 UTC	2026-02-19 04:18:59.240000 UTC	0
1	1	systemd	1	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 04:18:59.240000 UTC	2026-02-19 04:18:59.240000 UTC	2026-02-19 04:18:59.240000 UTC	0
1	1	systemd	2	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 04:18:59.240000 UTC	2026-02-19 04:18:59.240000 UTC	2026-02-19 04:18:59.240000 UTC	0
1	1	systemd	3	/dev/kmsg	0:5	11	CHR	crw-r--r--	2026-02-19 04:18:59.240000 UTC	2026-02-19 04:18:59.240000 UTC	2026-02-19 04:18:59.240000 UTC	0
1	1	systemd	4	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:18:56.294292 UTC	2026-02-19 04:18:56.294292 UTC	2026-02-19 04:18:56.294292 UTC	0
1	1	systemd	5	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:18:56.294292 UTC	2026-02-19 04:18:56.294292 UTC	2026-02-19 04:18:56.294292 UTC	0
1	1	systemd	6	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:18:56.294292 UTC	2026-02-19 04:18:56.294292 UTC	2026-02-19 04:18:56.294292 UTC	0
1	1	systemd	7	/sys/fs/cgroup	0:30	1	DIR	dr-xr-xr-x	2026-02-19 04:18:58.967422 UTC	2026-02-19 04:18:58.967422 UTC	2026-02-19 04:18:58.748149 UTC	0
1	1	systemd	8	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:18:56.294292 UTC	2026-02-19 04:18:56.294292 UTC	2026-02-19 04:18:56.294292 UTC	0
1	1	systemd	9	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:18:56.294292 UTC	2026-02-19 04:18:56.294292 UTC	2026-02-19 04:18:56.294292 UTC	0
1	1	systemd	10	/proc/1/mountinfo	0:24	19798	REG	-r--r--r--	2026-02-19 04:18:58.560000 UTC	2026-02-19 04:18:58.560000 UTC	2026-02-19 04:18:58.560000 UTC	0
1	1	systemd	11	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:18:56.294292 UTC	2026-02-19 04:18:56.294292 UTC	2026-02-19 04:18:56.294292 UTC	0
