Volatility 3 Framework 2.28.0

PID	Process	Start	End	Flags	PgOff	Major	Minor	Inode	File Path	File output

1	systemd	0x563b9bc57000	0x563b9bc8d000	r--	0x0	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x563b9bc8d000	0x563b9bd6d000	r-x	0x36000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x563b9bd6d000	0x563b9bdcc000	r--	0x116000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x563b9bdcc000	0x563b9be1b000	r--	0x174000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x563b9be1b000	0x563b9be1c000	rw-	0x1c3000	252	2	918152	/usr/lib/systemd/systemd	Disabled
1	systemd	0x563b9be1c000	0x563b9be1e000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x563bab5ea000	0x563bab89b000	rw-	0x0	0	0	0	[heap]	Disabled
1	systemd	0x7fb244000000	0x7fb244021000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fb244021000	0x7fb248000000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fb24c000000	0x7fb24c021000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fb24c021000	0x7fb250000000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fb2504cc000	0x7fb2504cd000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fb2504cd000	0x7fb250ccd000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fb250ccd000	0x7fb250cce000	---	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fb250cce000	0x7fb2514d4000	rw-	0x0	0	0	0	Anonymous Mapping	Disabled
1	systemd	0x7fb2514d4000	0x7fb2514d8000	r--	0x0	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fb2514d8000	0x7fb2514ee000	r-x	0x4000	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7fb2514ee000	0x7fb2514f8000	r--	0x1a000	252	2	924316	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
