Volatility 3 Framework 2.28.0

OFFSET (V)	PID	TID	PPID	COMM	UID	GID	EUID	EGID	CREATION TIME	File output

0x942241292000	1	1	0	systemd	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x942241290000	2	2	0	kthreadd	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x942241296000	3	3	2	rcu_gp	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x942241294000	4	4	2	rcu_par_gp	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x9422412ec000	5	5	2	slub_flushwq	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x9422412ea000	6	6	2	netns	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x9422412e8000	7	7	2	kworker/0:0	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x9422412ee000	8	8	2	kworker/0:0H	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x9422412f6000	9	9	2	kworker/u8:0	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x9422412f4000	10	10	2	mm_percpu_wq	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x9422412f2000	11	11	2	rcu_tasks_rude_	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x9422412f0000	12	12	2	rcu_tasks_trace	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x9422412fa000	13	13	2	ksoftirqd/0	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x9422412f8000	14	14	2	rcu_sched	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x9422412fe000	15	15	2	migration/0	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x9422412fc000	16	16	2	idle_inject/0	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x942241312000	17	17	2	kworker/0:1	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x94224131c000	18	18	2	cpuhp/0	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x94224131a000	19	19	2	cpuhp/1	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x942241318000	20	20	2	idle_inject/1	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x94224131e000	21	21	2	migration/1	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x94224139a000	22	22	2	ksoftirqd/1	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x942241398000	23	23	2	kworker/1:0	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x94224139e000	24	24	2	kworker/1:0H	0	0	0	0	2026-02-19 04:18:54.046624 UTC	Disabled
0x94224139c000	25	25	2	cpuhp/2	0	0	0	0	2026-02-19 04:18:54.050624 UTC	Disabled
0x9422413a6000	26	26	2	idle_inject/2	0	0	0	0	2026-02-19 04:18:54.050624 UTC	Disabled
0x9422413a4000	27	27	2	migration/2	0	0	0	0	2026-02-19 04:18:54.050624 UTC	Disabled
0x9422413a2000	28	28	2	ksoftirqd/2	0	0	0	0	2026-02-19 04:18:54.050624 UTC	Disabled
0x9422413a0000	29	29	2	kworker/2:0	0	0	0	0	2026-02-19 04:18:54.050624 UTC	Disabled
0x9422413bc000	30	30	2	kworker/2:0H	0	0	0	0	2026-02-19 04:18:54.050624 UTC	Disabled
0x9422413ba000	31	31	2	cpuhp/3	0	0	0	0	2026-02-19 04:18:54.054624 UTC	Disabled
0x9422413b8000	32	32	2	idle_inject/3	0	0	0	0	2026-02-19 04:18:54.054624 UTC	Disabled
0x9422413be000	33	33	2	migration/3	0	0	0	0	2026-02-19 04:18:54.054624 UTC	Disabled
0x9422413c0000	34	34	2	ksoftirqd/3	0	0	0	0	2026-02-19 04:18:54.054624 UTC	Disabled
0x9422413c6000	35	35	2	kworker/3:0	0	0	0	0	2026-02-19 04:18:54.054624 UTC	Disabled
0x9422413c4000	36	36	2	kworker/3:0H	0	0	0	0	2026-02-19 04:18:54.054624 UTC	Disabled
0x9422413c2000	37	37	2	kdevtmpfs	0	0	0	0	2026-02-19 04:18:54.058624 UTC	Disabled
0x9422413ce000	38	38	2	inet_frag_wq	0	0	0	0	2026-02-19 04:18:54.058624 UTC	Disabled
0x9422413cc000	39	39	2	kauditd	0	0	0	0	2026-02-19 04:18:54.058624 UTC	Disabled
0x9422413ca000	40	40	2	khungtaskd	0	0	0	0	2026-02-19 04:18:54.058624 UTC	Disabled
0x9422413c8000	41	41	2	oom_reaper	0	0	0	0	2026-02-19 04:18:54.058624 UTC	Disabled
