Volatility 3 Framework 2.28.0

OFFSET (V)	PID	TID	PPID	COMM

0x942241292000	1	1	0	systemd
* 0x94226f9ea000	409	409	1	systemd-journal
* 0x942270604000	448	448	1	multipathd
* 0x942270602000	452	452	1	systemd-udevd
* 0x9422705f6000	506	506	1	systemd-timesyn
* 0x94227060c000	619	619	1	systemd-network
* 0x942270608000	621	621	1	systemd-resolve
* 0x94225665c000	632	632	1	cron
* 0x942256658000	634	634	1	dbus-daemon
* 0x9422704a0000	640	640	1	irqbalance
* 0x94226ff4e000	641	641	1	networkd-dispat
* 0x942253276000	642	642	1	polkitd
* 0x942253274000	643	643	1	rsyslogd
* 0x942253272000	648	648	1	snapd
* 0x942244fd6000	652	652	1	systemd-logind
* 0x9422705f0000	654	654	1	udisksd
* 0x94226f076000	669	669	1	ModemManager
* 0x942246cac000	690	690	1	agetty
* 0x942246caa000	699	699	1	sshd
* 0x942246ca8000	701	701	1	unattended-upgr
* 0x942246a2a000	1050	1050	1	systemd
** 0x942242b24000	1051	1051	1050	(sd-pam)
* 0x94226fa04000	1199	1199	1	victim
** 0x9422553e6000	1202	1202	1199	sh
0x942241290000	2	2	0	kthreadd
* 0x942241296000	3	3	2	rcu_gp
* 0x942241294000	4	4	2	rcu_par_gp
* 0x9422412ec000	5	5	2	slub_flushwq
* 0x9422412ea000	6	6	2	netns
* 0x9422412e8000	7	7	2	kworker/0:0
* 0x9422412ee000	8	8	2	kworker/0:0H
* 0x9422412f6000	9	9	2	kworker/u8:0
* 0x9422412f4000	10	10	2	mm_percpu_wq
* 0x9422412f2000	11	11	2	rcu_tasks_rude_
* 0x9422412f0000	12	12	2	rcu_tasks_trace
* 0x9422412fa000	13	13	2	ksoftirqd/0
* 0x9422412f8000	14	14	2	rcu_sched
* 0x9422412fe000	15	15	2	migration/0
* 0x9422412fc000	16	16	2	idle_inject/0
* 0x942241312000	17	17	2	kworker/0:1
* 0x94224131c000	18	18	2	cpuhp/0
* 0x94224131a000	19	19	2	cpuhp/1
* 0x942241318000	20	20	2	idle_inject/1
* 0x94224131e000	21	21	2	migration/1
* 0x94224139a000	22	22	2	ksoftirqd/1
* 0x942241398000	23	23	2	kworker/1:0
* 0x94224139e000	24	24	2	kworker/1:0H
* 0x94224139c000	25	25	2	cpuhp/2
* 0x9422413a6000	26	26	2	idle_inject/2
* 0x9422413a4000	27	27	2	migration/2
* 0x9422413a2000	28	28	2	ksoftirqd/2
* 0x9422413a0000	29	29	2	kworker/2:0
* 0x9422413bc000	30	30	2	kworker/2:0H
* 0x9422413ba000	31	31	2	cpuhp/3
* 0x9422413b8000	32	32	2	idle_inject/3
* 0x9422413be000	33	33	2	migration/3
* 0x9422413c0000	34	34	2	ksoftirqd/3
* 0x9422413c6000	35	35	2	kworker/3:0
* 0x9422413c4000	36	36	2	kworker/3:0H
* 0x9422413c2000	37	37	2	kdevtmpfs
* 0x9422413ce000	38	38	2	inet_frag_wq
* 0x9422413cc000	39	39	2	kauditd
* 0x9422413ca000	40	40	2	khungtaskd
* 0x9422413c8000	41	41	2	oom_reaper
* 0x942241972000	42	42	2	writeback
* 0x942241970000	43	43	2	kcompactd0
* 0x942241976000	44	44	2	ksmd
* 0x942241974000	45	45	2	khugepaged
* 0x942241988000	52	52	2	kworker/1:1
* 0x942241aca000	55	55	2	kworker/2:1
* 0x942241b60000	93	93	2	kintegrityd
* 0x942241b76000	94	94	2	kblockd
* 0x942241b74000	95	95	2	blkcg_punt_bio
* 0x942241b72000	96	96	2	tpm_dev_wq
* 0x942241b70000	97	97	2	ata_sff
* 0x942241ace000	98	98	2	md
* 0x942241ac8000	99	99	2	edac-poller
* 0x942241acc000	100	100	2	devfreq_wq
* 0x94224198c000	101	101	2	watchdogd
* 0x94224198e000	102	102	2	kworker/u8:1
* 0x94224198a000	103	103	2	kworker/0:1H
* 0x942241b64000	105	105	2	kswapd0
* 0x942241b66000	106	106	2	ecryptfs-kthrea
* 0x942241b5e000	108	108	2	kthrotld
* 0x942241b58000	109	109	2	irq/24-aerdrv
* 0x942241b5a000	110	110	2	irq/25-aerdrv
* 0x942241b4e000	111	111	2	irq/26-aerdrv
* 0x942241b48000	112	112	2	irq/27-aerdrv
* 0x942241b4a000	113	113	2	irq/28-aerdrv
* 0x942241b4c000	114	114	2	irq/29-aerdrv
* 0x942241aee000	115	115	2	irq/30-aerdrv
* 0x942241ae8000	116	116	2	irq/31-aerdrv
* 0x942241aea000	117	117	2	irq/32-aerdrv
* 0x942241aec000	118	118	2	irq/33-aerdrv
* 0x942241ae0000	119	119	2	irq/34-aerdrv
* 0x942241ae2000	120	120	2	irq/35-aerdrv
* 0x942241ae4000	121	121	2	irq/36-aerdrv
* 0x942241ae6000	122	122	2	irq/37-aerdrv
* 0x942241ada000	123	123	2	acpi_thermal_pm
* 0x942241adc000	124	124	2	kworker/u8:2
* 0x942241ade000	125	125	2	vfio-irqfd-clea
* 0x942241ad8000	126	126	2	mld
* 0x942246c8a000	127	127	2	kworker/2:1H
* 0x942246c88000	128	128	2	ipv6_addrconf
* 0x942246c8e000	130	130	2	kworker/u8:3
* 0x942246c8c000	131	131	2	kworker/3:1
* 0x9422436ca000	139	139	2	kstrp
* 0x9422436cc000	142	142	2	zswap-shrink
* 0x9422435d4000	143	143	2	kworker/u9:0
* 0x9422435d6000	148	148	2	charger_manager
