Volatility 3 Framework 2.28.0

Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

0x111ff28	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x11294e8	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x112e558	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x1131848	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x1136268	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0xb91d580	AF_INET6	STREAM	TCP	-	22	::	0	LISTEN	-
0x4512300	AF_INET	STREAM	TCP	127.0.0.53	53	0.0.0.0	0	LISTEN	-
0x4513d40	AF_INET	STREAM	TCP	192.168.100.206	22	192.168.100.1	33034	CLOSE	-
0x5596800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	619	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x5c5e040	AF_INET	STREAM	TCP	192.168.100.206	38598	192.168.100.1	4444	ESTABLISHED	-
0x6186000	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x00000111	621	group:0x00000000	0	UNCONNECTED	-
0x69a9800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x69ad000	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x800405d5	1	group:0x00000000	0	UNCONNECTED	-
0x69ae000	AF_NETLINK	RAW	NETLINK_AUDIT	groups:0x00000001	1	group:0x00000000	0	UNCONNECTED	-
0x6b60cc0	AF_UNIX	DGRAM	-	-	22203	-	22204	CONNECTED	-
0x6b61100	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19105	-	22295	ESTABLISHED	-
0x6b62200	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	22356	-	22355	ESTABLISHED	-
0x6b62640	AF_UNIX	STREAM	-	-	22294	/run/dbus/system_bus_socket	22313	ESTABLISHED	-
0x6b63740	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	22313	-	22294	ESTABLISHED	-
0x6b63b80	AF_UNIX	STREAM	-	-	22181	/run/systemd/journal/stdout	18987	ESTABLISHED	-
0x6b63fc0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19074	-	22278	ESTABLISHED	-
0x6b64840	AF_UNIX	STREAM	-	-	22307	-	22308	ESTABLISHED	-
0x6b64c80	AF_UNIX	DGRAM	-	-	22202	-	22201	CONNECTED	-
0x6b650c0	AF_UNIX	STREAM	-	-	22278	/run/systemd/journal/stdout	19074	ESTABLISHED	-
0x6b65500	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	18987	-	22181	ESTABLISHED	-
0x6b65940	AF_UNIX	STREAM	-	-	22295	/run/systemd/journal/stdout	19105	ESTABLISHED	-
0x6b66600	AF_UNIX	STREAM	-	-	22261	/run/dbus/system_bus_socket	22310	ESTABLISHED	-
0x6b66a40	AF_UNIX	DGRAM	-	-	22204	-	22203	CONNECTED	-
0x6b66e80	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	22310	-	22261	ESTABLISHED	-
0x6b672c0	AF_UNIX	STREAM	-	-	22355	/run/dbus/system_bus_socket	22356	ESTABLISHED	-
0x6b67700	AF_UNIX	DGRAM	-	-	22201	-	22202	CONNECTED	-
0x6b67b40	AF_UNIX	STREAM	-	-	22308	-	22307	ESTABLISHED	-
0x6d6e800	AF_PACKET	RAW	0x88cc	enp1s0	-	-	-	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xaaf4000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	448	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xb7a0800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	669	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xb7a7800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	654	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0xb9171c0	AF_INET	STREAM	TCP	0.0.0.0	22	0.0.0.0	0	LISTEN	-
0xb957000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1050	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x11950000	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	22415	-	22414	ESTABLISHED	-
0x11956600	AF_UNIX	STREAM	-	-	22419	-	22420	ESTABLISHED	-
0x11956a40	AF_UNIX	STREAM	-	-	22414	/run/dbus/system_bus_socket	22415	ESTABLISHED	-
0x11956e80	AF_UNIX	STREAM	-	-	22420	-	22419	ESTABLISHED	-
0x129d0000	AF_UNIX	STREAM	-	/run/user/1000/snapd-session-agent.socket	23128	-	-	LISTEN	-
0x14bd9800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3200181290	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x14bdb000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3727237126	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x14bdd800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	4107139171	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x14bde800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	652	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x2e8a0000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	648	group:0x00000000	0	UNCONNECTED	-
0x2ee68000	AF_UNIX	DGRAM	-	/run/systemd/notify	19821	-	-	UNCONNECTED	-
0x2ee68440	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19851	-	-	LISTEN	-
0x2ee69980	AF_UNIX	DGRAM	-	/run/systemd/journal/socket	19849	-	-	UNCONNECTED	-
0x2ee69dc0	AF_UNIX	SEQPACKET	-	/run/udev/control	19854	-	-	UNCONNECTED	-
0x2ee6a200	AF_UNIX	STREAM	-	/run/systemd/io.system.ManagedOOM	19827	-	-	LISTEN	-
0x2ee6aa80	AF_UNIX	STREAM	-	/run/systemd/userdb/io.systemd.DynamicUser	19826	-	-	LISTEN	-
0x2ee6aec0	AF_UNIX	STREAM	-	/run/systemd/fsck.progress	19840	-	-	LISTEN	-
0x2ee6b300	AF_UNIX	STREAM	-	-	19940	/run/systemd/journal/stdout	18731	ESTABLISHED	-
0x2ee6bfc0	AF_UNIX	DGRAM	-	/run/systemd/journal/syslog	19838	-	-	UNCONNECTED	-
0x2ee6c400	AF_UNIX	DGRAM	-	-	19955	-	19954	CONNECTED	-
