Volatility 3 Framework 2.28.0

NetNS	Process Name	PID	TID	FD	Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

4026531840	systemd	1	1	15	0x9422469a9800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
4026531840	systemd	1	1	19	0x94226ee6e1c0	AF_UNIX	STREAM	-	/run/systemd/private	19824	-	-	LISTEN	-
4026531840	systemd	1	1	20	0x94226ee6aa80	AF_UNIX	STREAM	-	/run/systemd/userdb/io.systemd.DynamicUser	19826	-	-	LISTEN	-
4026531840	systemd	1	1	21	0x94226ee6a200	AF_UNIX	STREAM	-	/run/systemd/io.system.ManagedOOM	19827	-	-	LISTEN	-
4026531840	systemd	1	1	23	0x94226ee68000	AF_UNIX	DGRAM	-	/run/systemd/notify	19821	-	-	UNCONNECTED	-
4026531840	systemd	1	1	24	0x94226ee6e600	AF_UNIX	DGRAM	-	-	19822	-	19823	CONNECTED	-
4026531840	systemd	1	1	42	0x942270495d80	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	25798	-	23071	ESTABLISHED	-
4026531840	systemd	1	1	47	0x9422705ea200	AF_UNIX	DGRAM	-	-	14595	/run/systemd/journal/socket	19849	UNCONNECTED	-
4026531840	systemd	1	1	48	0x94226ff42800	AF_NETLINK	RAW	NETLINK_AUDIT	-	4107233326	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	71	0x942270492640	AF_UNIX	STREAM	-	-	21287	/run/dbus/system_bus_socket	22312	ESTABLISHED	-
4026531840	systemd	1	1	82	0x94226ee6ee80	AF_UNIX	DGRAM	-	-	19823	-	19822	CONNECTED	-
4026531840	systemd	1	1	85	0x942270491dc0	AF_UNIX	STREAM	-	/var/snap/lxd/common/lxd-user/unix.socket	21268	-	-	LISTEN	-
4026531840	systemd	1	1	86	0x942270497700	AF_UNIX	STREAM	-	/var/snap/lxd/common/lxd/unix.socket	21266	-	-	LISTEN	-
4026531840	systemd	1	1	89	0x94226ee6d0c0	AF_UNIX	STREAM	-		19837	-	-	LISTEN	-
4026531840	systemd	1	1	91	0x942270493300	AF_UNIX	STREAM	-	/run/snapd.socket	21270	-	-	LISTEN	-
4026531840	systemd	1	1	93	0x942270495500	AF_UNIX	STREAM	-	/run/snapd-snap.socket	21272	-	-	LISTEN	-
4026531840	systemd	1	1	96	0x942270494c80	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	21263	-	-	LISTEN	-
4026531840	systemd	1	1	97	0x9422469ae000	AF_NETLINK	RAW	NETLINK_AUDIT	groups:0x00000001	1	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	98	0x942270615800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000001	2587982901	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	101	0x942270490cc0	AF_UNIX	STREAM	-		21265	-	-	LISTEN	-
4026531840	systemd	1	1	104	0x94226ee6bfc0	AF_UNIX	DGRAM	-	/run/systemd/journal/syslog	19838	-	-	UNCONNECTED	-
4026531840	systemd	1	1	109	0x94226ee69980	AF_UNIX	DGRAM	-	/run/systemd/journal/socket	19849	-	-	UNCONNECTED	-
4026531840	systemd	1	1	110	0x94226ee68440	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19851	-	-	LISTEN	-
4026531840	systemd	1	1	111	0x9422469ad000	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x800405d5	1	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	112	0x94226ee6dd80	AF_UNIX	DGRAM	-	/run/systemd/journal/dev-log	19847	-	-	UNCONNECTED	-
4026531840	systemd	1	1	113	0x94226ee6f2c0	AF_UNIX	STREAM	-	/run/lvm/lvmpolld.socket	19835	-	-	LISTEN	-
4026531840	systemd	1	1	114	0x94226ee6aec0	AF_UNIX	STREAM	-	/run/systemd/fsck.progress	19840	-	-	LISTEN	-
4026531840	systemd	1	1	118	0x9422705ebfc0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21358	-	15106	ESTABLISHED	-
4026531840	systemd	1	1	119	0x9422705ea640	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21329	-	15091	ESTABLISHED	-
4026531840	systemd	1	1	120	0x942270629540	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21301	-	19159	ESTABLISHED	-
4026531840	systemd	1	1	121	0x94227062f700	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19112	-	19111	ESTABLISHED	-
4026531840	systemd	1	1	122	0x942246b61100	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19105	-	22295	ESTABLISHED	-
4026531840	systemd	1	1	123	0x9422705e9980	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19101	-	15041	ESTABLISHED	-
4026531840	systemd	1	1	124	0x94227062bb80	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19078	-	19075	ESTABLISHED	-
4026531840	systemd	1	1	125	0x942246b63fc0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19074	-	22278	ESTABLISHED	-
4026531840	systemd	1	1	126	0x94227062fb40	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15002	-	19064	ESTABLISHED	-
4026531840	systemd	1	1	127	0x942270629dc0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15001	-	19061	ESTABLISHED	-
4026531840	systemd	1	1	128	0x94227062d940	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	14943	-	19002	ESTABLISHED	-
4026531840	systemd	1	1	129	0x942246b65500	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	18987	-	22181	ESTABLISHED	-
4026531840	systemd	1	1	130	0x94227062b300	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	18785	-	18780	ESTABLISHED	-
4026531840	systemd	1	1	131	0x94226ee6d500	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	18731	-	19940	ESTABLISHED	-
4026531840	systemd	1	1	132	0x94226ee6f700	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	18721	-	19926	ESTABLISHED	-
4026531840	systemd	1	1	135	0x94226ee69dc0	AF_UNIX	SEQPACKET	-	/run/udev/control	19854	-	-	UNCONNECTED	-
4026531840	systemd	1	1	136	0x942270493b80	AF_UNIX	STREAM	-	/run/uuidd/request	21274	-	-	LISTEN	-
4026531840	systemd-journal	409	409	3	0x94226ee6dd80	AF_UNIX	DGRAM	-	/run/systemd/journal/dev-log	19847	-	-	UNCONNECTED	-
4026531840	systemd-journal	409	409	4	0x94226ee69980	AF_UNIX	DGRAM	-	/run/systemd/journal/socket	19849	-	-	UNCONNECTED	-
4026531840	systemd-journal	409	409	5	0x94226ee68440	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	19851	-	-	LISTEN	-
