Volatility 3 Framework 2.28.0

PID	Process	Start	End	File Path	File Output

1	systemd	0x557a9a038000	0x557a9a06e000	/usr/lib/systemd/systemd	Disabled
1	systemd	0x7f343269a000	0x7f343269e000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
1	systemd	0x7f34326c0000	0x7f34326c2000	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
1	systemd	0x7f34326c8000	0x7f34326ca000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
1	systemd	0x7f343275f000	0x7f3432762000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
1	systemd	0x7f343278a000	0x7f3432794000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
1	systemd	0x7f343285b000	0x7f343290d000	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
1	systemd	0x7f3432c9f000	0x7f3432ca1000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
1	systemd	0x7f3432cbf000	0x7f3432cc1000	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
1	systemd	0x7f3432cc9000	0x7f3432cd8000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
1	systemd	0x7f3432e07000	0x7f3432e09000	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
1	systemd	0x7f3432e41000	0x7f3432e44000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
1	systemd	0x7f3432e4e000	0x7f3432e55000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
1	systemd	0x7f3432e85000	0x7f3432e87000	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2301	Disabled
1	systemd	0x7f3432e8f000	0x7f3432eb7000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
1	systemd	0x7f34330b8000	0x7f34330bb000	/usr/lib/x86_64-linux-gnu/libapparmor.so.1.8.2	Disabled
1	systemd	0x7f34330cd000	0x7f34330d1000	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.7	Disabled
1	systemd	0x7f34330e9000	0x7f34330ec000	/usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0	Disabled
1	systemd	0x7f3433119000	0x7f343311c000	/usr/lib/x86_64-linux-gnu/libpam.so.0.85.1	Disabled
1	systemd	0x7f343312b000	0x7f3433133000	/usr/lib/x86_64-linux-gnu/libmount.so.1.1.0	Disabled
1	systemd	0x7f343316f000	0x7f3433175000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
1	systemd	0x7f343319b000	0x7f343319d000	/usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.3	Disabled
1	systemd	0x7f34331c1000	0x7f3433212000	/usr/lib/systemd/libsystemd-shared-249.so	Disabled
1	systemd	0x7f343347b000	0x7f343347d000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
1	systemd	0x7f34334a7000	0x7f34334b2000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
1	systemd	0x7ffd2b7a3000	0x7ffd2b7a5000	[vdso]	Disabled
409	systemd-journal	0x5581b0357000	0x5581b035e000	/usr/lib/systemd/systemd-journald	Disabled
409	systemd-journal	0x7f85e9d68000	0x7f85e9d6a000	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
409	systemd-journal	0x7f85e9d70000	0x7f85e9d73000	/usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0	Disabled
409	systemd-journal	0x7f85e9d9e000	0x7f85e9da2000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
409	systemd-journal	0x7f85e9dc4000	0x7f85e9dc6000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
409	systemd-journal	0x7f85e9e5d000	0x7f85e9e60000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
409	systemd-journal	0x7f85e9e88000	0x7f85e9e92000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
409	systemd-journal	0x7f85e9f57000	0x7f85e9f59000	/usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.3	Disabled
409	systemd-journal	0x7f85e9f77000	0x7f85e9f7a000	/usr/lib/x86_64-linux-gnu/libpam.so.0.85.1	Disabled
409	systemd-journal	0x7f85e9f89000	0x7f85ea03b000	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
409	systemd-journal	0x7f85ea3cd000	0x7f85ea3d5000	/usr/lib/x86_64-linux-gnu/libmount.so.1.1.0	Disabled
409	systemd-journal	0x7f85ea413000	0x7f85ea415000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
409	systemd-journal	0x7f85ea433000	0x7f85ea437000	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.7	Disabled
409	systemd-journal	0x7f85ea44f000	0x7f85ea451000	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0	Disabled
409	systemd-journal	0x7f85ea459000	0x7f85ea468000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
409	systemd-journal	0x7f85ea597000	0x7f85ea599000	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0	Disabled
409	systemd-journal	0x7f85ea5d1000	0x7f85ea5d4000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
409	systemd-journal	0x7f85ea5de000	0x7f85ea5e5000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
409	systemd-journal	0x7f85ea615000	0x7f85ea617000	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2301	Disabled
409	systemd-journal	0x7f85ea61f000	0x7f85ea647000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
409	systemd-journal	0x7f85ea848000	0x7f85ea84e000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
409	systemd-journal	0x7f85ea87a000	0x7f85ea8cb000	/usr/lib/systemd/libsystemd-shared-249.so	Disabled
409	systemd-journal	0x7f85eab34000	0x7f85eab36000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
409	systemd-journal	0x7f85eab60000	0x7f85eab6b000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
409	systemd-journal	0x7ffc68fdb000	0x7ffc68fdd000	[vdso]	Disabled
446	multipathd	0x557f798c9000	0x557f798cf000	/usr/sbin/multipathd	Disabled
446	multipathd	0x7f30ee90d000	0x7f30ee90e000	/usr/lib/multipath/libprioconst.so	Disabled
446	multipathd	0x7f30ef113000	0x7f30ef116000	/usr/lib/x86_64-linux-gnu/libgcc_s.so.1	Disabled
446	multipathd	0x7f30ef938000	0x7f30ef93c000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
446	multipathd	0x7f30ef95e000	0x7f30ef960000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
446	multipathd	0x7f30ef9f5000	0x7f30efa04000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
446	multipathd	0x7f30efb35000	0x7f30efb38000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
446	multipathd	0x7f30efb40000	0x7f30efb42000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
446	multipathd	0x7f30efb60000	0x7f30efb6a000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
446	multipathd	0x7f30efc2f000	0x7f30efc32000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
446	multipathd	0x7f30efc5a000	0x7f30efc68000	/usr/lib/x86_64-linux-gnu/libtinfo.so.6.3	Disabled
446	multipathd	0x7f30efc8c000	0x7f30efc9a000	/usr/lib/x86_64-linux-gnu/libm.so.6	Disabled
446	multipathd	0x7f30efd73000	0x7f30efd79000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
446	multipathd	0x7f30efda1000	0x7f30efda2000	/usr/lib/x86_64-linux-gnu/libaio.so.1.0.1	Disabled
446	multipathd	0x7f30efda6000	0x7f30efdce000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
