Volatility 3 Framework 2.28.0

PID	PPID	COMM	KEY	VALUE

1	0	systemd	HOME	/
1	0	systemd	init	/sbin/init
1	0	systemd	NETWORK_SKIP_ENSLAVED	
1	0	systemd	TERM	linux
1	0	systemd	BOOT_IMAGE	/boot/vmlinuz-5.15.0-164-generic
1	0	systemd	drop_caps	
1	0	systemd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
1	0	systemd	PWD	/
1	0	systemd	rootmnt	/root
409	1	systemd-journal	LANG	en_US.UTF-8
409	1	systemd-journal	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
409	1	systemd-journal	NOTIFY_SOCKET	/run/systemd/notify
409	1	systemd-journal	LISTEN_PID	409
409	1	systemd-journal	LISTEN_FDS	4
409	1	systemd-journal	LISTEN_FDNAMES	systemd-journald-audit.socket:systemd-journald.socket:systemd-journald.socket:systemd-journald-dev-log.socket
409	1	systemd-journal	WATCHDOG_PID	409
409	1	systemd-journal	WATCHDOG_USEC	180000000
409	1	systemd-journal	INVOCATION_ID	035dc33f1027402cb4c7db8fece181fb
409	1	systemd-journal	RUNTIME_DIRECTORY	/run/systemd/journal
409	1	systemd-journal	SYSTEMD_EXEC_PID	409
446	1	multipathd	LANG	en_US.UTF-8
446	1	multipathd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
446	1	multipathd	NOTIFY_SOCKET	/run/systemd/notify
446	1	multipathd	LISTEN_PID	446
446	1	multipathd	LISTEN_FDS	1
446	1	multipathd	LISTEN_FDNAMES	multipathd.socket
446	1	multipathd	INVOCATION_ID	e4279e17542b4fb182ffc69d241cb001
446	1	multipathd	JOURNAL_STREAM	8:19357
446	1	multipathd	SYSTEMD_EXEC_PID	446
456	1	systemd-udevd	LANG	en_US.UTF-8
456	1	systemd-udevd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
456	1	systemd-udevd	NOTIFY_SOCKET	/run/systemd/notify
456	1	systemd-udevd	LISTEN_PID	456
456	1	systemd-udevd	LISTEN_FDS	2
456	1	systemd-udevd	LISTEN_FDNAMES	systemd-udevd-control.socket:systemd-udevd-kernel.socket
456	1	systemd-udevd	WATCHDOG_PID	456
456	1	systemd-udevd	WATCHDOG_USEC	180000000
456	1	systemd-udevd	INVOCATION_ID	abf146453be8443586a62fffc6035e32
456	1	systemd-udevd	JOURNAL_STREAM	8:19715
456	1	systemd-udevd	SYSTEMD_EXEC_PID	456
498	1	systemd-timesyn	LANG	en_US.UTF-8
498	1	systemd-timesyn	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
498	1	systemd-timesyn	NOTIFY_SOCKET	/run/systemd/notify
498	1	systemd-timesyn	WATCHDOG_PID	498
498	1	systemd-timesyn	WATCHDOG_USEC	180000000
498	1	systemd-timesyn	HOME	/run/systemd
498	1	systemd-timesyn	LOGNAME	systemd-timesync
498	1	systemd-timesyn	USER	systemd-timesync
498	1	systemd-timesyn	INVOCATION_ID	bb48cde7fe7443448b7c3d15a7d811db
498	1	systemd-timesyn	JOURNAL_STREAM	8:20588
498	1	systemd-timesyn	RUNTIME_DIRECTORY	/run/systemd/timesync
498	1	systemd-timesyn	STATE_DIRECTORY	/var/lib/systemd/timesync
498	1	systemd-timesyn	SYSTEMD_EXEC_PID	498
498	1	systemd-timesyn	SYSTEMD_NSS_RESOLVE_VALIDATE	0
616	1	systemd-network	LANG	en_US.UTF-8
616	1	systemd-network	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
616	1	systemd-network	NOTIFY_SOCKET	/run/systemd/notify
616	1	systemd-network	LISTEN_PID	616
616	1	systemd-network	LISTEN_FDS	1
616	1	systemd-network	LISTEN_FDNAMES	systemd-networkd.socket
616	1	systemd-network	WATCHDOG_PID	616
616	1	systemd-network	WATCHDOG_USEC	180000000
616	1	systemd-network	HOME	/run/systemd
616	1	systemd-network	LOGNAME	systemd-network
616	1	systemd-network	USER	systemd-network
616	1	systemd-network	INVOCATION_ID	a071e455913e4ec0bbb688276adb422f
616	1	systemd-network	JOURNAL_STREAM	8:19918
616	1	systemd-network	RUNTIME_DIRECTORY	/run/systemd/netif
616	1	systemd-network	SYSTEMD_EXEC_PID	616
618	1	systemd-resolve	LANG	en_US.UTF-8
618	1	systemd-resolve	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
618	1	systemd-resolve	NOTIFY_SOCKET	/run/systemd/notify
618	1	systemd-resolve	WATCHDOG_PID	618
618	1	systemd-resolve	WATCHDOG_USEC	180000000
618	1	systemd-resolve	HOME	/run/systemd
618	1	systemd-resolve	LOGNAME	systemd-resolve
618	1	systemd-resolve	USER	systemd-resolve
618	1	systemd-resolve	INVOCATION_ID	43eb87fb19194896b0b2f62681af7a83
618	1	systemd-resolve	JOURNAL_STREAM	8:21829
618	1	systemd-resolve	RUNTIME_DIRECTORY	/run/systemd/resolve
618	1	systemd-resolve	SYSTEMD_EXEC_PID	618
629	1	cron	LANG	en_US.UTF-8
629	1	cron	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
629	1	cron	INVOCATION_ID	0dfe4c9e3a7f4fbcb41072c94c5aa93a
629	1	cron	JOURNAL_STREAM	8:21922
629	1	cron	SYSTEMD_EXEC_PID	629
632	1	dbus-daemon	LANG	en_US.UTF-8
632	1	dbus-daemon	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
632	1	dbus-daemon	LISTEN_PID	632
632	1	dbus-daemon	LISTEN_FDS	1
632	1	dbus-daemon	LISTEN_FDNAMES	dbus.socket
632	1	dbus-daemon	SYSTEMD_NSS_DYNAMIC_BYPASS	1
632	1	dbus-daemon	INVOCATION_ID	92ae862b5c6942ffa652e61165c4edd1
632	1	dbus-daemon	JOURNAL_STREAM	8:16060
632	1	dbus-daemon	SYSTEMD_EXEC_PID	632
637	1	irqbalance	LANG	en_US.UTF-8
637	1	irqbalance	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
637	1	irqbalance	INVOCATION_ID	80d19616ac86493491bc2b35eeb48f0f
637	1	irqbalance	JOURNAL_STREAM	8:21928
637	1	irqbalance	RUNTIME_DIRECTORY	/run/irqbalance
637	1	irqbalance	SYSTEMD_EXEC_PID	637
638	1	networkd-dispat	LANG	en_US.UTF-8
638	1	networkd-dispat	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
638	1	networkd-dispat	NOTIFY_SOCKET	/run/systemd/notify
638	1	networkd-dispat	INVOCATION_ID	56fd213c347a43979df6ee1b49f8afe3
638	1	networkd-dispat	JOURNAL_STREAM	8:20012
638	1	networkd-dispat	SYSTEMD_EXEC_PID	638
638	1	networkd-dispat	networkd_dispatcher_args	--run-startup-triggers
639	1	polkitd	LANG	en_US.UTF-8
639	1	polkitd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
639	1	polkitd	INVOCATION_ID	f092b859654f4fb9824b389056141faf
639	1	polkitd	JOURNAL_STREAM	8:22724
639	1	polkitd	SYSTEMD_EXEC_PID	639
640	1	rsyslogd	LANG	en_US.UTF-8
640	1	rsyslogd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
640	1	rsyslogd	NOTIFY_SOCKET	/run/systemd/notify
640	1	rsyslogd	LISTEN_PID	640
640	1	rsyslogd	LISTEN_FDS	1
640	1	rsyslogd	LISTEN_FDNAMES	syslog.socket
640	1	rsyslogd	INVOCATION_ID	e6b2d2683dad43b3b8757746dbc9b747
640	1	rsyslogd	SYSTEMD_EXEC_PID	640
645	1	snapd	LANG	en_US.UTF-8
645	1	snapd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
645	1	snapd	NOTIFY_SOCKET	/run/systemd/notify
645	1	snapd	LISTEN_PID	645
645	1	snapd	LISTEN_FDS	2
645	1	snapd	LISTEN_FDNAMES	snapd.socket:snapd.socket
645	1	snapd	WATCHDOG_PID	645
645	1	snapd	WATCHDOG_USEC	300000000
645	1	snapd	INVOCATION_ID	4caba7d9d3da45ca828da9090ba0eeae
645	1	snapd	JOURNAL_STREAM	8:16123
645	1	snapd	SYSTEMD_EXEC_PID	645
659	1	systemd-logind	LANG	en_US.UTF-8
659	1	systemd-logind	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
659	1	systemd-logind	NOTIFY_SOCKET	/run/systemd/notify
659	1	systemd-logind	WATCHDOG_PID	659
659	1	systemd-logind	WATCHDOG_USEC	180000000
659	1	systemd-logind	INVOCATION_ID	064a5c85cba64036989a89bdf234605e
659	1	systemd-logind	JOURNAL_STREAM	8:22739
659	1	systemd-logind	RUNTIME_DIRECTORY	/run/systemd/sessions:/run/systemd/seats:/run/systemd/users:/run/systemd/inhibit:/run/systemd/shutdown
659	1	systemd-logind	STATE_DIRECTORY	/var/lib/systemd/linger
659	1	systemd-logind	SYSTEMD_EXEC_PID	659
667	1	udisksd	LANG	en_US.UTF-8
667	1	udisksd	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
667	1	udisksd	INVOCATION_ID	55a6b9a5d169410aa41de5b7016a2517
667	1	udisksd	JOURNAL_STREAM	8:16131
667	1	udisksd	SYSTEMD_EXEC_PID	667
693	1	agetty	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
693	1	agetty	INVOCATION_ID	53ed8133ba60461aa0b949027045128e
693	1	agetty	TERM	linux
693	1	agetty	JOURNAL_STREAM	8:22083
693	1	agetty	SYSTEMD_EXEC_PID	693
695	1	ModemManager	LANG	en_US.UTF-8
695	1	ModemManager	PATH	/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin
695	1	ModemManager	HOME	/root
695	1	ModemManager	LOGNAME	root
695	1	ModemManager	USER	root
695	1	ModemManager	SHELL	/bin/sh
695	1	ModemManager	INVOCATION_ID	31c91d75d0d24c31984847d3a3510338
