Volatility 3 Framework 2.28.0

PID	TID	Process	FD	Path	Device	Inode	Type	Mode	Changed	Modified	Accessed	Size

1	1	systemd	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	0
1	1	systemd	1	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	0
1	1	systemd	2	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	0
1	1	systemd	3	/dev/kmsg	0:5	11	CHR	crw-r--r--	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	0
1	1	systemd	4	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	5	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	6	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	7	/sys/fs/cgroup	0:30	1	DIR	dr-xr-xr-x	2026-02-19 04:39:50.302729 UTC	2026-02-19 04:39:50.302729 UTC	2026-02-19 04:39:50.149763 UTC	0
1	1	systemd	8	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	9	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	10	/proc/1/mountinfo	0:24	19277	REG	-r--r--r--	2026-02-19 04:39:50.024000 UTC	2026-02-19 04:39:50.024000 UTC	2026-02-19 04:39:50.024000 UTC	0
1	1	systemd	11	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	13	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	14	/proc/swaps	0:24	4026532073	REG	-r--r--r--	2026-02-19 04:39:50.024000 UTC	2026-02-19 04:39:50.024000 UTC	2026-02-19 04:39:50.024000 UTC	0
1	1	systemd	15	socket:[19589]	0:8	19589	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	16	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	17	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	19	socket:[19593]	0:8	19593	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	20	socket:[19595]	0:8	19595	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	21	socket:[19596]	0:8	19596	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	23	socket:[19590]	0:8	19590	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	24	socket:[19591]	0:8	19591	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	26	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	27	/dev/autofs	0:5	386	CHR	crw-r--r--	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	0
1	1	systemd	28	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	29	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	30	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	31	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	32	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	33	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	34	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	35	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	36	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	37	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	38	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	39	socket:[20316]	0:8	20316	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	43	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	47	socket:[19678]	0:8	19678	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	48	socket:[18410]	0:8	18410	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	61	anon_inode:[12505]	0:14	12505	-	?rw-------	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	2026-02-19 04:39:48.235556 UTC	0
1	1	systemd	71	socket:[22710]	0:8	22710	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	82	socket:[19592]	0:8	19592	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	85	socket:[19609]	0:8	19609	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	89	socket:[19606]	0:8	19606	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	91	socket:[22693]	0:8	22693	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	94	socket:[22695]	0:8	22695	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	95	socket:[19615]	0:8	19615	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	96	socket:[22689]	0:8	22689	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	97	socket:[19604]	0:8	19604	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	99	socket:[16276]	0:8	16276	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	100	socket:[16254]	0:8	16254	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	101	socket:[16241]	0:8	16241	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	102	socket:[16134]	0:8	16134	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	103	socket:[16129]	0:8	16129	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	104	socket:[16127]	0:8	16127	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	105	socket:[16100]	0:8	16100	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	106	socket:[16099]	0:8	16099	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	107	socket:[16064]	0:8	16064	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	108	socket:[16050]	0:8	16050	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	109	socket:[21834]	0:8	21834	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	110	socket:[21811]	0:8	21811	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	111	socket:[15813]	0:8	15813	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	112	socket:[15678]	0:8	15678	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	113	socket:[15654]	0:8	15654	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	116	/run/dmeventd-server	0:26	420	FIFO	prw-------	2026-02-19 04:39:50.148000 UTC	2026-02-19 04:39:50.148000 UTC	2026-02-19 04:39:50.148000 UTC	0
1	1	systemd	117	/run/dmeventd-client	0:26	421	FIFO	prw-------	2026-02-19 04:39:50.148000 UTC	2026-02-19 04:39:50.148000 UTC	2026-02-19 04:39:50.148000 UTC	0
1	1	systemd	118	socket:[22688]	0:8	22688	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	119	socket:[19622]	0:8	19622	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	120	/dev/rfkill	0:5	3	CHR	crw-rw-r--	2026-02-19 04:39:50.528000 UTC	2026-02-19 04:39:50.528000 UTC	2026-02-19 04:39:50.528000 UTC	0
1	1	systemd	121	socket:[22691]	0:8	22691	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	122	/run/cloud-init/share/hook-hotplug-cmd	0:26	1066	FIFO	prw-------	2026-02-19 04:39:52.156000 UTC	2026-02-19 04:39:52.156000 UTC	2026-02-19 04:39:52.156000 UTC	0
1	1	systemd	123	socket:[19616]	0:8	19616	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	124	socket:[22686]	0:8	22686	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	125	socket:[19625]	0:8	19625	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	126	/run/initctl	0:26	427	FIFO	prw-------	2026-02-19 04:39:50.152000 UTC	2026-02-19 04:39:50.152000 UTC	2026-02-19 04:39:50.152000 UTC	0
1	1	systemd	127	socket:[22697]	0:8	22697	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	130	socket:[19623]	0:8	19623	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	133	pipe:[19601]	0:13	19601	FIFO	prw-------	2026-02-19 04:39:50.288000 UTC	2026-02-19 04:39:50.288000 UTC	2026-02-19 04:39:50.296000 UTC	0
1	1	systemd	134	socket:[19618]	0:8	19618	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	135	socket:[19620]	0:8	19620	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	136	socket:[19607]	0:8	19607	SOCK	srwxrwxrwx	-	-	-	0
409	409	systemd-journal	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	0
409	409	systemd-journal	1	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	0
409	409	systemd-journal	2	/dev/null	0:5	5	CHR	crw-rw-rw-	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	2026-02-19 04:39:50.524000 UTC	0
409	409	systemd-journal	3	socket:[19615]	0:8	19615	SOCK	srwxrwxrwx	-	-	-	0
409	409	systemd-journal	4	socket:[19618]	0:8	19618	SOCK	srwxrwxrwx	-	-	-	0
409	409	systemd-journal	5	socket:[19620]	0:8	19620	SOCK	srwxrwxrwx	-	-	-	0
