Volatility 3 Framework 2.28.0

OFFSET (V)	PID	TID	PPID	COMM	UID	GID	EUID	EGID	CREATION TIME	File output

0x92ad01292000	1	1	0	systemd	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad01294000	2	2	0	kthreadd	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad01296000	3	3	2	rcu_gp	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad01290000	4	4	2	rcu_par_gp	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad012e8000	5	5	2	slub_flushwq	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad012ea000	6	6	2	netns	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad012ec000	7	7	2	kworker/0:0	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad012ee000	8	8	2	kworker/0:0H	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad012f0000	9	9	2	kworker/u8:0	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad012f2000	10	10	2	mm_percpu_wq	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad012f4000	11	11	2	rcu_tasks_rude_	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad012f6000	12	12	2	rcu_tasks_trace	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad012f8000	13	13	2	ksoftirqd/0	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad012fa000	14	14	2	rcu_sched	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad012fc000	15	15	2	migration/0	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad012fe000	16	16	2	idle_inject/0	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad01312000	17	17	2	kworker/0:1	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad0131a000	18	18	2	cpuhp/0	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad0131c000	19	19	2	cpuhp/1	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad0131e000	20	20	2	idle_inject/1	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad01318000	21	21	2	migration/1	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad0139a000	22	22	2	ksoftirqd/1	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad0139c000	23	23	2	kworker/1:0	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad0139e000	24	24	2	kworker/1:0H	0	0	0	0	2026-02-19 04:39:47.037500 UTC	Disabled
0x92ad01398000	25	25	2	cpuhp/2	0	0	0	0	2026-02-19 04:39:47.041500 UTC	Disabled
0x92ad013a4000	26	26	2	idle_inject/2	0	0	0	0	2026-02-19 04:39:47.041500 UTC	Disabled
0x92ad013a6000	27	27	2	migration/2	0	0	0	0	2026-02-19 04:39:47.041500 UTC	Disabled
0x92ad013a0000	28	28	2	ksoftirqd/2	0	0	0	0	2026-02-19 04:39:47.041500 UTC	Disabled
0x92ad013a2000	29	29	2	kworker/2:0	0	0	0	0	2026-02-19 04:39:47.041500 UTC	Disabled
0x92ad013b8000	30	30	2	kworker/2:0H	0	0	0	0	2026-02-19 04:39:47.041500 UTC	Disabled
0x92ad013ba000	31	31	2	cpuhp/3	0	0	0	0	2026-02-19 04:39:47.045500 UTC	Disabled
0x92ad013bc000	32	32	2	idle_inject/3	0	0	0	0	2026-02-19 04:39:47.045500 UTC	Disabled
0x92ad013be000	33	33	2	migration/3	0	0	0	0	2026-02-19 04:39:47.045500 UTC	Disabled
0x92ad013c4000	34	34	2	ksoftirqd/3	0	0	0	0	2026-02-19 04:39:47.045500 UTC	Disabled
