Volatility 3 Framework 2.28.0

OFFSET (V)	PID	TID	PPID	COMM

0x92ad01292000	1	1	0	systemd
* 0x92ad304a6000	409	409	1	systemd-journal
* 0x92ad3055a000	446	446	1	multipathd
* 0x92ad2f9c0000	456	456	1	systemd-udevd
* 0x92ad2f9c6000	498	498	1	systemd-timesyn
* 0x92ad2f58c000	616	616	1	systemd-network
* 0x92ad2f588000	618	618	1	systemd-resolve
* 0x92ad08430000	629	629	1	cron
* 0x92ad30494000	632	632	1	dbus-daemon
* 0x92ad2f9c4000	637	637	1	irqbalance
* 0x92ad2f9c2000	638	638	1	networkd-dispat
* 0x92ad0370a000	639	639	1	polkitd
* 0x92ad01b66000	640	640	1	rsyslogd
* 0x92ad2eb44000	645	645	1	snapd
* 0x92ad2f58e000	659	659	1	systemd-logind
* 0x92ad2f1a2000	667	667	1	udisksd
* 0x92ad2f1a6000	693	693	1	agetty
* 0x92ad2f266000	695	695	1	ModemManager
* 0x92ad2f1a0000	701	701	1	sshd
* 0x92ad12afc000	708	708	1	unattended-upgr
* 0x92ad12de0000	908	908	1	systemd
** 0x92ad0b784000	909	909	908	(sd-pam)
* 0x92ad2f104000	1107	1107	1	victim
** 0x92ad0e57c000	1110	1110	1107	sh
0x92ad01294000	2	2	0	kthreadd
* 0x92ad01296000	3	3	2	rcu_gp
* 0x92ad01290000	4	4	2	rcu_par_gp
* 0x92ad012e8000	5	5	2	slub_flushwq
* 0x92ad012ea000	6	6	2	netns
* 0x92ad012ec000	7	7	2	kworker/0:0
* 0x92ad012ee000	8	8	2	kworker/0:0H
* 0x92ad012f0000	9	9	2	kworker/u8:0
* 0x92ad012f2000	10	10	2	mm_percpu_wq
* 0x92ad012f4000	11	11	2	rcu_tasks_rude_
* 0x92ad012f6000	12	12	2	rcu_tasks_trace
* 0x92ad012f8000	13	13	2	ksoftirqd/0
* 0x92ad012fa000	14	14	2	rcu_sched
* 0x92ad012fc000	15	15	2	migration/0
* 0x92ad012fe000	16	16	2	idle_inject/0
* 0x92ad01312000	17	17	2	kworker/0:1
* 0x92ad0131a000	18	18	2	cpuhp/0
* 0x92ad0131c000	19	19	2	cpuhp/1
* 0x92ad0131e000	20	20	2	idle_inject/1
* 0x92ad01318000	21	21	2	migration/1
* 0x92ad0139a000	22	22	2	ksoftirqd/1
* 0x92ad0139c000	23	23	2	kworker/1:0
* 0x92ad0139e000	24	24	2	kworker/1:0H
* 0x92ad01398000	25	25	2	cpuhp/2
* 0x92ad013a4000	26	26	2	idle_inject/2
* 0x92ad013a6000	27	27	2	migration/2
* 0x92ad013a0000	28	28	2	ksoftirqd/2
* 0x92ad013a2000	29	29	2	kworker/2:0
* 0x92ad013b8000	30	30	2	kworker/2:0H
* 0x92ad013ba000	31	31	2	cpuhp/3
* 0x92ad013bc000	32	32	2	idle_inject/3
* 0x92ad013be000	33	33	2	migration/3
* 0x92ad013c4000	34	34	2	ksoftirqd/3
* 0x92ad013c6000	35	35	2	kworker/3:0
* 0x92ad013c0000	36	36	2	kworker/3:0H
* 0x92ad013c2000	37	37	2	kdevtmpfs
* 0x92ad013c8000	38	38	2	inet_frag_wq
* 0x92ad013ca000	39	39	2	kauditd
* 0x92ad013cc000	40	40	2	khungtaskd
* 0x92ad013ce000	41	41	2	oom_reaper
* 0x92ad01972000	42	42	2	writeback
* 0x92ad01974000	43	43	2	kcompactd0
* 0x92ad01976000	44	44	2	ksmd
* 0x92ad01970000	45	45	2	khugepaged
* 0x92ad0198c000	52	52	2	kworker/1:1
* 0x92ad01acc000	55	55	2	kworker/2:1
* 0x92ad01b40000	81	81	2	kworker/3:1
* 0x92ad01b6e000	94	94	2	kintegrityd
* 0x92ad01b68000	95	95	2	kblockd
* 0x92ad01b6a000	96	96	2	blkcg_punt_bio
* 0x92ad01b6c000	97	97	2	tpm_dev_wq
* 0x92ad01ac8000	98	98	2	ata_sff
* 0x92ad01ace000	99	99	2	md
* 0x92ad01aca000	100	100	2	edac-poller
* 0x92ad01988000	101	101	2	devfreq_wq
* 0x92ad0198e000	102	102	2	watchdogd
* 0x92ad0198a000	103	103	2	kworker/u8:1
* 0x92ad01984000	104	104	2	kworker/0:1H
* 0x92ad01b64000	106	106	2	kswapd0
* 0x92ad01b62000	107	107	2	ecryptfs-kthrea
* 0x92ad01b5c000	109	109	2	kthrotld
* 0x92ad01b5a000	110	110	2	irq/24-aerdrv
* 0x92ad01b58000	111	111	2	irq/25-aerdrv
* 0x92ad01b5e000	112	112	2	irq/26-aerdrv
* 0x92ad01b4a000	113	113	2	irq/27-aerdrv
* 0x92ad01b48000	114	114	2	irq/28-aerdrv
* 0x92ad01b4e000	115	115	2	irq/29-aerdrv
* 0x92ad01b4c000	116	116	2	irq/30-aerdrv
* 0x92ad01aee000	117	117	2	irq/31-aerdrv
* 0x92ad01aec000	118	118	2	irq/32-aerdrv
* 0x92ad01aea000	119	119	2	irq/33-aerdrv
* 0x92ad01ae8000	120	120	2	irq/34-aerdrv
* 0x92ad01ae2000	121	121	2	irq/35-aerdrv
* 0x92ad01ae0000	122	122	2	irq/36-aerdrv
* 0x92ad01ae6000	123	123	2	irq/37-aerdrv
* 0x92ad01ae4000	124	124	2	acpi_thermal_pm
* 0x92ad01b46000	125	125	2	kworker/u8:2
* 0x92ad01b44000	126	126	2	vfio-irqfd-clea
* 0x92ad01b42000	127	127	2	mld
* 0x92ad08432000	128	128	2	kworker/2:1H
* 0x92ad08434000	129	129	2	ipv6_addrconf
* 0x92ad08436000	131	131	2	kworker/u8:3
* 0x92ad03704000	139	139	2	kstrp
* 0x92ad0370c000	142	142	2	zswap-shrink
* 0x92ad0370e000	143	143	2	kworker/u9:0
* 0x92ad03616000	148	148	2	charger_manager
* 0x92ad304a0000	171	171	2	kworker/1:1H
* 0x92ad304a2000	189	189	2	kworker/2:2
* 0x92ad304a4000	190	190	2	hwrng
* 0x92ad30492000	191	191	2	scsi_eh_0
* 0x92ad30490000	192	192	2	scsi_tmf_0
* 0x92ad30496000	193	193	2	scsi_eh_1
* 0x92ad30488000	194	194	2	scsi_tmf_1
* 0x92ad3048e000	195	195	2	scsi_eh_2
* 0x92ad3048c000	196	196	2	scsi_tmf_2
* 0x92ad3048a000	197	197	2	scsi_eh_3
* 0x92ad30484000	198	198	2	scsi_tmf_3
* 0x92ad30486000	199	199	2	scsi_eh_4
* 0x92ad30480000	200	200	2	scsi_tmf_4
* 0x92ad30482000	201	201	2	scsi_eh_5
* 0x92ad2fa32000	202	202	2	scsi_tmf_5
* 0x92ad2fa34000	203	203	2	kworker/u8:4
* 0x92ad2fa36000	204	204	2	kworker/u8:5
* 0x92ad2fa30000	205	205	2	kworker/u8:6
* 0x92ad2f570000	206	206	2	kworker/u8:7
* 0x92ad2f572000	207	207	2	cryptd
* 0x92ad2f574000	212	212	2	kworker/3:1H
* 0x92ad2f576000	225	225	2	kworker/3:2
* 0x92ad2f578000	226	226	2	kworker/u8:8
* 0x92ad2f102000	260	260	2	kworker/0:2
* 0x92ad30564000	267	267	2	kworker/1:2
* 0x92ad30562000	290	290	2	raid5wq
* 0x92ad2f57c000	337	337	2	jbd2/vda2-8
* 0x92ad2f57e000	338	338	2	ext4-rsv-conver
* 0x92ad2f260000	437	437	2	kaluad
* 0x92ad2f262000	442	442	2	kmpath_rdacd
* 0x92ad03706000	444	444	2	kmpathd
* 0x92ad03702000	445	445	2	kmpath_handlerd
* 0x92ad03708000	505	505	2	kworker/0:3
