Volatility 3 Framework 2.28.0

Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

0x111ff28	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x11294e8	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x112e558	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x1131848	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x1136268	AF_UNSPEC		-	-	-	-	-	Unknown socket state	-
0x2b01800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x2f9d4c80	AF_UNIX	STREAM	-	-	23335	/run/dbus/system_bus_socket	22188	ESTABLISHED	-
0x55708c0	AF_INET	STREAM	TCP	192.168.100.206	44990	192.168.100.1	4444	ESTABLISHED	-
0x6ea0000	AF_UNIX	STREAM	-	-	20047	/run/systemd/journal/stdout	16276	ESTABLISHED	-
0x6ea0cc0	AF_UNIX	STREAM	-	-	20012	/run/systemd/journal/stdout	16100	ESTABLISHED	-
0x6ea2200	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16276	-	20047	ESTABLISHED	-
0x6ea4840	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16100	-	20012	ESTABLISHED	-
0x6ea5940	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20316	-	20312	ESTABLISHED	-
0x6ea7b40	AF_UNIX	STREAM	-	-	20312	/run/systemd/journal/stdout	20316	ESTABLISHED	-
0x6f8d000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	908	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x6f8f000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	446	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x7479180	AF_INET	STREAM	TCP	127.0.0.53	53	0.0.0.0	0	LISTEN	-
0x747a300	AF_INET	STREAM	TCP	192.168.100.206	22	192.168.100.1	60480	CLOSE	-
0x81ed780	AF_INET	STREAM	TCP	0.0.0.0	22	0.0.0.0	0	LISTEN	-
0xa5d1000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	645	group:0x00000000	0	UNCONNECTED	-
0xb78cc80	AF_UNIX	STREAM	-	-	22019	-	22020	ESTABLISHED	-
0xb78d0c0	AF_UNIX	STREAM	-	-	22016	/run/dbus/system_bus_socket	16324	ESTABLISHED	-
0xb78d940	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	22035	-	22034	ESTABLISHED	-
0xb78dd80	AF_UNIX	STREAM	-	-	22020	-	22019	ESTABLISHED	-
0xb78f2c0	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16324	-	22016	ESTABLISHED	-
0xb78fb40	AF_UNIX	STREAM	-	-	22034	/run/dbus/system_bus_socket	22035	ESTABLISHED	-
0x121a1980	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent	23349	-	-	LISTEN	-
0x121a5940	AF_UNIX	STREAM	-	/run/user/1000/snapd-session-agent.socket	23353	-	-	LISTEN	-
0x121a6a40	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent.ssh	23347	-	-	LISTEN	-
0x121a7b40	AF_UNIX	STREAM	-	/run/user/1000/pk-debconf-socket	23351	-	-	LISTEN	-
0x12a10800	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x00000111	618	group:0x00000000	0	UNCONNECTED	-
0x12dde000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	667	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x12dde800	AF_PACKET	RAW	0x88cc	enp1s0	-	-	-	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x12ddf000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	616	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x2eb30000	AF_UNIX	STREAM	-	-	19357	/run/systemd/journal/stdout	15654	ESTABLISHED	-
0x2eb30cc0	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16315	-	22007	ESTABLISHED	-
0x2eb31100	AF_UNIX	STREAM	-	-	21921	/run/dbus/system_bus_socket	16120	ESTABLISHED	-
0x2eb31540	AF_UNIX	STREAM	-	-	21922	/run/systemd/journal/stdout	16050	ESTABLISHED	-
0x2eb31980	AF_UNIX	STREAM	-	/run/systemd/resolve/io.systemd.Resolve	21871	-	-	LISTEN	-
0x2eb31dc0	AF_UNIX	STREAM	-	-	22010	-	22009	ESTABLISHED	-
0x2eb32200	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15654	-	19357	ESTABLISHED	-
0x2eb32640	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16099	-	21928	ESTABLISHED	-
0x2eb32ec0	AF_UNIX	STREAM	-	-	21829	/run/systemd/journal/stdout	21834	ESTABLISHED	-
0x2eb33300	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16164	-	21966	ESTABLISHED	-
0x2eb33740	AF_UNIX	STREAM	-	-	21966	/run/dbus/system_bus_socket	16164	ESTABLISHED	-
0x2eb33fc0	AF_UNIX	STREAM	-	/run/irqbalance/irqbalance637.sock	21934	-	-	LISTEN	-
0x2eb34840	AF_UNIX	STREAM	-	-	22007	/run/dbus/system_bus_socket	16315	ESTABLISHED	-
0x2eb35d80	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16050	-	21922	ESTABLISHED	-
0x2eb361c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21834	-	21829	ESTABLISHED	-
0x2eb36600	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16120	-	21921	ESTABLISHED	-
0x2eb36a40	AF_UNIX	STREAM	-	-	21967	/run/dbus/system_bus_socket	16165	ESTABLISHED	-
0x2eb36e80	AF_UNIX	STREAM	-	-	22009	-	22010	ESTABLISHED	-
0x2eb372c0	AF_UNIX	STREAM	-	-	21928	/run/systemd/journal/stdout	16099	ESTABLISHED	-
0x2eb37b40	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16165	-	21967	ESTABLISHED	-
0x2f228800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	695	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x2f229800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	2770182160	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x2f22a800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3649906578	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
