Volatility 3 Framework 2.28.0

NetNS	Process Name	PID	TID	FD	Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

4026531840	systemd	1	1	15	0x92ad02b01800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
4026531840	systemd	1	1	19	0x92ad3049c840	AF_UNIX	STREAM	-	/run/systemd/private	19593	-	-	LISTEN	-
4026531840	systemd	1	1	20	0x92ad3049aec0	AF_UNIX	STREAM	-	/run/systemd/userdb/io.systemd.DynamicUser	19595	-	-	LISTEN	-
4026531840	systemd	1	1	21	0x92ad3049d500	AF_UNIX	STREAM	-	/run/systemd/io.system.ManagedOOM	19596	-	-	LISTEN	-
4026531840	systemd	1	1	23	0x92ad3049e1c0	AF_UNIX	DGRAM	-	/run/systemd/notify	19590	-	-	UNCONNECTED	-
4026531840	systemd	1	1	24	0x92ad3049c400	AF_UNIX	DGRAM	-	-	19591	-	19592	CONNECTED	-
4026531840	systemd	1	1	39	0x92ad06ea5940	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	20316	-	20312	ESTABLISHED	-
4026531840	systemd	1	1	47	0x92ad070f3800	AF_NETLINK	RAW	NETLINK_AUDIT	-	2596117203	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	48	0x92ad2f9d3b80	AF_UNIX	DGRAM	-	-	18410	/run/systemd/journal/socket	19618	UNCONNECTED	-
4026531840	systemd	1	1	71	0x92ad2f9d0880	AF_UNIX	STREAM	-	-	22710	/run/dbus/system_bus_socket	16121	ESTABLISHED	-
4026531840	systemd	1	1	82	0x92ad30498cc0	AF_UNIX	DGRAM	-	-	19592	-	19591	CONNECTED	-
4026531840	systemd	1	1	85	0x92ad30499dc0	AF_UNIX	STREAM	-	/run/systemd/fsck.progress	19609	-	-	LISTEN	-
4026531840	systemd	1	1	89	0x92ad30498880	AF_UNIX	STREAM	-		19606	-	-	LISTEN	-
4026531840	systemd	1	1	91	0x92ad2f9d3740	AF_UNIX	STREAM	-	/run/snapd.socket	22693	-	-	LISTEN	-
4026531840	systemd	1	1	94	0x92ad2f9d1dc0	AF_UNIX	STREAM	-	/run/snapd-snap.socket	22695	-	-	LISTEN	-
4026531840	systemd	1	1	95	0x92ad2f9ee800	AF_NETLINK	RAW	NETLINK_AUDIT	groups:0x00000001	1	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	96	0x92ad2f9d3fc0	AF_UNIX	STREAM	-	/var/snap/lxd/common/lxd/unix.socket	22689	-	-	LISTEN	-
4026531840	systemd	1	1	97	0x92ad30498440	AF_UNIX	STREAM	-	/run/lvm/lvmpolld.socket	19604	-	-	LISTEN	-
4026531840	systemd	1	1	99	0x92ad06ea2200	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16276	-	20047	ESTABLISHED	-
4026531840	systemd	1	1	100	0x92ad2f9d6a40	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16254	-	22828	ESTABLISHED	-
4026531840	systemd	1	1	101	0x92ad305461c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16241	-	16236	ESTABLISHED	-
4026531840	systemd	1	1	102	0x92ad30540440	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16134	-	16131	ESTABLISHED	-
4026531840	systemd	1	1	103	0x92ad2f9d1540	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16129	-	22739	ESTABLISHED	-
4026531840	systemd	1	1	104	0x92ad305450c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16127	-	16123	ESTABLISHED	-
4026531840	systemd	1	1	105	0x92ad06ea4840	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16100	-	20012	ESTABLISHED	-
4026531840	systemd	1	1	106	0x92ad2eb32640	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16099	-	21928	ESTABLISHED	-
4026531840	systemd	1	1	107	0x92ad30540cc0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16064	-	16060	ESTABLISHED	-
4026531840	systemd	1	1	108	0x92ad2eb35d80	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16050	-	21922	ESTABLISHED	-
4026531840	systemd	1	1	109	0x92ad2eb361c0	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21834	-	21829	ESTABLISHED	-
4026531840	systemd	1	1	110	0x92ad3049aa80	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	21811	-	19918	ESTABLISHED	-
4026531840	systemd	1	1	111	0x92ad2f9d2200	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15813	-	20588	ESTABLISHED	-
4026531840	systemd	1	1	112	0x92ad30499980	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15678	-	19715	ESTABLISHED	-
4026531840	systemd	1	1	113	0x92ad2eb32200	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15654	-	19357	ESTABLISHED	-
4026531840	systemd	1	1	118	0x92ad2f9d2640	AF_UNIX	STREAM	-		22688	-	-	LISTEN	-
4026531840	systemd	1	1	119	0x92ad2f9eb000	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x800405d5	1	group:0x00000000	0	UNCONNECTED	-
4026531840	systemd	1	1	121	0x92ad2f9d3300	AF_UNIX	STREAM	-	/var/snap/lxd/common/lxd-user/unix.socket	22691	-	-	LISTEN	-
4026531840	systemd	1	1	123	0x92ad3049b740	AF_UNIX	DGRAM	-	/run/systemd/journal/dev-log	19616	-	-	UNCONNECTED	-
4026531840	systemd	1	1	124	0x92ad2f9d2a80	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	22686	-	-	LISTEN	-
